"","system.index","SAVI","SAVI_1","SAVI_10","SAVI_11","SAVI_12","SAVI_13","SAVI_14","SAVI_15","SAVI_16","SAVI_17","SAVI_18","SAVI_19","SAVI_2","SAVI_20","SAVI_21","SAVI_22","SAVI_23","SAVI_24","SAVI_25","SAVI_26","SAVI_27","SAVI_28","SAVI_29","SAVI_3","SAVI_30","SAVI_31","SAVI_32","SAVI_4","SAVI_5","SAVI_6","SAVI_7","SAVI_8","SAVI_9",".geo","CID","class"
"1","00000000000000000000_0",1.01149885011499,1.07557336280741,1.02226225710977,1.02558052899541,1.05890081015984,1.03734195824757,1.08314581458146,1.29904138414777,1.06779661016949,1.10537951363301,1.09905345953873,1.08041958041958,1.10707171314741,1.12493316699341,1.08284556506078,1.07238734419942,1.08528906697195,1.07444907683145,1.09038213825676,1.06236673773987,1.14032191498143,1.11189402480271,1.26648625551916,1.03704626112944,1.0867738961172,1.12829928850126,1.09916729750189,1.0702096538274,1.03639618138425,1.01537804357112,0.976848911725651,1.05264261744966,1.01294498381877,NA,1,"for"
"2","00000000000000000001_0",1.04724241128687,1.05648952274719,1.04029605263158,0.991758606938721,1.04099222198865,1.01714431934493,1.0462096396818,1.0703195319532,1.09040178571429,1.08585009564663,1.0689876463982,1.05576441102757,1.00893019865136,1.10823336968375,1.07184808144088,1.06569638164544,1.08814897277603,1.20599842146803,1.0785036467728,1.08390072479684,1.0770573763987,1.09302025545091,1.10427555479393,1.04439533949377,1.10018639328984,1.12973760932945,1.10196737044146,1.05512644164639,1.01944258212815,1.02103575134421,0.940868865647627,0.943042537851478,0.987853759261509,NA,2,"for"
"3","00000000000000000002_0",1.06111911027258,1.04748011858265,1.04448742746615,1.05341065160995,1.06106633601984,1.01039563988696,1.05326915796874,1.08582808685597,1.08106009125328,1.08151003287609,1.08380190311419,1.08812659413877,1.03886057517292,1.11000566714942,1.0744754438552,1.07741697805379,1.07545072857496,1.09210928427358,1.06646838225786,1.0583029267914,1.08102279728897,1.09696691176471,1.09883298629606,1.06999890626709,1.09476109385956,1.09717176959004,1.10096970908727,1.06460089784299,1.04369927762419,1.04872327591984,0.990658506281349,1.00232615083252,1.05286683107275,NA,3,"for"
"4","00000000000000000003_0",1.05991694680641,1.03000976649205,1.05387665800629,1.03885045236828,1.07455713451431,1.07193635748138,1.05888513906668,1.09713830422947,1.06826095525918,1.09403136366347,1.13203161320316,1.08969764272374,1.01813039745467,1.0713647997143,1.08417360806664,1.09246088193457,1.06349403578529,1.09881712551031,1.06622548781081,1.08179852360003,1.07729468599034,1.10630162129091,1.09848672785909,1.05965362411802,1.10045811518325,1.10971910853224,1.10269583178857,1.05022302990253,1.05837020122734,1.05761188440172,0.969955772456916,1.02320540609461,1.04976317174434,NA,4,"for"
"5","00000000000000000004_0",1.05799408687742,1.04257513258692,1.06690571265586,1.09090909090909,1.08846214386904,1.04205003421793,1.0504957343786,1.10363941360951,1.09402574858961,1.10561056105611,1.09704027171276,1.1164820952227,1.04557761732852,1.12273547172771,1.10427025446037,1.0785897183376,1.06679078426809,1.08963771976558,1.09950450816343,1.06342235980131,1.09759125900174,1.09199505698201,1.10755519546283,1.05027227527425,1.10666919287609,1.10429976311823,1.11181036291168,1.06312011821828,1.04544800805408,1.06220290642401,0.848425196850394,0.981912961061527,1.03759782238857,NA,5,"for"
"6","00000000000000000005_0",1.06490696668109,1.07028142036246,1.04796264855688,1.05179176323765,1.08455750627015,1.04618437669132,1.04307296689167,1.07921409636675,1.08365608055771,1.09534185265885,1.0874778848044,1.08870692596383,1.06178590261909,1.13197251414713,1.07880816150275,1.07028486914025,1.07377248420029,1.10639606396064,1.11980120324353,1.09815822519883,1.0855651988712,1.10421669388147,1.11043543112845,1.07267554635976,1.12516101331043,1.1089257563246,1.13299753509806,1.06603270098491,1.07143778762204,1.0539658152487,0.939368061485909,1.02406802824387,1.03084773280761,NA,6,"for"
"7","00000000000000000006_0",1.07569511446364,1.05003122614669,1.05632695834425,1.02247610912391,1.07608486635472,1.03730560061063,1.06335805006975,1.10526315789474,1.08958033440372,1.09943294210735,1.09676759410802,1.10790667530784,1.04933173965011,1.08301970334293,1.10776317052106,1.09495436105477,1.08795889392198,1.07615464452517,1.08020212490282,1.07392658026211,1.08743064855558,1.10986547085202,1.11601953034178,1.07643518218886,1.10678255471054,1.1099339907098,1.11300101044123,1.05536640301713,1.05535506079618,1.0438176092017,0.972294254128566,0.993957315505271,1.04495805926015,NA,7,"for"
"8","00000000000000000007_0",1.05324176170374,1.03975081578167,1.1025518721679,1.02694196147551,1.0790313497278,0.982154958210978,1.05428186109238,1.22561845861085,1.08630482802146,1.08565899368507,1.09955822025876,1.08522011212029,1.03798664057756,1.09691522953607,1.08957362952347,1.11586319946353,1.05824054814634,1.09167893961708,1.09721132586834,1.07860203535083,1.08560369212446,1.08972597787579,1.10334346504559,1.0498682238644,1.09700973574409,1.10277167947311,1.1071449334341,1.06024643688604,1.05504497457959,1.05269655119204,0.955401924901722,0.996761372000589,1.02515104678938,NA,8,"for"
"9","00000000000000000008_0",1.02874788618484,1.04618251703454,1.02341939093598,1.0349602278307,1.07288952940524,1.04090314136126,1.04728599665501,1.09659024787618,1.06274273836223,1.0967419548271,1.09770046467294,1.09241008575451,1.04777116306084,1.07682619647355,1.10145240537768,1.08190386979685,1.08274347083232,1.09722669068914,1.10007340347443,1.05246307962408,1.08728134110787,1.0977626459144,1.10950289478938,1.0682722287926,1.15462552148864,1.11004004152454,1.10604525498143,1.06529975484734,1.05711268957573,1.04011789749468,0.917094455852156,1.04168669734222,1.01600360644652,NA,9,"for"
"10","00000000000000000009_0",1.06470416788108,1.0672550213025,1.05866302864939,1.03201287668783,1.08715122287289,1.0442780496433,1.06604059375947,1.10588611644274,1.0757200720072,1.10155678102582,1.09910533339924,1.08576642335766,1.06832454157247,1.10009639287707,1.07867224255097,1.09878350411388,1.0581431503016,1.0850226046376,1.08869168608398,1.0989839396919,1.09445738648851,1.09632788931655,1.10931355023239,1.04633855923794,1.10476365136858,1.1058855146466,1.1125005390022,1.0689812699863,1.07672560142437,1.0808482748935,0.96767588123446,1.03565590519003,1.06194402256455,NA,10,"for"
