system:index,SWIR2,SWIR2_1,SWIR2_10,SWIR2_11,SWIR2_12,SWIR2_13,SWIR2_14,SWIR2_15,SWIR2_16,SWIR2_17,SWIR2_18,SWIR2_19,SWIR2_2,SWIR2_20,SWIR2_21,SWIR2_22,SWIR2_23,SWIR2_24,SWIR2_25,SWIR2_26,SWIR2_27,SWIR2_28,SWIR2_29,SWIR2_3,SWIR2_30,SWIR2_31,SWIR2_32,SWIR2_4,SWIR2_5,SWIR2_6,SWIR2_7,SWIR2_8,SWIR2_9,.geo
00000000000000000000_0,182.0,303.5,136.0,283.0,328.0,297.0,333.5,311.5,347.0,394.0,323.0,334.0,307.0,252.0,260.0,339.0,362.0,275.0,293.0,327.0,400.0,222.5,419.5,421.0,449.0,321.0,383.5,315.0,344.0,359.0,476.0,485.5,404.0,
00000000000000000001_0,229.0,312.0,175.0,239.0,303.5,322.0,322.0,368.5,324.0,325.0,322.0,382.0,294.0,299.0,278.0,352.0,370.0,299.0,318.0,300.5,353.0,267.0,344.0,423.5,349.0,328.0,343.0,212.0,356.0,272.0,409.0,330.0,334.0,
00000000000000000002_0,516.5,534.0,406.0,480.0,491.0,505.5,466.0,513.5,481.5,525.5,514.5,512.5,547.0,443.0,414.5,531.0,497.0,458.0,478.0,481.0,490.0,438.0,513.0,639.0,518.0,481.5,489.5,440.5,566.0,462.0,602.5,617.0,543.0,
00000000000000000003_0,344.0,403.0,373.0,447.0,389.5,383.5,444.5,446.0,451.0,502.5,489.0,456.0,431.5,484.5,378.0,496.0,498.0,419.0,402.0,456.0,429.0,357.0,477.0,509.0,495.5,426.0,461.0,393.0,496.0,393.0,464.0,450.5,439.0,
00000000000000000004_0,395.0,462.0,352.0,345.0,356.5,433.0,396.0,473.0,431.5,468.0,411.0,404.0,376.0,427.5,411.0,472.5,416.5,424.0,410.0,440.0,442.0,464.5,450.0,456.0,475.0,442.0,428.5,328.0,351.0,354.0,427.0,411.0,404.0,
00000000000000000005_0,356.5,403.0,356.5,444.0,415.0,401.0,474.0,444.0,391.5,449.0,440.0,407.0,422.0,419.0,387.0,467.5,417.0,385.0,375.5,431.0,483.5,301.0,457.0,485.0,484.0,402.0,435.5,337.0,481.5,485.0,489.0,463.0,404.0,
00000000000000000006_0,368.5,416.0,307.0,427.0,382.0,422.0,372.5,453.0,389.0,411.0,399.0,409.0,401.0,382.5,387.0,458.0,426.0,382.0,352.0,425.0,407.0,431.0,439.5,501.0,442.0,411.0,411.0,292.0,386.0,401.0,504.0,431.5,471.0,
00000000000000000007_0,443.5,499.5,326.0,454.0,424.5,475.0,445.5,452.0,465.5,450.0,479.0,420.0,444.0,419.0,419.0,491.0,455.0,432.0,441.0,444.0,479.5,415.0,496.0,485.0,468.0,452.0,461.0,467.0,470.0,434.0,543.0,432.0,474.0,
00000000000000000008_0,411.0,462.0,384.0,468.0,385.0,483.0,489.0,515.5,451.5,525.0,444.0,478.0,477.0,394.5,414.0,500.0,491.0,437.0,447.5,550.0,453.0,375.5,493.0,617.0,491.0,423.0,453.0,413.5,508.0,449.0,582.0,542.0,542.0,
00000000000000000009_0,596.0,678.0,570.0,633.0,536.5,630.0,549.0,566.5,589.0,606.0,586.0,553.5,596.0,554.0,528.5,624.0,578.5,590.0,528.5,594.5,567.5,587.5,584.5,626.0,606.0,597.0,646.0,575.0,521.0,561.0,639.0,566.0,566.0,
0000000000000000000a_0,386.0,531.0,388.5,470.0,473.0,519.5,519.0,531.5,467.0,521.5,517.0,513.0,474.0,453.0,461.0,490.0,546.5,453.0,501.0,505.0,517.0,444.0,552.5,555.0,536.0,507.0,486.0,445.0,514.0,429.0,495.0,553.5,538.0,
0000000000000000000b_0,693.0,706.0,527.5,550.0,556.0,568.0,531.5,542.0,528.5,536.0,514.0,460.0,631.5,516.0,505.0,546.0,531.5,504.0,494.0,508.0,521.0,529.5,526.0,621.0,519.0,640.5,573.0,587.5,649.5,578.0,564.5,610.5,616.5,
0000000000000000000c_0,710.0,698.5,588.5,638.0,576.0,615.0,556.0,610.0,586.0,605.0,577.0,557.0,654.5,578.0,563.5,583.0,547.0,536.5,548.0,557.5,535.0,575.0,562.5,730.0,571.5,589.0,552.0,671.0,675.5,662.0,632.0,644.0,629.0,
0000000000000000000d_0,367.0,481.0,227.0,445.0,422.5,424.5,383.0,439.0,457.5,455.5,441.0,434.0,452.0,377.0,305.0,459.0,468.5,409.0,423.0,447.5,441.0,272.0,483.0,565.5,490.0,428.0,427.0,409.0,486.5,423.0,390.0,544.0,467.5,
0000000000000000000e_0,511.0,506.0,442.0,468.0,390.5,497.0,483.0,502.0,474.0,527.0,479.0,457.0,491.5,458.0,430.0,496.0,498.0,449.0,452.5,474.0,469.0,487.0,486.0,502.0,527.0,505.0,477.0,485.5,492.5,453.5,537.0,494.0,480.5,
0000000000000000000f_0,485.0,480.5,374.0,425.0,408.5,414.0,392.5,437.5,428.0,422.5,387.5,359.5,505.0,379.0,379.0,432.0,379.0,380.0,401.0,371.0,387.0,386.5,417.0,474.0,417.5,401.0,384.5,444.0,427.0,397.0,442.0,464.0,423.5,
00000000000000000010_0,742.0,690.0,607.5,621.0,604.0,597.5,593.0,613.5,552.0,630.0,582.0,587.0,655.5,568.0,565.5,575.0,581.0,580.0,524.5,572.0,563.0,596.0,555.0,706.0,596.0,591.0,526.0,689.0,648.5,611.5,650.0,636.5,618.5,
00000000000000000011_0,750.0,711.5,522.0,567.0,563.0,553.0,536.0,544.0,537.5,568.0,584.0,536.0,663.5,494.0,501.5,539.0,571.0,519.0,517.0,515.5,531.5,506.5,551.0,688.0,554.0,513.5,494.0,633.0,674.0,565.0,596.0,603.0,631.5,
00000000000000000012_0,931.0,805.5,651.0,650.0,624.0,660.0,639.0,665.0,665.0,660.0,614.0,567.0,782.5,603.0,613.0,610.0,582.0,583.5,587.0,591.0,615.5,599.5,599.0,749.0,599.0,598.0,562.0,690.0,647.0,677.0,632.0,604.0,644.0,
00000000000000000013_0,467.0,457.0,440.5,441.0,437.0,477.5,462.0,513.0,437.0,480.5,522.5,483.0,430.0,454.0,451.0,483.0,567.0,452.0,435.0,468.0,531.5,537.5,533.5,541.0,506.0,527.5,509.5,485.0,468.0,479.0,345.5,566.0,514.0,
00000000000000000014_0,693.0,676.0,570.0,573.0,594.0,628.0,590.0,573.0,549.0,602.0,547.0,575.0,636.0,553.0,536.5,564.5,584.0,579.0,518.0,573.0,535.5,601.0,607.0,680.0,588.5,587.5,554.0,566.0,621.0,609.0,630.5,611.0,649.0,
00000000000000000015_0,538.0,595.0,503.5,539.0,517.5,626.0,610.5,571.0,537.0,555.5,533.5,524.0,519.0,507.0,522.0,547.5,556.0,549.5,507.5,573.5,553.0,538.0,585.0,621.0,537.0,570.0,533.5,454.0,545.0,445.0,598.0,549.0,569.0,
00000000000000000016_0,594.5,582.0,506.0,541.5,587.0,566.5,481.0,544.5,521.0,570.0,543.0,489.0,555.0,551.0,524.0,539.0,588.0,511.0,543.5,512.0,557.0,543.5,558.0,599.0,551.5,580.0,549.0,514.0,593.0,516.0,606.0,566.0,579.0,
