system:index,NDMI,NDMI_1,NDMI_10,NDMI_11,NDMI_12,NDMI_13,NDMI_14,NDMI_15,NDMI_16,NDMI_17,NDMI_18,NDMI_19,NDMI_2,NDMI_20,NDMI_21,NDMI_22,NDMI_23,NDMI_24,NDMI_25,NDMI_26,NDMI_27,NDMI_28,NDMI_29,NDMI_3,NDMI_30,NDMI_31,NDMI_32,NDMI_4,NDMI_5,NDMI_6,NDMI_7,NDMI_8,NDMI_9,.geo
000000000000000000ac_0,0.47549018,0.45579308,0.47463003,0.4340482,0.46849656,0.43946835,0.44466358,0.46653062,0.55299205,0.4688549,0.44081125,0.46000403,0.48063216,0.4554258,0.6226415,0.44918033,0.45009187,0.516454,0.51616967,0.45565516,0.46416172,0.44097406,0.52304316,0.4458574,0.49683544,0.45232505,0.52080536,0.45135653,0.4407753,0.46566585,0.4378464,0.4761046,0.45012036,
000000000000000000ad_0,0.49057493,0.4774686,0.49202263,0.44320711,0.4810983,0.45995775,0.45942825,1.2115384,0.53314805,0.47092783,0.49871024,0.46443516,0.5853841,0.5257193,0.47083983,0.47745848,0.4705091,0.4623656,0.4900285,0.4651202,0.46939588,0.47974992,0.54971594,0.48541862,0.50089884,0.48411283,0.5061588,0.48715365,0.46205452,0.45395738,0.40484536,0.45921743,0.4399346,
000000000000000000ae_0,0.42042863,0.49574268,0.5021382,0.45101988,0.48995677,0.47185546,0.45675614,0.8674699,0.4607724,0.4871403,0.47231132,0.47446457,0.48655534,0.46937016,0.486296,0.565009,0.43280366,0.6232065,0.4824983,0.46314943,0.4569049,0.4340214,0.4868175,0.4392842,0.49811116,0.47397697,0.48357204,0.45923418,0.42753777,0.47211578,0.3747412,0.5146552,0.4264529,
000000000000000000af_0,0.43430907,0.43336162,0.44853494,0.4326139,0.4494801,0.4219927,0.4117121,0.42978156,0.49113923,0.43819568,0.406518,0.41913775,0.42771804,0.42201835,0.4380049,0.4182286,0.46488294,0.52080536,0.4406181,0.42314488,0.4248137,0.40634206,0.43900034,0.4278982,0.43979058,0.4329114,0.46566844,0.42419288,0.45062208,0.4192413,0.42686567,0.4241817,0.3985571,
000000000000000000b0_0,0.4549284,0.44369522,0.49311817,0.49234137,0.4719429,0.424821,0.4814182,0.44587308,0.481168,0.43475178,0.43265054,0.42028984,0.561991,0.47033054,0.4687157,0.49963263,0.45309532,0.50711673,0.47368422,0.42857143,0.42394504,0.44574055,0.45117757,0.48649737,0.49952427,0.52228874,0.4968507,0.51172274,0.4820394,0.54121155,0.4382195,0.4920635,0.53287196,
000000000000000000b1_0,0.45028198,0.49027237,0.5159629,0.4829713,0.49346656,0.48465893,0.5148778,0.4958859,0.51096845,0.49065226,0.47852933,0.47470126,0.48136142,0.5240478,0.49359795,0.48806012,0.500164,0.5187364,0.59017044,0.49247536,0.51096493,0.520495,0.5439204,0.47194532,0.5195767,0.5176125,0.5241673,0.53438276,0.5105783,0.47966728,0.4542076,0.5046065,0.5029202,
000000000000000000b2_0,0.39918002,0.37718904,0.4107517,0.38465708,0.39064935,0.41588157,0.38534075,0.42547604,0.44553825,0.39767504,0.38604853,0.399951,0.3563627,0.48202395,0.4126347,0.40906218,0.49462867,0.4148525,0.4360984,0.41661328,0.40444228,0.44870013,0.45228216,0.3649289,0.50192416,0.45366052,0.46589085,0.41260937,0.4159292,0.3604176,0.35340384,0.39359117,0.38482532,
000000000000000000b3_0,0.41443634,0.44431308,0.4692824,0.43950072,0.4323284,0.42355555,0.43376625,0.44874823,0.4709345,0.43176734,0.45103687,0.4462299,0.49258474,0.44470313,0.4773547,0.44089276,0.43129182,0.46641317,0.46903136,0.4229113,0.43977302,0.44578314,0.47236788,0.4591114,0.4699783,0.45720348,0.45637298,0.43667725,0.51630944,0.4428447,0.4640797,0.42057723,0.4569307,
000000000000000000b4_0,0.41295725,0.41395772,0.48712823,0.45204177,0.44187063,0.43305084,0.45261702,0.45363984,0.43229643,0.42241648,0.43800813,0.4159331,0.429853,0.46378237,0.43944636,0.456621,0.4200471,0.490488,0.4829455,0.43046108,0.42302358,0.4490316,0.4723329,0.43866348,0.46489233,0.4707379,0.47910935,0.4486692,0.49963585,0.42763588,0.42313385,0.45820272,0.5012766,
000000000000000000b5_0,0.42501298,0.2012229,0.4359228,0.4380636,0.46068278,0.41581511,0.42852575,1.1851852,0.4708585,0.43205127,0.43549618,0.41913775,0.42011353,0.4648064,0.44698772,0.4526685,0.42851934,0.43423578,0.50839144,0.4410707,0.45713124,0.46128866,0.4756328,0.45903614,0.46831277,0.47434774,0.4942349,0.459095,0.42175815,0.43342122,0.40076965,0.43028605,0.42918825,
000000000000000000b6_0,0.44271457,0.4639866,0.45972738,0.43112293,0.43961573,0.44707394,0.41989663,0.44272983,0.5192563,0.4337456,0.41246292,0.5077067,0.45905173,0.4453172,0.4189189,0.5528674,0.40668467,0.42629302,0.43811497,0.41611737,0.48721,0.44554064,0.4481252,0.45272997,0.45035106,0.43431473,0.45543215,0.46542346,0.4496448,0.40894696,0.42608696,0.44058976,0.42182484,
000000000000000000b7_0,0.186824,0.4182377,0.46462852,0.45254293,0.46660608,0.42331064,0.4491087,0.4377224,0.5335068,0.42912155,0.42779168,0.43851286,0.41784453,0.45584726,0.5703603,0.44140097,0.47531572,0.44339076,0.45897377,0.42691472,0.53377813,0.46384087,0.4617225,0.43504533,0.4497992,0.46938777,0.4571043,0.4258751,0.44150186,0.44444445,0.43495402,0.4355425,0.4470821,
000000000000000000b8_0,0.39185676,0.42505994,0.42032686,0.4856291,0.4233633,0.41720822,0.4159544,0.42613804,0.43168858,0.44076014,0.4125,0.42429987,0.41129643,0.4403984,0.42268986,0.50488997,0.43864173,0.44398743,0.4509165,0.43269232,0.41055155,0.42266977,0.45087945,0.4103812,0.4585209,0.4460221,0.46234012,0.469,0.45090562,0.43825784,0.4206799,0.42723468,0.41386807,
000000000000000000b9_0,0.3582566,0.3900447,0.39554116,0.43580785,0.42485604,0.40549618,0.39607695,0.40539604,0.41629365,0.40376604,0.40220436,0.40899757,0.3920104,0.41378027,0.42882624,0.523855,0.50977653,0.46487722,0.42567077,0.41157556,0.40218365,0.43636364,0.4409396,0.37998345,0.4526386,0.4598228,0.46336633,0.42418557,0.39935374,0.38499525,0.38896847,0.39980295,0.39446175,
000000000000000000ba_0,0.41546464,0.4952251,0.46513605,0.48266166,0.43490115,0.51786333,0.47266668,0.47088036,0.4600726,0.45690987,0.43972924,0.45306566,0.55479115,0.6083815,0.48892534,0.51320755,0.42857143,0.5592255,0.46567324,0.4693712,0.5147783,0.4627813,0.5071789,0.42303088,0.46666667,0.44860667,0.46725103,0.51564455,0.49178082,0.44235116,0.44893566,0.5151117,0.5137556,
000000000000000000bb_0,0.40544748,0.41604677,0.48319814,0.5290276,0.43533897,0.43326592,0.4336561,0.48926014,0.45338768,0.41544676,0.41458106,0.4700339,0.39507806,0.41872182,0.44582394,0.46386835,0.42133665,0.44880337,0.48179197,0.4474065,0.5266723,0.43218392,0.47014925,0.38412115,0.47105104,0.47317368,0.47097054,0.4000524,0.45745817,0.42949036,0.39776194,0.428953,0.4814815,
000000000000000000bc_0,0.44109112,0.5080501,0.54607385,0.53999233,0.5423341,0.5295186,0.42910588,0.48044056,0.5131744,0.53370166,0.44428852,0.5212121,0.4642366,0.4800995,0.47283703,0.4917647,0.42211303,0.5085537,0.52523875,0.4664439,0.46035698,0.44726083,0.46048537,0.5031762,0.51495016,0.51246536,0.46532845,0.47607362,0.5277778,0.50849295,0.49573526,0.5295454,0.5279342,
000000000000000000bd_0,0.3972657,0.4259214,0.41560405,0.40341136,0.40224898,0.3858507,0.3882854,0.4447619,0.43114543,0.4147265,0.406659,0.4295277,0.42898762,0.40814424,0.39117768,0.4144711,0.40333256,0.45651415,0.4655674,0.39710465,0.4169037,0.37965468,0.45421773,0.47719297,0.42324403,0.4068104,0.41550758,0.55934614,0.41394585,0.48589626,0.39684948,0.49133593,0.48503938,
000000000000000000be_0,0.38794085,0.395743,0.41320294,0.45790982,0.40794224,0.43173432,0.4511374,0.43139818,0.4302682,0.45024398,0.42867196,0.50033003,0.39126748,0.48263255,0.48447204,0.45030385,0.46558988,0.45591837,0.46717834,0.43406418,0.4872921,0.44699684,0.46243194,0.3845138,0.460374,0.4575261,0.4932476,0.3947826,0.42887855,0.38512802,0.3658179,0.41412833,0.41321898,
