"","system.index","Wetness","Wetness_1","Wetness_10","Wetness_11","Wetness_12","Wetness_13","Wetness_14","Wetness_15","Wetness_16","Wetness_17","Wetness_18","Wetness_19","Wetness_2","Wetness_20","Wetness_21","Wetness_22","Wetness_23","Wetness_24","Wetness_25","Wetness_26","Wetness_27","Wetness_28","Wetness_29","Wetness_3","Wetness_30","Wetness_31","Wetness_32","Wetness_4","Wetness_5","Wetness_6","Wetness_7","Wetness_8","Wetness_9",".geo","CID","class"
"107","0000000000000000006a_0",-574.62665,-516.4436,-567.8026,-615.5174,-560.08545,-616.66394,-633.88666,-710.4187,-756.8788,-917.88586,-715.9027,-725.1498,-571.8573,-759.23193,-690.4633,-725.0961,-744.69855,-694.4066,-662.327,-700.3013,-948.6509,-135.777,-69.5174,-633.0675,-50.7184,-97.8396,-54.8637,-564.8673,-456.77954,-554.3299,-492.20645,-466.28162,-540.7975,NA,107,"for"
"108","0000000000000000006b_0",-1.79635,-160.26,20.57965,-26.8505,-204.51816,-60.7605,-117.8619,-214.92944,-268.4463,-344.90533,-321.9431,-207.01129,9.85585,-135.28,-159.93121,-268.5911,-206.7078,-220.01535,-237.36826,-336.2818,-260.9804,9.22489999999999,35.1668500000001,-173.92184,40.0758000000001,25.7009000000001,29.232,8.9538,-131.9368,1.08635,-198.21939,-225.2953,-128.2735,NA,108,"for"
"109","0000000000000000006c_0",-107.228,-361.5264,-47.2802,-109.24785,-381.1002,-197.3181,-134.1363,-366.0649,-404.53217,-485.3145,-456.7537,-386.34546,-147.9046,-226.81454,-223.9213,-375.85135,-185.1189,-297.9902,-308.2578,-384.81805,-509.10526,-37.669,-39.7132999999999,-360.23407,-28.7631,-37.8089000000001,-4.55145000000008,-133.64494,-364.62955,-163.77216,-374.9856,-410.8987,-334.6303,NA,109,"for"
"110","0000000000000000006d_0",-1022.3927,-977.2335,-748.2101,-826.8832,-825.7207,-807.3134,-849.7812,-1231.4712,-1197.4686,-1306.2098,-1058.4805,-863.448,-925.8016,-1032.7424,-1015.2587,-871.1938,-1141.0651,-893.6441,-817.79236,-1193.4562,-1241.3835,-110.4082,-14.1819500000001,-867.9212,-7.28069999999991,37.6603000000001,4.75304999999997,-755.44855,-824.25134,-828.5416,-802.77765,-858.3851,-857.5053,NA,110,"for"
"111","0000000000000000006e_0",-877.0285,-742.80566,-849.4794,-909.10693,-857.2392,-916.93585,-900.4303,-1193.1436,-1101.2316,-1296.7966,-1168.5438,-992.4311,-845.7404,-1119.2238,-1137.5538,-1194.0808,-1212.331,-923.41223,-925.3939,-1059.2131,-1312.8025,-31.5919000000001,41.9151,-857.84216,68.84715,116.8693,149.2533,-722.3297,-739.45435,-859.1008,-758.8817,-834.0636,-862.7467,NA,111,"for"
"112","0000000000000000006f_0",-728.6527,-600.8026,-575.0138,-657.3617,-716.7838,-616.4796,-737.57605,-1050.4021,-925.67615,-1030.4727,-871.01587,-771.9422,-741.1356,-829.4544,-844.5469,-959.467,-939.5768,-807.7838,-746.11896,-1013.4405,-929.9676,81.8796,63.5841999999999,-714.0072,83.8315000000003,71.868,59.2714999999999,-598.4543,-563.2146,-654.6575,-638.0593,-655.0902,-667.6693,NA,112,"for"
"113","00000000000000000070_0",-824.1813,-732.0994,-770.3629,-786.5826,-712.9139,-768.1424,-741.4344,-1031.5211,-1005.839,-1091.5021,-964.7039,-767.6163,-754.41235,-795.48047,-831.5743,-808.99756,-984.1485,-751.8198,-835.9238,-860.559,-1126.9858,-41.3069500000001,92.3027000000001,-732.15027,42.7723999999999,104.5827,117.151,-679.9144,-577.79456,-746.4983,-714.0143,-671.6039,-794.2192,NA,113,"for"
"114","00000000000000000071_0",-646.71814,-631.9345,-503.7207,-589.1643,-612.6351,-672.82666,-575.1157,-994.0139,-886.8476,-965.7952,-882.4104,-793.6471,-678.6708,-807.1708,-763.1411,-864.019,-806.1764,-715.6965,-753.40265,-751.0427,-998.6201,96.9576500000001,206.6304,-634.6076,208.7905,209.7377,254.1291,-556.0246,-566.9351,-607.8427,-662.9387,-547.46497,-573.0491,NA,114,"for"
"115","00000000000000000072_0",-1097.964,-780.13934,-733.1902,-791.412,-740.76025,-854.473,-885.058,-1098.8306,-1108.0845,-1215.4331,-1053.9895,-865.5531,-758.62317,-924.94714,-944.459,-887.2854,-1103.2578,-872.0198,-848.0327,-1005.4446,-1257.748,74.8259999999999,161.67875,-730.37177,94.2773,183.18025,158.5378,-768.9297,-681.0118,-733.57025,-739.1974,-683.4735,-795.5206,NA,115,"for"
"116","00000000000000000073_0",-503.21512,-602.9985,-544.4785,-587.1105,-581.2059,-623.00165,-583.0577,-713.1737,-738.20447,-800.1266,-728.9575,-619.3381,-565.21826,-680.551,-611.2752,-768.6116,-816.5005,-641.7137,-681.4383,-797.2616,-758.6275,2.62220000000011,16.38575,-643.40265,-2.71810000000005,-15.08305,29.0032999999999,-487.32257,-563.2744,-514.3761,-652.01855,-641.0052,-619.7066,NA,116,"for"
