system:index,Brightness,Brightness_1,Brightness_10,Brightness_11,Brightness_12,Brightness_13,Brightness_14,Brightness_15,Brightness_16,Brightness_17,Brightness_18,Brightness_19,Brightness_2,Brightness_20,Brightness_21,Brightness_22,Brightness_23,Brightness_24,Brightness_25,Brightness_26,Brightness_27,Brightness_28,Brightness_29,Brightness_3,Brightness_30,Brightness_31,Brightness_32,Brightness_4,Brightness_5,Brightness_6,Brightness_7,Brightness_8,Brightness_9,.geo
00000000000000000080_0,2877.0308,2993.565,2789.149,2925.7507,2556.2534,2543.666,2792.693,3026.919,2962.3022,2968.8901,2582.1938,2554.0913,2776.3704,2569.023,2481.151,2641.8037,2671.825,2701.1335,2663.877,2603.7847,2668.3018,2508.242,3015.3232,3061.9631,3098.6416,2875.0698,2908.3398,3024.1948,3324.4944,3269.2983,3331.9067,2878.755,2880.188,
00000000000000000081_0,2082.9663,1729.4109,1519.4026,1959.8838,1599.9065,1641.45,1843.9493,2086.396,2096.6606,2117.6665,2294.5305,1929.282,1749.5839,1847.5503,1719.5256,1990.1104,1841.3701,1812.0215,1798.4425,1705.9371,2046.2775,1786.4893,2142.7021,2090.7578,2231.6538,2072.1912,2083.4343,2051.1213,2305.3213,2341.7969,2614.5266,2063.857,1993.8618,
00000000000000000082_0,2990.2705,2608.2466,2670.027,2634.7585,2722.0305,2480.614,2804.08,2744.1272,2992.0247,3061.836,2731.5195,2695.882,2830.4258,2790.7502,2826.3198,2824.7266,2735.135,2790.5566,2733.8203,2752.8472,2868.036,2750.797,2716.465,2777.3093,2904.2126,2928.5852,2949.997,2742.1143,2660.9973,2788.1465,2924.168,2342.4119,2341.101,
00000000000000000083_0,2882.2473,2284.6626,2291.35,2604.9731,2645.6685,2487.3252,2495.2695,2641.5269,2794.3179,2790.1157,2592.5935,2447.336,2569.6875,2584.1768,2565.5493,2626.9927,2640.3982,2524.6687,2499.46,2246.2502,2533.6438,2850.6604,2597.6152,2695.8271,2977.0825,2686.9768,2612.8357,2641.5737,2554.7412,2715.0215,3043.8918,2465.5303,2286.2114,
00000000000000000084_0,3174.4639,3145.0227,3040.5786,3269.8586,3302.3594,2981.1082,2998.1763,3205.978,3160.282,3433.3667,3224.111,3017.3228,3354.7598,2983.5127,2932.6008,2974.4392,2919.3125,3138.094,2924.3003,2968.4385,3100.698,3202.2058,3280.0742,3246.2324,3291.2888,3553.2158,3214.6404,3386.6292,3470.3872,3396.5608,3695.8345,3137.8896,3334.7246,
00000000000000000085_0,3049.731,3131.1199,3122.4202,3177.7803,3176.894,2642.0225,2731.4575,2980.6235,3031.9175,3480.2095,3149.531,3098.4023,3592.5771,3085.0044,3134.9155,2873.4524,2961.7788,2939.367,2913.2598,2926.691,2928.8179,2841.5466,3606.7417,3259.3855,3419.5913,3587.6074,3095.1997,3253.005,3657.481,3429.1455,4190.841,3106.568,3329.452,
00000000000000000086_0,2725.59,3040.0864,2081.7107,2948.8408,3171.585,2499.1863,2415.605,2615.3726,2691.7034,3052.7942,2905.597,2718.1934,3289.5586,2500.587,2320.5664,2628.7278,2472.1458,2645.2935,2546.9712,2489.6562,2803.4268,2308.6394,3291.8845,3214.4336,3040.391,3223.9736,3051.8845,3455.9282,3530.5684,3445.7786,3292.1943,2881.0293,3131.2375,
00000000000000000087_0,2772.823,2879.548,2802.795,3049.5796,2967.334,2997.9668,2934.3325,3008.1663,3079.7327,3271.5684,3159.6558,2789.306,3067.1367,2973.7307,2816.731,2816.511,2788.254,2701.0774,2760.76,2681.0679,2708.9172,3102.2139,3189.4038,3163.3088,2971.2896,3087.9204,3246.162,3117.1355,3312.6934,3091.5269,3308.7756,3210.7664,3100.0251,
00000000000000000088_0,1672.6217,1937.9851,1053.3481,1651.1189,1705.6285,1795.6984,1662.079,1977.6796,2022.5398,2181.413,2373.7437,2251.5557,1956.9839,1912.9806,1674.2561,2326.5632,2115.502,1951.5424,1949.169,1955.3978,2201.8875,1916.2771,2228.285,2391.8015,2358.0457,1887.6594,2138.1946,2149.5388,2251.8145,1983.6982,2773.746,2392.8242,2348.249,
00000000000000000089_0,3261.897,2763.8,2857.429,2911.1929,3106.1416,2601.861,2799.2534,2946.0308,3113.858,3052.3025,3037.9187,2911.0845,3007.8413,2810.9165,2883.4883,2926.0586,2710.6904,2786.8647,2730.4375,2650.121,2865.652,2950.9167,3077.4429,3105.5835,3119.623,2943.3118,2911.4087,3043.7207,3089.9187,3009.6587,3732.662,3163.9688,2702.292,
