system:index,Greenness,Greenness_1,Greenness_10,Greenness_11,Greenness_12,Greenness_13,Greenness_14,Greenness_15,Greenness_16,Greenness_17,Greenness_18,Greenness_19,Greenness_2,Greenness_20,Greenness_21,Greenness_22,Greenness_23,Greenness_24,Greenness_25,Greenness_26,Greenness_27,Greenness_28,Greenness_29,Greenness_3,Greenness_30,Greenness_31,Greenness_32,Greenness_4,Greenness_5,Greenness_6,Greenness_7,Greenness_8,Greenness_9,.geo
00000000000000000094_0,1914.4807,2185.7217,1899.2437,2171.8042,2556.3823,1812.011,1878.964,1702.2659,1582.329,1866.88,1805.4019,1722.3718,1907.6571,1734.7369,1593.1509,1754.8854,1892.2769,1949.0027,1767.344,1768.7812,1517.5063,1759.0088,2013.9124,2127.8816,2251.8042,2191.2227,2048.1208,2481.5635,2713.0923,1961.0594,1822.9752,2052.6057,2261.324,
00000000000000000095_0,1225.48,1553.1659,1227.3134,1677.6302,2024.6216,1300.6694,1099.666,1450.1084,1265.9644,1418.6013,1465.7266,1277.1719,1606.0148,1254.611,969.8716,1322.8988,1538.1093,1258.492,1290.2059,1268.0454,1116.4106,1294.2704,1730.2667,1928.612,1832.9983,2079.7612,1635.7225,2060.1506,2232.1282,1548.115,1194.2538,1510.98,2234.2297,
00000000000000000096_0,1203.6025,1434.0465,860.831,1440.6139,2066.4783,996.5079,1273.4324,1324.4001,1246.0782,1414.7322,1425.6515,1227.8776,1822.2661,1187.6411,1161.4464,1398.7448,1566.7695,1429.618,1202.3702,1161.6633,1014.1233,1753.3251,1872.9735,1775.2319,2155.4602,1939.136,1910.2844,1917.8274,2374.1333,1469.2788,1383.8269,1681.6254,2134.2417,
00000000000000000097_0,2515.7903,2554.3462,2274.0403,2584.5767,2884.494,2396.5889,2092.8193,2301.1226,2121.8608,2111.0881,2281.4849,2112.222,2597.9004,2412.802,2301.25,2082.5903,2173.274,2458.8547,2258.0645,2331.5974,1797.4828,2596.2139,2612.3235,2777.3774,2656.9365,2995.0525,2675.0298,2748.8667,2758.7673,2616.695,2295.1443,2716.496,2599.3728,
00000000000000000098_0,2088.4465,2104.9658,2023.6097,2018.6837,2380.2173,1992.2874,1904.9785,1808.2212,1811.5148,1771.8359,1853.8137,1756.5577,2041.5402,1807.6265,1885.269,1875.1857,1775.3062,1960.1936,2017.365,2013.9467,1619.114,2288.2231,2292.199,2114.1802,2159.2815,2386.9644,2282.3875,2149.1177,2485.3135,2134.085,1718.5371,1992.6099,2131.888,
00000000000000000099_0,400.5699,741.2669,330.97025,340.9164,781.066,361.1718,402.0905,484.4477,603.1776,954.0118,870.783,448.2857,652.9581,461.7538,309.926,714.5212,567.6572,658.0936,881.18005,630.958,777.6058,596.00757,1275.3677,799.2005,917.3776,1211.0374,1017.6316,789.2311,1286.6187,801.7026,628.3182,286.35498,1373.4476,
0000000000000000009a_0,1293.3271,1686.0784,1359.7435,1548.9122,1711.885,1321.8036,895.2028,1257.5764,1348.7218,1590.9486,1505.5009,1311.9943,1726.617,1302.7948,1094.1942,1364.6858,1377.6958,1496.0101,1580.2532,1523.206,1209.5232,1417.783,1884.5413,1791.1943,1564.1564,2051.5566,1966.0063,1669.7847,2388.7617,2249.0476,1353.6353,1053.8087,2114.414,
0000000000000000009c_0,1397.6779,1914.5365,1589.1093,1733.5696,2457.2947,1391.3865,1135.1711,1491.0258,1245.7478,1310.1111,1452.5072,1513.4781,1802.073,1568.7067,1379.1855,1581.4325,1618.703,1712.6595,2054.8977,1422.6747,1443.9834,1711.919,1981.7697,1753.5742,1787.953,2049.1255,1914.1328,1839.8606,2461.3984,1433.147,1850.8276,2548.4795,2209.6968,
0000000000000000009d_0,1491.2672,1612.305,1495.6978,1493.7505,1946.986,1425.4459,1323.8575,1310.9006,1389.0565,1490.1782,1424.698,1360.185,1595.4612,1392.4209,1321.6455,1460.9001,1207.494,1563.6705,1608.6816,1443.4858,1220.4834,1495.2452,1796.1963,1644.6229,1616.6644,1661.3003,1737.6407,1740.7283,2001.981,1371.4736,1561.6143,1378.9849,1834.432,
0000000000000000009e_0,334.8261,658.5081,252.8253,364.89,799.8271,355.81494,310.2677,501.2598,367.9699,720.9762,639.9392,353.39288,500.2009,422.06226,280.6444,537.4671,374.5487,440.53015,548.46906,392.73834,617.6185,551.1293,1118.341,600.0685,502.65503,1107.6942,650.1193,711.8895,1205.66,872.3893,456.72656,429.71448,1113.3547,
0000000000000000009f_0,984.6663,1265.8242,739.5228,880.6993,1547.52,915.9153,834.2746,1111.8772,1115.3032,1281.5107,1208.473,905.2195,1371.026,1032.0616,781.5822,1116.0513,1044.4401,945.4121,1335.3608,1088.3622,1060.0999,1380.998,1597.3477,1298.954,1237.8943,1479.1707,1553.2423,1341.3623,1653.6876,1288.472,1006.109,761.067,1529.4038,
000000000000000000a0_0,1323.4645,1579.2446,1282.7295,1115.0012,1890.043,1384.4583,1086.4558,1390.5529,1038.85,1401.169,1381.2559,1198.4731,1527.0707,1236.3005,1061.7415,1283.5479,1059.3068,1396.1526,1513.9429,1479.007,1158.4364,1695.5781,1930.8118,1863.2684,1632.6431,2139.2048,1783.6082,1697.8779,1714.9989,1146.6364,1174.4318,998.1563,1884.8025,
