system:index,NDVI,NDVI_1,NDVI_10,NDVI_11,NDVI_12,NDVI_13,NDVI_14,NDVI_15,NDVI_16,NDVI_17,NDVI_18,NDVI_19,NDVI_2,NDVI_20,NDVI_21,NDVI_22,NDVI_23,NDVI_24,NDVI_25,NDVI_26,NDVI_27,NDVI_28,NDVI_29,NDVI_3,NDVI_30,NDVI_31,NDVI_32,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,VALUE,.geo
0000000000000000000f_0,0.85519415,0.8665903,0.7679156,0.8280837,0.866806,0.8329832,0.8636364,0.89302325,0.9006289,0.9071374,0.9039548,0.9062365,0.8733246,0.91015625,0.8901751,0.90854394,0.9157968,0.8941799,0.94093764,0.90830606,0.9657444,0.92779785,0.92804533,0.8777315,0.93680614,0.9351702,0.9312111,0.88620794,0.860108,0.8515942,0.79541355,0.8245413,0.87356776,1.0,
00000000000000000010_0,0.80943686,0.81014645,0.86881936,0.8370895,0.8332626,0.8092743,0.8267183,0.8722797,0.84518945,0.8526164,0.70677644,0.7874074,0.8108827,0.79305136,0.7520839,0.76839566,0.7818674,0.8249337,0.8033649,0.80445796,0.78770685,0.72819275,0.8320058,0.82574975,0.8309788,0.798895,0.7802929,0.8180929,0.81622726,0.81095403,0.7161017,0.78172714,0.83455384,1.0,
00000000000000000012_0,0.76635516,0.8412915,0.79831934,0.907397,0.78066915,0.7778759,0.85741156,0.85175824,0.89268094,0.8528661,0.86153495,0.8662143,0.8362862,0.83100027,0.8623595,0.83652616,0.7895428,0.8639623,0.8476554,0.83002424,0.83649874,0.8081316,0.85232174,0.8341517,0.8920135,0.8195178,0.8621208,0.80498993,0.86345756,0.803663,0.76545745,0.75088197,0.8012008,1.0,
00000000000000000013_0,0.66952175,0.75556296,0.7468146,0.7516918,0.8067366,0.7592166,0.79034156,0.7873042,0.7688998,0.78374386,0.79933846,0.8099707,0.8181818,0.762694,0.772633,0.8002706,0.82886034,0.8355868,0.8378091,0.8117647,0.8243394,0.8397018,0.85181373,0.8249871,0.86166006,0.8633987,0.8723157,0.825731,0.81035703,0.8337218,0.7394118,0.7800418,0.721519,1.0,
00000000000000000014_0,0.84457046,0.833926,0.77357644,0.76687956,0.7313901,0.68663126,0.75101745,0.7355566,0.778036,0.7780763,0.76492983,0.7947343,0.7262558,0.8100341,0.81063557,0.8048879,0.80199057,0.8388504,0.8213817,0.82297266,0.82247555,0.784522,0.8291511,0.55612636,0.8202368,0.82355595,0.8457179,0.5258879,0.6210343,0.6461344,0.5640816,0.6999238,0.7270715,1.0,
00000000000000000015_0,0.8577262,0.8612553,0.8418882,0.8146978,0.81656545,0.79784554,0.8241856,0.8640903,0.8480749,0.8567708,0.8650568,0.8424408,0.8739996,0.8724502,0.84881514,0.8581496,0.8493083,0.87826085,0.8739452,0.8575736,0.8332491,0.8738574,0.8800484,0.85578483,0.88470846,0.8881904,0.896793,0.8676599,0.8481514,0.8576181,0.6532887,0.7888465,0.8467543,1.0,
00000000000000000018_0,0.7815029,0.7851548,0.7496513,0.74367625,0.7075767,0.6588279,0.7434679,0.70980144,0.7387454,0.7565342,0.64751226,0.79073036,0.69842863,0.73467195,0.7103825,0.72072357,0.7131006,0.7663521,0.7824109,0.7419578,0.70020294,0.6861156,0.80232906,0.7183303,0.7321362,0.7748982,0.76789653,0.7593331,0.7625451,0.7009524,0.5559441,0.48332867,0.6887931,1.0,
00000000000000000019_0,0.8555601,0.8646132,0.9752066,0.8594642,0.86745024,0.8429431,0.87630826,0.9084022,0.8852459,0.90314597,0.910299,0.8766999,0.84589946,0.915333,0.88893867,0.90875643,0.85665816,0.9309133,0.8982284,0.88342756,0.90642,0.906576,0.91008645,0.85426354,0.9093016,0.91049385,0.9065474,0.88487667,0.8713879,0.86392725,0.68010634,0.6368564,0.8518968,1.0,
0000000000000000001a_0,0.77942485,0.78610665,0.7493842,0.7526917,0.76192355,0.70144755,0.75161564,0.798151,0.7705399,0.71737707,0.8421808,0.66193855,0.77570635,0.72192514,0.7097519,0.5841151,0.5296542,0.6101172,0.7343372,0.7468067,0.66695476,0.62380815,0.74555254,0.7640973,0.7756795,0.77365696,0.7640845,0.79601544,0.76019776,0.77275294,0.39639935,0.50345737,0.6919332,1.0,
0000000000000000001b_0,0.8304862,0.88006854,0.87082,0.90978724,0.90320385,0.8217544,0.9076155,0.90697676,0.87893176,0.91153705,0.91819054,0.91415155,0.88095236,0.90094924,0.9445585,0.90332973,1.031439,0.8888889,0.93054944,0.9035714,0.98888886,0.9040167,1.0181488,0.86990595,0.9073775,0.9177632,0.93581516,0.877292,0.8713355,0.8770686,0.8380744,0.83426297,0.8716799,1.0,
