system:index,RED,RED_1,RED_10,RED_11,RED_12,RED_13,RED_14,RED_15,RED_16,RED_17,RED_18,RED_19,RED_2,RED_20,RED_21,RED_22,RED_23,RED_24,RED_25,RED_26,RED_27,RED_28,RED_29,RED_3,RED_30,RED_31,RED_32,RED_4,RED_5,RED_6,RED_7,RED_8,RED_9,VALUE,.geo
000000000000000000b8_0,573.0,751.0,570.5,687.5,612.0,551.0,498.0,594.0,747.0,626.0,932.0,715.0,696.5,597.0,585.0,627.0,654.0,575.0,556.5,589.0,673.5,444.5,583.0,718.0,529.0,497.5,538.5,588.0,678.0,698.5,718.5,895.0,787.5,1.0,
000000000000000000b9_0,652.0,587.5,508.0,597.5,521.0,705.0,550.0,762.0,707.0,666.0,525.5,472.0,551.5,483.0,575.0,639.0,562.0,490.0,505.0,575.0,647.0,456.5,779.0,679.0,555.5,415.0,521.0,530.0,602.0,672.0,794.0,667.0,541.0,1.0,
000000000000000000ba_0,314.0,351.5,238.0,322.0,258.0,310.0,296.0,296.0,287.0,246.5,323.5,269.5,300.5,247.0,261.0,303.0,285.0,273.0,281.0,265.0,218.0,284.0,252.0,327.0,224.0,210.0,201.0,262.5,325.0,273.0,484.0,424.0,333.5,1.0,
000000000000000000bb_0,445.0,380.0,361.5,364.0,303.0,380.0,446.0,491.0,439.0,365.0,334.0,365.0,412.5,314.0,353.0,403.0,351.0,361.0,340.5,330.5,312.0,289.0,279.0,363.0,276.0,301.5,264.0,336.0,319.5,363.0,485.0,386.0,328.0,1.0,
000000000000000000bc_0,393.0,627.0,1024.0,634.0,589.0,587.0,586.0,547.0,839.0,693.0,728.0,780.5,576.0,862.0,782.0,795.0,771.0,558.0,568.0,706.0,555.5,737.0,656.0,502.0,615.0,621.0,640.0,527.0,556.5,611.5,821.0,977.0,722.5,1.0,
000000000000000000bd_0,396.0,439.0,742.0,998.0,945.5,1046.0,922.0,975.5,877.0,959.5,975.0,975.0,400.5,804.5,730.5,770.0,684.0,532.0,688.5,521.0,628.5,483.0,508.0,408.0,544.0,537.0,591.0,338.0,447.0,396.0,1148.5,896.0,1119.5,1.0,
000000000000000000be_0,515.0,350.0,581.0,878.0,720.0,946.5,760.0,886.5,815.0,770.0,771.0,934.5,299.0,859.0,918.5,778.0,794.0,657.0,671.0,641.5,597.5,664.0,606.5,333.0,648.0,524.0,523.0,358.0,807.0,435.0,805.0,977.0,883.0,1.0,
000000000000000000bf_0,417.0,427.5,711.0,676.5,685.0,628.0,551.0,536.0,864.0,756.0,743.0,884.0,631.0,860.0,799.5,812.0,808.0,561.0,570.5,721.0,533.0,672.0,720.0,565.0,472.0,652.0,539.0,609.0,669.0,648.5,821.0,768.0,1005.0,1.0,
000000000000000000c0_0,760.0,1600.0,664.0,587.0,652.5,698.0,732.5,791.0,826.0,947.0,799.0,901.5,896.0,661.0,749.0,819.5,788.0,672.5,715.0,822.0,742.0,688.0,725.0,818.0,557.0,571.0,619.0,718.5,785.0,705.0,756.0,666.0,660.0,1.0,
000000000000000000c1_0,333.0,376.0,443.0,514.0,490.0,635.0,627.0,589.0,580.0,623.0,634.0,609.0,397.0,496.5,534.0,569.0,532.0,460.0,462.0,450.5,538.0,402.0,395.5,527.0,454.5,411.0,572.0,426.0,493.0,504.5,655.5,726.5,723.0,1.0,
