system:index,RED,RED_1,RED_10,RED_11,RED_12,RED_13,RED_14,RED_15,RED_16,RED_17,RED_18,RED_19,RED_2,RED_20,RED_21,RED_22,RED_23,RED_24,RED_25,RED_26,RED_27,RED_28,RED_29,RED_3,RED_30,RED_31,RED_32,RED_4,RED_5,RED_6,RED_7,RED_8,RED_9,VALUE,.geo
000000000000000000f3_0,741.0,621.0,590.0,1073.5,740.0,806.0,1188.0,604.0,652.0,935.0,802.5,867.0,568.5,850.0,740.0,594.0,853.5,883.0,962.0,901.0,284.0,221.0,229.0,804.5,254.0,308.0,353.0,759.0,381.0,702.0,625.0,812.0,672.5,1.0,
000000000000000000f4_0,580.0,753.0,670.0,1043.0,619.0,700.0,1225.0,565.0,539.0,896.5,788.5,857.5,553.0,871.0,724.0,646.0,911.0,915.0,957.0,879.5,340.0,309.0,439.5,846.5,275.0,406.0,440.0,689.0,382.0,711.0,722.0,546.0,493.5,1.0,
000000000000000000f5_0,816.0,782.0,742.0,796.0,521.0,849.0,1148.0,613.5,423.0,394.5,458.0,331.5,544.0,421.0,238.5,339.0,461.0,256.0,482.0,357.0,219.0,355.0,212.0,538.0,195.0,157.5,158.0,652.0,386.5,475.0,629.0,616.5,619.0,1.0,
000000000000000000f6_0,373.0,475.0,517.0,980.0,614.0,401.0,1114.0,501.0,512.0,755.0,648.0,739.0,264.0,862.0,646.0,572.5,905.0,905.0,859.5,851.5,345.0,311.0,395.0,644.0,297.0,368.0,331.0,535.0,405.0,579.0,565.0,506.0,492.5,1.0,
000000000000000000f7_0,621.0,654.5,760.0,680.0,749.0,696.5,693.0,914.0,877.0,806.0,855.0,854.0,676.0,797.0,942.0,736.0,700.0,562.0,600.5,737.0,641.0,808.0,748.0,674.0,735.0,552.0,605.0,782.0,805.0,926.0,1243.0,977.0,838.5,1.0,
000000000000000000f8_0,599.5,756.0,624.0,1043.0,684.0,649.0,1225.0,576.0,576.0,916.0,787.0,888.0,504.0,898.0,691.0,646.0,916.0,907.0,941.0,881.5,366.5,306.0,439.0,829.5,259.0,373.0,413.0,689.0,351.0,685.0,658.0,580.0,493.5,1.0,
000000000000000000f9_0,922.5,724.0,708.0,760.0,563.0,848.0,1180.0,583.0,507.0,511.0,467.0,463.0,469.0,571.5,658.0,481.0,663.5,417.0,541.5,627.0,215.0,215.0,398.0,637.5,370.0,190.5,256.0,618.0,506.0,489.0,589.5,750.0,665.5,1.0,
000000000000000000fa_0,819.5,770.0,646.0,698.0,586.0,750.0,1092.0,584.5,435.5,425.0,370.5,401.0,488.0,620.0,804.0,694.0,553.0,404.0,414.0,414.0,199.0,383.0,272.0,622.5,263.0,250.0,176.0,490.0,550.0,503.0,573.5,634.0,529.0,1.0,
000000000000000000fb_0,469.0,636.0,515.0,1088.5,717.0,653.0,1179.0,563.5,559.5,869.0,811.0,849.0,583.0,946.0,727.0,604.0,926.5,895.0,866.5,921.5,315.0,315.0,438.0,853.0,236.0,349.0,415.0,725.0,365.0,685.0,660.0,484.0,492.5,1.0,
000000000000000000fc_0,709.0,598.5,628.0,1101.0,717.0,855.0,1225.0,587.0,595.5,908.0,810.0,833.0,579.0,812.5,756.5,726.0,874.0,862.0,904.0,944.5,335.5,237.0,429.0,775.0,310.0,435.5,408.0,760.0,386.0,711.0,659.0,682.0,694.5,1.0,
000000000000000000fd_0,436.5,413.0,855.0,848.5,825.0,925.0,733.0,696.0,611.0,557.0,519.5,578.5,447.0,538.0,556.5,541.0,530.0,474.0,480.0,459.0,414.5,404.5,383.5,448.0,375.0,372.0,314.0,361.0,436.0,1026.0,1463.5,1134.0,1036.0,1.0,
000000000000000000fe_0,566.0,598.5,700.0,687.0,523.0,642.5,557.0,911.0,981.5,701.5,797.0,716.5,449.0,648.0,1105.0,959.5,710.0,652.0,682.0,854.0,908.0,744.0,913.0,468.0,927.0,861.0,1321.0,494.0,562.0,438.5,980.0,758.0,719.0,1.0,
000000000000000000ff_0,800.0,934.0,1509.0,827.0,810.0,836.0,769.0,1078.5,955.5,611.5,931.0,767.0,738.0,720.0,1098.0,899.5,854.0,685.5,695.0,885.0,858.0,710.5,1204.0,837.0,1207.0,1426.0,1530.5,619.0,875.0,734.0,888.0,895.5,1146.0,1.0,
00000000000000000100_0,681.0,671.0,670.0,1206.0,909.0,1092.0,1221.0,618.5,683.0,907.0,843.0,884.0,549.0,880.0,737.5,778.0,863.0,948.0,977.0,864.5,295.0,258.0,558.0,714.0,373.0,453.0,535.0,690.0,501.0,641.5,633.0,964.0,780.5,1.0,
