system:index,NDVI,NDVI_1,NDVI_10,NDVI_11,NDVI_12,NDVI_13,NDVI_14,NDVI_15,NDVI_16,NDVI_17,NDVI_18,NDVI_19,NDVI_2,NDVI_20,NDVI_21,NDVI_22,NDVI_23,NDVI_24,NDVI_25,NDVI_26,NDVI_27,NDVI_28,NDVI_29,NDVI_3,NDVI_30,NDVI_31,NDVI_32,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,.geo
0000000000000000003c_0,0.8681319,0.8719033,0.84447145,0.86998785,0.88037634,0.85201794,0.88458675,0.8960396,0.86607635,0.884058,0.9044776,0.8943358,0.84170914,0.89433384,0.8906433,0.91496503,0.87796456,0.91276425,0.89988357,0.8933649,0.90627986,0.89935637,0.9125993,0.86581254,0.8929664,0.90944445,0.91525966,0.86133486,0.86707956,0.8635514,0.7368251,0.8242009,0.84732425,
0000000000000000003d_0,0.7522381,0.8645418,0.8952604,0.85048497,0.8459828,0.8570188,0.8546179,0.8945549,0.8488975,0.87145185,0.885439,0.8840796,0.8566263,0.9351797,0.89485097,0.8827673,0.8994279,0.8856977,0.89547884,0.8898089,0.8928939,0.89949465,0.9148494,0.862552,0.9021459,0.9320866,0.9146373,0.8697845,0.8476999,0.8520726,0.7543549,0.8095012,0.8434983,
0000000000000000003e_0,0.8677005,0.8728395,0.8784242,0.8717703,0.87367946,0.8757729,0.8749673,0.9079144,0.8811761,0.8987952,0.8936112,0.9078744,0.85824925,0.90893567,0.88897496,0.90021425,0.8805049,0.8903442,0.887689,0.89182544,0.9075873,0.88379,0.9122574,0.87159145,0.9026575,0.90731996,0.91411364,0.87284285,0.8641707,0.8527746,0.76919496,0.8316276,0.8380414,
0000000000000000003f_0,0.872126,0.8789144,0.86297375,0.8627952,0.8834244,0.84048337,0.8828477,0.9202801,0.88153565,0.8882096,0.8976967,0.8990127,0.8548875,0.89929384,0.8966931,0.89794236,0.8970862,0.89050096,0.9006336,0.89067525,0.8717152,0.9047619,0.91603744,0.86232126,0.8918188,0.91990364,0.9172498,0.8646262,0.8496362,0.8704948,0.74397284,0.84034604,0.86915886,
00000000000000000040_0,0.87895715,0.8593793,0.8889578,0.8751032,0.8816825,0.86548996,0.8804932,0.9066246,0.8780899,0.90197325,0.90444595,0.9064692,0.87398374,0.91746986,0.90398365,0.89797485,0.90688896,0.9079052,0.9044463,0.90469134,0.8986587,0.91066045,0.9155492,0.88115245,0.9178633,0.9320113,0.9287975,0.8685819,0.8497577,0.8666667,0.7310478,0.8615292,0.8429218,
00000000000000000041_0,0.8911381,0.89176655,0.9042229,0.8677824,0.9133394,0.8663781,0.9067127,0.9217639,0.9112836,0.92288435,0.90764105,0.9092082,0.9004318,0.9091651,0.92945105,0.9249197,0.9102715,0.9211157,0.9119691,0.9162206,0.91965914,0.9225125,0.92948574,0.89153594,0.9145484,0.9245678,0.9264274,0.91353756,0.9091575,0.8853446,0.80693614,0.86887646,0.88842326,
00000000000000000042_0,0.82272416,0.80831826,0.8293002,0.8217458,0.8483412,0.880977,0.8430311,0.8962963,0.8768819,0.8836276,0.8832404,0.8793838,0.829557,0.9009381,0.87352026,0.897403,0.8946994,0.8898236,0.903407,0.88253576,0.87468493,0.9026265,0.90837777,0.85016286,0.9094937,0.915406,0.9241209,0.85589814,0.81385416,0.81243956,0.7407986,0.7940438,0.847097,
00000000000000000043_0,0.84442663,0.82683015,0.83829474,0.83421206,0.8725817,0.85320324,0.86361986,0.90260476,0.8663258,0.9070352,0.8888889,0.8855912,0.8362041,0.88691556,0.8998871,0.89199615,0.8730703,0.8839703,0.8894277,0.912055,0.882843,0.89791185,0.90386426,0.8750507,0.9017341,1.0205799,0.922039,0.8483034,0.8476776,0.82078105,0.7423745,0.80154926,0.8238342,
00000000000000000044_0,0.85851383,0.85066164,0.86339754,0.8460677,0.851696,0.8371201,0.84601396,0.8842105,0.8575515,0.87862796,0.89804775,0.90707844,0.8712189,0.89420086,0.8917329,0.9111355,0.8791627,0.9145299,0.89183164,0.8742479,0.8716541,0.88789546,0.88787806,0.85420465,0.8826681,0.9033457,0.9033304,0.8580279,0.86849576,0.8354268,0.7689291,0.8083034,0.86416626,
00000000000000000045_0,0.86907995,0.8722628,0.88021535,0.84428084,0.8776545,0.82300884,0.84508604,0.89529973,0.8949182,0.9150217,0.8923077,0.9107867,0.87012345,0.8983218,0.899106,0.9039349,0.8871827,0.9126247,0.9011489,0.8821743,0.8990875,0.87925106,0.8955864,0.8862119,0.8938377,0.90515894,0.90784556,0.8702145,0.88018435,0.8297985,0.73972136,0.80755305,0.8655631,
