system:index,Wetness,Wetness_1,Wetness_10,Wetness_11,Wetness_12,Wetness_13,Wetness_14,Wetness_15,Wetness_16,Wetness_17,Wetness_18,Wetness_19,Wetness_2,Wetness_20,Wetness_21,Wetness_22,Wetness_23,Wetness_24,Wetness_25,Wetness_26,Wetness_27,Wetness_28,Wetness_29,Wetness_3,Wetness_30,Wetness_31,Wetness_32,Wetness_4,Wetness_5,Wetness_6,Wetness_7,Wetness_8,Wetness_9,.geo
00000000000000000000_0,-141.06035,-269.2221,-110.7081,-297.60693,-320.4483,-345.2784,-367.37848,-470.67444,-478.0912,-618.3985,-524.8407,-534.39844,-278.29752,-292.79364,-367.8289,-449.2085,-531.827,-343.6539,-442.3745,-454.8957,-716.2489,13.09565,61.694250000000025,-388.1391,88.68890000000002,61.985,51.65,-336.3936,-326.6168,-288.6599,-463.47595,-444.63916,-384.197,
00000000000000000001_0,-216.94655,-312.0619,-99.0701,-145.7802,-243.5898,-274.9632,-300.7034,-454.0701,-431.9358,-561.58997,-467.29135,-513.7904,-265.4166,-388.6675,-319.87726,-411.68015,-473.1698,-330.94373,-393.4544,-462.25705,-567.8799,34.197250000000004,150.70979999999997,-336.06628,128.68929999999986,93.66159999999996,150.39669999999998,-166.1906,-340.429,-228.20361,-407.04388,-381.4214,-317.2071,
00000000000000000002_0,-538.1628,-603.7359,-405.369,-515.46576,-521.00555,-570.47906,-587.7756,-730.84924,-700.26385,-928.3476,-767.7404,-746.3436,-588.6366,-555.7607,-518.9942,-646.5484,-779.15265,-555.48914,-613.9578,-672.3174,-923.6436,-13.458050000000057,79.82689999999997,-671.1885,78.85569999999993,48.429450000000074,106.37570000000001,-490.0886,-584.7743,-513.146,-603.33356,-625.1804,-599.8804,
00000000000000000003_0,-332.7374,-430.457,-351.7189,-454.5636,-396.8667,-437.6249,-458.50098,-757.705,-683.08325,-905.50214,-724.6315,-585.8072,-408.78168,-615.3535,-510.9576,-608.9675,-742.7447,-588.26154,-524.6987,-683.16,-782.1816,137.2828,151.50970000000007,-608.5317,101.45925000000001,138.84109999999995,168.5125,-433.0134,-500.8335,-359.25293,-426.5104,-465.79187,-427.2171,
00000000000000000004_0,-430.7496,-448.4464,-368.2481,-393.7568,-414.85107,-499.3093,-426.3188,-700.121,-714.3309,-848.29016,-657.8414,-608.8501,-380.4539,-617.79584,-732.34436,-649.1581,-707.54095,-598.0268,-627.53705,-587.2456,-847.8716,-22.34105000000004,146.7905500000001,-436.3743,53.32315000000007,96.41589999999998,137.34909999999996,-362.4983,-323.60858,-341.8841,-472.8966,-356.37457,-460.1721,
00000000000000000005_0,-362.21695,-450.704,-296.23138,-516.0249,-348.3724,-472.5154,-479.5055,-712.0834,-625.6831,-828.6665,-679.9872,-661.98566,-420.8866,-538.3253,-475.6945,-482.4042,-562.3064,-467.8069,-518.4995,-612.5276,-849.7506,69.69220000000007,146.33770000000004,-508.8448,80.94020000000002,135.96615000000003,141.05964999999992,-300.6169,-496.94543,-436.7286,-540.8021,-476.96747,-430.4207,
00000000000000000006_0,-320.28827,-396.5705,-306.5415,-457.2729,-362.6423,-451.5664,-448.97345,-668.94714,-581.3862,-753.01,-683.1116,-449.4415,-344.6037,-588.76935,-470.2037,-531.93787,-498.0001,-476.0494,-514.927,-572.6051,-694.9058,-5.540299999999945,125.65064999999994,-487.6767,62.98619999999994,75.27875000000003,117.71450000000002,-281.894,-394.1555,-357.9429,-505.7714,-465.54745,-423.56036,
00000000000000000007_0,-453.59985,-455.6682,-290.1513,-465.1983,-423.19284,-593.5101,-456.9095,-760.5165,-744.41797,-833.3752,-755.7329,-629.5502,-448.3396,-615.7214,-557.0692,-675.5517,-624.0177,-612.6913,-558.1546,-701.9197,-888.2793,42.57289999999995,113.4436,-477.1275,100.18185000000001,111.34139999999991,181.73270000000002,-434.1129,-453.6727,-462.9161,-545.1561,-464.646,-490.2588,
00000000000000000008_0,-427.4308,-472.7284,-420.7212,-508.2043,-454.2533,-544.4828,-560.6409,-828.6018,-675.5361,-909.2991,-712.93317,-707.0897,-473.5047,-540.8446,-584.151,-640.91595,-649.32214,-574.18567,-645.9385,-683.5973,-833.85297,44.434099999999916,105.02870000000007,-619.6643,82.83035000000001,69.21249999999992,134.59725000000003,-416.5021,-532.4486,-447.0097,-648.6395,-573.5381,-597.9779,
00000000000000000009_0,-617.1553,-668.6258,-579.8644,-644.2455,-559.6205,-769.6358,-618.7028,-984.8495,-992.0082,-1129.6672,-969.4746,-864.99133,-636.8456,-903.8314,-674.9983,-812.5222,-705.3236,-713.8795,-812.1227,-919.03644,-1031.4458,75.22584999999995,201.782,-669.1705,51.80969999999991,168.9144,184.51169999999996,-593.2777,-543.7933,-585.5751,-702.38586,-603.0173,-626.7735,
0000000000000000000a_0,-443.5506,-552.2981,-381.19952,-469.4732,-401.8543,-532.8062,-591.1658,-796.15063,-709.41376,-1010.15344,-831.9256,-675.1048,-533.7298,-636.956,-640.248,-576.1286,-766.16644,-688.2637,-675.9561,-765.3181,-931.8863,118.82219999999995,201.48365,-563.8719,185.9664,110.08800000000005,161.4935999999999,-415.6367,-585.8287,-441.2395,-492.44263,-599.5523,-574.2907,
0000000000000000000b_0,-837.3383,-820.5279,-614.68066,-580.3153,-614.4073,-642.35376,-549.8664,-912.81714,-887.47186,-960.0162,-893.3091,-625.8819,-694.7633,-609.4166,-821.041,-623.1638,-953.0287,-591.0686,-695.4287,-759.893,-1017.5018,134.14839999999995,169.97050000000024,-777.9298,181.98939999999985,-131.83405,97.8132999999998,-690.4236,-719.6533,-676.3651,-524.41656,-684.3922,-735.86816,
0000000000000000000c_0,-883.5443,-839.11975,-689.7877,-736.2767,-622.3686,-772.3855,-638.25745,-1081.311,-1017.46204,-1147.57,-974.6391,-856.4185,-730.47955,-745.0524,-771.8572,-720.0327,-977.8813,-711.30786,-841.6572,-793.4752,-1057.842,135.6505,112.10380000000002,-812.438,99.36930000000004,40.58699999999985,141.38830000000016,-772.26697,-744.47754,-764.2209,-622.901,-742.95966,-802.5084,
0000000000000000000d_0,-399.1308,-493.5611,-231.32874,-534.13306,-379.0735,-466.1408,-474.6884,-654.08966,-625.0984,-698.2114,-683.3374,-615.5102,-510.03766,-451.2865,-414.5231,-535.277,-648.74207,-433.1818,-576.5703,-544.8495,-740.4585,68.69644999999996,94.30109999999988,-613.12024,60.32679999999982,133.91279999999995,123.83510000000001,-459.3643,-470.97748,-373.7645,-336.4017,-538.1258,-516.9467,
0000000000000000000e_0,-538.1717,-514.6331,-468.7138,-473.175,-452.2861,-535.3237,-510.8468,-811.6835,-807.4315,-921.2455,-755.6815,-748.9479,-504.41437,-623.8842,-585.6428,-578.8661,-805.7962,-541.7261,-675.7488,-725.7522,-860.59,35.582700000000045,164.6612,-534.3971,119.36144999999996,126.75459999999998,148.98180000000002,-480.28815,-476.83035,-464.38367,-437.02115,-524.3678,-492.8688,
0000000000000000000f_0,-522.7471,-532.31165,-373.9188,-454.8192,-408.7439,-446.27466,-463.44904,-707.09644,-712.16907,-763.5069,-694.1592,-575.87775,-525.3487,-488.6358,-581.0896,-502.0071,-612.8224,-453.72333,-491.7001,-503.2774,-722.7073,211.29309999999995,146.02729999999983,-559.2621,165.42799999999988,135.89065000000005,157.21400000000003,-495.2864,-430.6467,-439.6811,-368.7647,-435.9658,-420.52216,
00000000000000000010_0,-908.5398,-855.2166,-721.7368,-692.7336,-696.634,-736.2571,-754.9299,-957.79266,-1018.1811,-1136.6637,-985.81396,-902.65967,-814.0521,-691.2062,-836.74426,-760.3755,-961.2012,-823.1439,-857.3632,-935.5207,-1089.18,83.48259999999985,158.4625999999999,-876.0859,61.575549999999936,100.66430000000003,175.59870000000012,-697.92316,-757.8393,-709.95294,-656.97424,-778.14966,-758.03577,
00000000000000000011_0,-858.6408,-781.144,-578.69434,-663.0167,-626.0295,-672.7327,-691.9103,-933.7728,-914.3402,-1051.9011,-893.444,-880.9601,-736.25146,-807.49194,-688.6942,-682.9136,-776.198,-713.5998,-663.3623,-814.2074,-935.45435,-27.944700000000026,97.10870000000013,-822.4684,70.08469999999994,140.9605499999999,171.38340000000008,-667.132,-773.9603,-670.0762,-645.7453,-708.7012,-752.0256,
00000000000000000012_0,-1160.2726,-954.12256,-797.9104,-771.8198,-756.8982,-818.0598,-799.6205,-1042.8599,-1091.8262,-1208.5258,-985.5178,-946.9572,-934.302,-768.7996,-926.57825,-844.8143,-976.9999,-859.75714,-917.3657,-775.8216,-1111.7605,-6.189500000000038,121.29744999999986,-867.6077,143.9081999999998,144.06734999999998,177.2609,-827.3916,-669.9694,-792.1476,-608.2534,-759.9128,-765.1395,
00000000000000000013_0,-530.2814,-515.83167,-476.22485,-552.2649,-481.7585,-549.66754,-572.1322,-806.76904,-799.1396,-860.1969,-837.7432,-728.9386,-498.0056,-692.0513,-617.9918,-615.84814,-813.4627,-613.8956,-671.621,-803.6225,-948.8077,-142.11335000000003,23.25805000000004,-582.2507,16.438450000000117,1.255999999999915,7.125200000000007,-539.3463,-520.6173,-518.9976,-392.56067,-635.1557,-588.5786,
00000000000000000014_0,-829.0168,-783.2466,-663.876,-659.92255,-666.3754,-729.8732,-643.9865,-982.5197,-1004.2586,-1077.4084,-946.2692,-922.6307,-693.5763,-763.8219,-906.4018,-694.9767,-1010.2847,-728.6532,-777.6939,-835.7229,-1019.0585,42.853600000000114,96.17780000000016,-771.4706,66.81284999999997,61.532350000000065,90.75519999999992,-624.18616,-690.1172,-656.3309,-622.0561,-675.9762,-716.491,
00000000000000000015_0,-615.4828,-663.4973,-554.8885,-642.5143,-572.8259,-767.26886,-699.4867,-950.34314,-912.5974,-1022.3981,-908.13654,-755.304,-566.9944,-760.4244,-822.08105,-757.19946,-949.4577,-831.6105,-912.42834,-795.7075,-1005.6626,-77.82604999999995,97.07890000000008,-703.9728,79.05940000000004,56.65534999999997,121.99099999999993,-500.438,-575.5105,-572.0604,-645.2212,-558.8031,-575.2402,
00000000000000000016_0,-655.9961,-625.1543,-552.1448,-634.2739,-596.9255,-673.6389,-555.4454,-941.8226,-894.1846,-1022.9551,-874.5271,-825.0711,-570.8579,-747.978,-772.9391,-749.1246,-895.8248,-699.5371,-820.3034,-876.8272,-1052.684,-2.1852000000001226,73.40234999999994,-642.1027,70.32134999999988,17.604000000000042,88.23589999999996,-549.1323,-640.855,-552.1754,-600.4389,-602.152,-685.7589,
00000000000000000017_0,-731.11646,-621.63135,-639.21375,-617.6296,-620.2084,-680.8329,-746.8868,-786.7748,-918.0995,-1054.8057,-782.2954,-851.8112,-697.8293,-639.03467,-835.1057,-714.6399,-843.9063,-654.2449,-767.9976,-739.8403,-1024.5299,88.25390000000004,171.69164999999992,-653.3566,132.78825000000006,97.80820000000017,126.04729999999995,-622.8105,-526.1396,-552.7333,-468.5171,-519.7703,-592.5647,
00000000000000000018_0,-960.5264,-732.884,-749.8298,-659.8288,-669.32166,-748.96423,-856.179,-895.9207,-940.1252,-1053.958,-873.4404,-846.7094,-920.1638,-726.2902,-803.76105,-771.75116,-816.4497,-692.3965,-778.2571,-777.8176,-1020.9025,71.54375000000013,103.90019999999998,-791.21704,128.94079999999983,109.21410000000014,143.44249999999994,-672.70953,-616.6389,-693.1213,-633.7373,-634.9536,-683.72473,
00000000000000000019_0,-596.4467,-528.2379,-397.3763,-470.99414,-405.0302,-496.65564,-626.3336,-648.1727,-780.6833,-904.6791,-669.8395,-649.7718,-437.36548,-556.9938,-718.3591,-582.7855,-688.421,-631.5626,-601.54376,-641.6793,-893.1685,37.745500000000035,157.97985,-567.1115,84.36480000000002,63.83369999999999,125.95594999999996,-438.1999,-403.22205,-418.46945,-434.1998,-426.5737,-443.92303,
0000000000000000001a_0,-591.0719,-615.397,-549.25903,-505.34946,-567.14246,-709.8291,-640.4996,-850.888,-964.787,-1013.0464,-837.9618,-890.5748,-575.3771,-823.065,-706.2516,-689.11194,-855.2224,-713.5071,-624.5551,-806.8736,-1029.4934,31.65660000000014,172.43669999999986,-653.0718,71.36365000000004,126.98519999999976,173.4224000000001,-520.4385,-494.40332,-509.2324,-459.565,-462.1405,-570.8475,
0000000000000000001b_0,-702.5187,-833.5443,-785.9358,-834.0427,-957.5578,-842.9524,-897.452,-1185.9388,-1184.5111,-1332.9539,-1248.0304,-902.4424,-835.6818,-763.1427,-708.25305,-827.338,-862.8341,-799.9228,-827.05566,-1000.6082,-1304.4327,-61.56149999999991,12.350950000000012,-916.91833,11.244299999999953,-27.389499999999998,-4.398300000000177,-803.73096,-840.1039,-872.1383,-910.36523,-972.0018,-958.4503,
0000000000000000001c_0,-419.2995,-462.2403,-434.7981,-434.9528,-550.9467,-538.16,-547.1143,-723.6814,-678.8758,-878.14087,-757.1749,-570.5261,-438.94785,-584.26416,-554.4698,-569.5843,-650.6905,-555.3303,-676.2303,-715.10645,-868.4716,-44.69215000000001,78.25725000000006,-599.4047,71.23019999999991,48.26770000000005,74.05554999999993,-390.3891,-470.3494,-416.60657,-593.4116,-570.2376,-539.371,
