system:index,SAVI,SAVI_1,SAVI_10,SAVI_11,SAVI_12,SAVI_13,SAVI_14,SAVI_15,SAVI_16,SAVI_17,SAVI_18,SAVI_19,SAVI_2,SAVI_20,SAVI_21,SAVI_22,SAVI_23,SAVI_24,SAVI_25,SAVI_26,SAVI_27,SAVI_28,SAVI_29,SAVI_3,SAVI_30,SAVI_31,SAVI_32,SAVI_4,SAVI_5,SAVI_6,SAVI_7,SAVI_8,SAVI_9,.geo
00000000000000000000_0,1.0114988501149884,1.0755733628074053,1.022262257109767,1.0255805289954054,1.0589008101598423,1.037341958247574,1.0831458145814583,1.299041384147767,1.0677966101694913,1.1053795136330138,1.099053459538728,1.0804195804195804,1.1070717131474102,1.1249331669934057,1.0828455650607836,1.0723873441994247,1.085289066971952,1.0744490768314474,1.0903821382567624,1.062366737739872,1.1403219149814279,1.1118940248027056,1.2664862555191567,1.037046261129444,1.086773896117201,1.1282992885012624,1.0991672975018925,1.0702096538274013,1.0363961813842482,1.0153780435711235,0.9768489117256509,1.0526426174496644,1.0129449838187703,
00000000000000000001_0,1.0472424112868748,1.0564895227471915,1.040296052631579,0.9917586069387212,1.0409922219886483,1.0171443193449334,1.0462096396817968,1.0703195319531953,1.0904017857142856,1.0858500956466293,1.068987646398203,1.0557644110275688,1.0089301986513577,1.1082333696837512,1.071848081440877,1.0656963816454417,1.0881489727760347,1.2059984214680346,1.0785036467728022,1.083900724796837,1.0770573763986986,1.0930202554509094,1.1042755547939336,1.0443953394937726,1.1001863932898415,1.129737609329446,1.1019673704414588,1.0551264416463866,1.0194425821281488,1.021035751344213,0.9408688656476267,0.9430425378514781,0.9878537592615085,
00000000000000000002_0,1.0611191102725783,1.047480118582655,1.0444874274661509,1.0534106516099497,1.061066336019839,1.01039563988696,1.0532691579687417,1.0858280868559682,1.0810600912532764,1.0815100328760912,1.0838019031141868,1.0881265941387745,1.0388605751729159,1.1100056671494238,1.0744754438551993,1.0774169780537866,1.0754507285749568,1.0921092842735773,1.066468382257856,1.0583029267913984,1.081022797288971,1.0969669117647058,1.0988329862960633,1.0699989062670896,1.0947610938595613,1.0971717695900365,1.1009697090872739,1.064600897842987,1.0436992776241862,1.0487232759198446,0.9906585062813492,1.0023261508325172,1.0528668310727498,
00000000000000000003_0,1.0599169468064071,1.0300097664920536,1.0538766580062902,1.038850452368281,1.074557134514308,1.0719363574813812,1.0588851390666822,1.097138304229467,1.0682609552591815,1.0940313636634666,1.1320316132031614,1.0896976427237395,1.018130397454674,1.0713647997143028,1.0841736080666375,1.092460881934566,1.0634940357852882,1.098817125510311,1.0662254878108122,1.0817985236000298,1.0772946859903383,1.1063016212909147,1.098486727859092,1.0596536241180243,1.1004581151832462,1.1097191085322433,1.1026958317885704,1.0502230299025277,1.058370201227344,1.0576118844017228,0.9699557724569162,1.0232054060946065,1.0497631717443425,
00000000000000000004_0,1.0579940868774165,1.0425751325869181,1.0669057126558552,1.090909090909091,1.0884621438690383,1.0420500342179302,1.0504957343786028,1.1036394136095107,1.0940257485896139,1.1056105610561056,1.0970402717127608,1.1164820952226981,1.0455776173285198,1.1227354717277076,1.1042702544603686,1.078589718337601,1.0667907842680941,1.0896377197655833,1.0995045081634311,1.0634223598013102,1.0975912590017383,1.091995056982013,1.1075551954628318,1.0502722752742484,1.1066691928760894,1.1042997631182254,1.1118103629116847,1.0631201182182817,1.0454480080540773,1.062202906424012,0.8484251968503936,0.9819129610615275,1.0375978223885676,
00000000000000000005_0,1.0649069666810904,1.0702814203624575,1.047962648556876,1.0517917632376537,1.084557506270154,1.0461843766913224,1.0430729668916747,1.079214096366755,1.0836560805577071,1.095341852658854,1.0874778848044033,1.088706925963835,1.0617859026190895,1.1319725141471302,1.078808161502753,1.0702848691402482,1.0737724842002916,1.1063960639606396,1.119801203243526,1.098158225198828,1.0855651988711996,1.1042166938814715,1.1104354311284492,1.0726755463597568,1.1251610133104337,1.1089257563246002,1.1329975350980601,1.0660327009849109,1.0714377876220378,1.0539658152487037,0.9393680614859095,1.0240680282438692,1.0308477328076076,
00000000000000000006_0,1.0756951144636435,1.0500312261466935,1.0563269583442494,1.0224761091239123,1.076084866354721,1.0373056006106287,1.0633580500697453,1.105263157894737,1.0895803344037205,1.0994329421073454,1.0967675941080197,1.107906675307842,1.049331739650114,1.0830197033429267,1.1077631705210633,1.0949543610547667,1.0879588939219798,1.0761546445251686,1.0802021249028246,1.07392658026211,1.087430648555577,1.109865470852018,1.1160195303417808,1.0764351821888551,1.1067825547105385,1.1099339907098036,1.113001010441226,1.0553664030171286,1.0553550607961801,1.043817609201698,0.9722942541285656,0.9939573155052713,1.0449580592601533,
00000000000000000007_0,1.0532417617037364,1.039750815781667,1.1025518721678988,1.026941961475513,1.079031349727802,0.9821549582109781,1.0542818610923803,1.2256184586108467,1.086304828021458,1.0856589936850682,1.0995582202587568,1.0852201121202902,1.0379866405775589,1.09691522953607,1.0895736295234684,1.1158631994635273,1.0582405481463355,1.091678939617084,1.0972113258683402,1.0786020353508303,1.0856036921244603,1.0897259778757864,1.1033434650455927,1.0498682238644,1.097009735744089,1.1027716794731066,1.1071449334341026,1.0602464368860371,1.0550449745795853,1.0526965511920376,0.9554019249017216,0.9967613720005888,1.0251510467893776,
00000000000000000008_0,1.0287478861848394,1.0461825170345351,1.0234193909359763,1.0349602278306982,1.0728895294052436,1.0409031413612566,1.0472859966550099,1.0965902478761784,1.062742738362234,1.0967419548271036,1.0977004646729418,1.0924100857545118,1.0477711630608393,1.0768261964735517,1.1014524053776793,1.0819038697968504,1.0827434708323163,1.0972266906891448,1.1000734034744313,1.0524630796240835,1.087281341107872,1.097762645914397,1.109502894789379,1.068272228792603,1.1546255214886432,1.110040041524544,1.1060452549814253,1.0652997548473369,1.0571126895757343,1.0401178974946783,0.9170944558521561,1.0416866973422156,1.0160036064465232,
00000000000000000009_0,1.0647041678810842,1.0672550213024954,1.058663028649386,1.0320128766878296,1.0871512228728901,1.0442780496432993,1.0660405937594668,1.1058861164427383,1.0757200720072009,1.1015567810258162,1.0991053333992389,1.0857664233576643,1.0683245415724691,1.1000963928770737,1.0786722425509672,1.0987835041138763,1.0581431503015981,1.0850226046375966,1.088691686083982,1.0989839396919043,1.0944573864885059,1.0963278893165505,1.1093135502323919,1.046338559237944,1.1047636513685755,1.1058855146466005,1.1125005390021991,1.068981269986295,1.0767256014243716,1.0808482748934976,0.9676758812344596,1.0356559051900285,1.0619440225645478,
