system:index,NDMI,NDMI_1,NDMI_10,NDMI_11,NDMI_12,NDMI_13,NDMI_14,NDMI_15,NDMI_16,NDMI_17,NDMI_18,NDMI_19,NDMI_2,NDMI_20,NDMI_21,NDMI_22,NDMI_23,NDMI_24,NDMI_25,NDMI_26,NDMI_27,NDMI_28,NDMI_29,NDMI_3,NDMI_30,NDMI_31,NDMI_32,NDMI_4,NDMI_5,NDMI_6,NDMI_7,NDMI_8,NDMI_9,VALUE,.geo
0000000000000000000a_0,0.723229,0.7311609,0.9058296,0.69519836,0.55693585,0.6175439,0.7178218,1.0477816,0.8563536,0.60248446,0.6495238,0.6666667,1.0674846,0.69483566,0.6962025,0.69158876,0.6906077,0.78156996,0.6335878,0.7303823,0.72009027,0.5868853,0.59090906,0.67330676,0.5929825,0.5607477,0.6212121,0.73170733,1.0555556,0.7330097,0.5363129,0.6061644,0.7792793,1.0,
0000000000000000000b_0,0.68421054,0.719685,0.6130592,0.56987447,0.45663851,0.44306785,0.53108805,0.49945116,0.6152174,0.54735154,0.50386,0.45406124,0.4974227,0.5721393,0.5153153,0.44645107,0.5952941,0.68171024,0.5471698,0.556314,0.5168642,0.50396824,0.49874055,0.55854124,0.49729145,0.5152838,0.51666665,0.67261904,0.595102,0.5,0.4268761,0.5256917,0.87525153,1.0,
0000000000000000000c_0,0.47560975,0.44639042,0.2873997,0.38819778,0.3164813,0.46145856,0.38276553,0.33891994,0.48205626,0.40016708,0.38247445,0.4063158,0.2784091,0.31762347,0.33020878,0.38141733,0.42789847,0.41800642,0.375,0.5063291,0.315631,0.31098187,0.34874094,0.41318074,0.36809605,0.3250395,0.31123245,0.41065627,0.42041522,0.28747308,0.3010341,0.5434575,0.3138877,1.0,
0000000000000000000d_0,0.22534776,0.2686862,0.25098473,0.2775373,0.28960943,0.2357087,0.3250444,0.2896839,0.3390254,0.1919815,0.24141148,0.2609951,0.20029213,0.2962902,0.30652335,0.30385965,0.32433447,0.3136582,0.32989296,0.29205403,0.25571954,0.30738786,0.34964123,0.26680055,0.34773776,0.37848127,0.38666666,0.25341326,0.21797752,0.23419513,0.25301206,0.14302795,0.2329221,1.0,
0000000000000000000e_0,0.41690964,0.47350994,0.38265514,0.37140423,0.43633842,0.42157087,0.45570454,0.42424947,0.42680776,0.44031554,0.4302462,0.46310115,0.43333334,0.45765516,0.4727963,0.45392492,0.4063812,0.5569655,0.43737167,0.4306539,0.4304581,0.43988162,0.4894979,0.37720415,0.47022817,0.4814024,0.46694073,0.42188114,0.46281677,0.44867855,0.42726755,0.43874645,0.3987922,1.0,
0000000000000000000f_0,0.4582339,0.58949095,0.83495146,0.65134704,0.4471299,0.44568527,0.5140145,0.4871577,0.695962,0.47333744,0.46262887,0.46225166,0.6789727,0.4426012,0.5280899,0.4420527,0.4892704,0.5095738,0.44605646,0.43517587,0.51780266,0.46173063,0.47853535,0.45494244,0.52933246,0.4872327,0.51318806,0.47809246,0.5688342,0.5315272,0.5544193,0.4422404,0.61618495,1.0,
00000000000000000010_0,0.4022175,0.5085173,0.45167786,0.40194526,0.30959237,0.32551798,0.42614076,0.403481,0.3480685,0.43460765,0.28180736,0.3965336,0.4439267,0.4481434,0.28308502,0.36513296,0.3248337,0.37825534,0.40777177,0.35820425,0.3169182,0.24649777,0.3744076,0.4070532,0.38564336,0.45617172,0.38509077,0.40394235,0.3661489,0.45443574,0.30016053,0.43255225,0.39716902,1.0,
00000000000000000012_0,0.33564734,0.38881806,0.33833647,0.4420491,0.3321739,0.33607367,0.40475175,0.4015881,0.47697738,0.3797254,0.39249042,0.39527613,0.38189998,0.42884493,0.42478243,0.39713383,0.31975263,0.44343963,0.46953166,0.4324065,0.41473603,0.38877192,0.40419796,0.37155622,0.54753184,0.41424978,0.43713734,0.33375716,0.46293604,0.39318183,0.31241518,0.32195762,0.37848878,1.0,
00000000000000000013_0,0.21775898,0.3498197,0.29724208,0.41214263,0.2949072,0.36358607,0.2959469,0.27728438,0.29843676,0.29904604,0.26491043,0.33708838,0.35757172,0.31382728,0.30476192,0.29720855,0.34918648,0.34062675,0.37201098,0.32043868,0.3389944,0.36608997,0.36896157,0.334214,0.35898054,0.38498908,0.38538206,0.3847194,0.36738703,0.41571686,0.30192482,0.3512652,0.29868913,1.0,
00000000000000000014_0,0.38451836,0.39434907,0.2849819,0.33805493,0.2974179,0.22955048,0.3406245,0.27131495,0.29881155,0.2714044,0.3032326,0.3037162,0.29569513,0.33405134,0.36123034,0.3481368,0.3079848,0.40748033,0.3309021,0.32565168,0.31338027,0.5115681,0.3627685,0.16520157,0.3341223,0.38661858,0.45695364,0.1743784,0.19726306,0.2234252,0.12900308,0.29271916,0.26444644,1.0,
00000000000000000015_0,0.38943323,0.4489346,0.3513356,0.32804465,0.30763227,0.29948565,0.33362144,0.3947139,0.39578858,0.38565296,0.35151827,0.34556127,0.39441136,0.3857494,0.4107744,0.42670083,0.35457304,0.44618675,0.4194966,0.3832021,0.3610955,0.37532002,0.41012153,0.38286108,0.41353136,0.40517962,0.42800704,0.43909174,0.3817523,0.39723662,0.56308216,0.36647174,0.31932485,1.0,
00000000000000000018_0,0.33941764,0.34099188,0.30560368,0.43348017,0.33447516,0.26488993,0.34697357,0.20145455,0.24894811,0.30578095,0.18594055,0.35343385,0.3074369,0.26772615,0.23228346,0.28456697,0.27370855,0.2920733,0.32107246,0.23873664,0.22465476,0.21700136,0.34103534,0.28102446,0.2576328,0.32889733,0.31581974,0.31580374,0.3702193,0.45795918,0.28705713,0.18859452,0.26021227,1.0,
00000000000000000019_0,0.64396286,0.7509434,0.75735295,0.66292137,0.44846797,0.65683645,0.44842926,0.46534654,0.50921434,0.4501452,0.4363871,0.47922763,0.8316327,0.4796289,0.45699483,0.5727749,0.43024963,0.5184534,0.46341464,0.45810056,0.43834382,0.4694163,0.50991625,0.4527786,0.49890015,0.46745563,0.47374496,0.49618322,0.4571805,0.59358287,0.36747205,0.58115184,0.65178573,1.0,
0000000000000000001a_0,0.3093368,0.32629558,0.33237958,0.37094778,0.28437918,0.20642714,0.2858911,0.37964967,0.29701626,0.35945815,0.39806998,0.27486002,0.38530868,0.26569343,0.24968368,0.30934688,0.2540453,0.2333184,0.3328795,0.26365504,0.16883637,0.09808519,0.25503877,0.36920297,0.28585067,0.3221812,0.30667245,0.37241536,0.29513416,0.38363114,0.03292978,0.049655173,0.2543199,1.0,
0000000000000000001b_0,0.5337995,0.6142012,0.7435009,0.685422,0.54117036,0.5077915,0.49935594,0.540209,0.5657492,0.47619048,0.46362516,0.5194103,0.6694215,0.5108911,0.6026365,0.4721834,0.46946302,0.51476115,0.5142191,0.5184466,0.47404256,0.5013096,0.52328765,0.49679488,0.5011839,0.5357737,0.50660795,0.5590244,0.49352518,0.5761936,0.47949934,0.49414518,0.62658846,1.0,
0000000000000000001c_0,0.4259807,0.4391516,0.34547842,0.34911793,0.37973273,0.30496454,0.36269245,0.38574353,0.3370765,0.4047187,0.2640961,0.41224214,0.44526035,0.3288804,0.34377223,0.3743036,0.33080956,0.31046388,0.33694127,0.283076,0.36471447,0.36740762,0.40103558,0.4277592,0.3577399,0.56471485,0.47663552,0.4534035,0.41476002,0.35929462,0.28279054,0.3123001,0.36185926,1.0,
