system:index,SAVI,SAVI_1,SAVI_10,SAVI_11,SAVI_12,SAVI_13,SAVI_14,SAVI_15,SAVI_16,SAVI_17,SAVI_18,SAVI_19,SAVI_2,SAVI_20,SAVI_21,SAVI_22,SAVI_23,SAVI_24,SAVI_25,SAVI_26,SAVI_27,SAVI_28,SAVI_29,SAVI_3,SAVI_30,SAVI_31,SAVI_32,SAVI_4,SAVI_5,SAVI_6,SAVI_7,SAVI_8,SAVI_9,VALUE,.geo
00000000000000000053_0,0.7707046085822798,0.8046034525894422,0.8858674837227116,0.7009812073840014,0.8221309703911822,0.8356545961002786,0.862695009579418,0.8344301438471843,0.9036804217783635,0.9859752120026093,0.9339687643546164,1.008893323500065,0.9481114078595956,0.8456973293768547,0.8905962919659262,0.8303359527451084,0.8017337807606264,0.836532464832652,0.9018674478213109,0.7984040319193617,0.7790582157758791,0.8799313893653516,0.9212250607376868,0.8153053715967623,0.9033924741665041,0.9048714745907567,0.9081315952824331,0.6669980119284293,0.7453128616619088,0.7884877384196186,0.4695695612355341,0.31833781652907894,0.5819075046586482,1.0,
00000000000000000054_0,0.9261022818625936,0.9202141551318882,0.8955412005671971,0.7499125160387262,0.9129284690840956,0.8454214990479488,0.8896303633804286,0.9196667658434989,0.8671538092956397,0.8841272457557277,0.8384793321935029,0.852637051585697,0.9775978169974913,0.8635946392509638,0.9142688505238306,0.8909425328607958,0.9483485593815882,0.9336231737525909,0.9245602165087956,0.9329889900774772,0.8662846227316141,0.9769244969540336,0.9950627565284635,0.8980997478629851,0.9189789123196449,0.956746463547334,0.9288781535158347,0.8349900596421471,0.8675218400973129,0.8914020792357403,0.8645758447160317,0.7391833676718487,0.7707366858415291,1.0,
00000000000000000055_0,0.6541371735416158,0.8993055555555557,0.8230717185385658,0.8212758043518691,0.8561527799168336,0.8397572576677055,0.8288368541613642,0.8524661012371022,0.9295891931902295,0.9427392040643523,0.8070592538405267,0.8609443231441049,0.8700696055684455,0.8514643056157514,0.7606370335155693,0.890316659017898,0.8278438970384722,0.817576009995835,0.8861408002826606,0.7699133164971674,0.8926821558400506,0.7676138011017687,0.9775063438131693,0.64473033151905,0.8253796095444685,0.8849613381726369,0.8841476895865575,0.7278413299316929,0.8189081225033289,0.7230569750591106,0.7329720228504468,0.541825463471352,0.8165328885645784,1.0,
00000000000000000056_0,0.7228496287128713,0.7340796743239314,0.8413297182600495,0.7258361147060827,0.6161894273127754,0.8438561094434328,0.8853190930578657,0.815903009120201,0.9531462816671207,0.9935038752744053,0.9185549777117386,0.7880350696235172,0.9015560665205069,0.8231946258630342,0.8201628352490422,0.7853252581586859,0.7674862229758372,0.9580178940123882,0.8262273548245854,0.7353458079189497,0.9011782592170278,0.8445029960477668,0.9328420572817746,0.8386167146974064,0.9060254735467015,0.897630710786764,0.8537332540807463,0.9015398973401773,0.7974742508151752,0.7946908602150538,0.5295857988165681,0.37455784095375344,0.6438533648349973,1.0,
00000000000000000057_0,0.9610673665791776,0.9179899934740048,0.987700597399555,0.9074447417616657,0.9431568964495288,0.7763076403355668,0.8500361693840076,0.7892932919862902,0.8099654728860605,0.7028560121364026,0.8150797373358349,0.8364790379154836,0.8228102977132173,0.8528774661905042,0.8211574952561669,0.8721094856064182,0.780369794366684,0.886411889596603,0.8798586572438162,0.8098912662223782,0.8622592295345105,0.9267061792148348,0.9851343971846369,0.7807187432752314,0.6894400857658008,0.9597582980151903,0.9776959075973315,0.8006544859558222,0.7735927152317881,0.9265442404006677,0.8095851296120038,0.8161612443053702,0.9240750317333459,1.0,
00000000000000000058_0,0.738735031480186,0.702653580516176,0.8406224213132147,0.759880483498574,0.6491116751269036,0.834366440824564,0.8736779991829695,0.790857014489498,0.9837640674347227,0.9616926718516013,0.8443131758109732,0.8119472234304771,0.9009906726145647,0.8637736885471025,0.9005104107591346,0.8647348803655165,0.756439517443756,0.9884393063583815,0.8517644696551379,0.7078588762366996,0.8233709970142263,0.8392064735056121,0.9488164289073522,0.8277478322006093,0.924213204218128,0.9257387674393057,0.8632650203071752,0.9096686336813437,0.8273882302907872,0.9427442237535468,0.5335554497858164,0.35721178828594763,0.7890329384033249,1.0,
00000000000000000059_0,0.7366008462623413,0.628099173553719,0.577685277350466,0.7736965979602025,0.7975781673594795,0.6965195246179966,0.8070385704946612,0.7768930865960134,0.869059391542086,0.9709070693968312,0.8768054375531011,0.8437703848662753,0.9664798447941367,0.9588007017170804,0.7692501893461247,0.9699925961412831,0.7580321860145467,0.8323909531502424,0.8963678293456327,0.8141245708680726,0.8052141023909226,0.8907426546582017,0.876432515883855,0.8602868717836418,0.9756197332896998,0.9384167273483824,0.9715730229896022,0.9121469068285585,0.8612051455653351,0.7652186338953987,0.500065677131223,0.3081395348837209,0.6323874546618307,1.0,
0000000000000000005a_0,0.4733500096209352,0.718511607485868,0.7063162747810051,0.7566173804439789,0.6523093968561734,0.6288436552620181,0.7008554787040409,0.6788127300684964,0.6143818875691437,0.7247147100203221,0.7176404666089349,0.7653736991485336,0.5969075485879952,0.76923774132149,0.8084495488105004,0.785453716370269,0.7294416911538968,0.8229282606496003,0.860385144429161,0.8387888707037644,0.718455037320801,0.7979415771151809,0.8733914487339145,0.6621909284427706,0.6385564873268632,0.7030017528483786,0.8299467257555042,0.48911238235836874,0.5958742323237626,0.5399583043780403,0.5263110470355019,0.7661792384537426,0.7203217317908743,1.0,
0000000000000000005b_0,0.7018324454071776,0.6974283113336368,0.6586507214350709,0.7918172431595251,0.7514645478418962,0.7420818670124096,0.7763493294913001,0.5865294667913938,0.8060114327862807,0.35858585858585856,0.28099411004166064,0.2176209005002779,0.7658640864086409,0.15779195417263375,0.5410454463804563,0.18311414516614796,0.13139108624348833,0.14853083629318695,0.16128627056902398,1.8655980271270034,0.6132285079473594,0.3412017167381974,0.6275283670448939,0.8062023708721423,0.540113708149084,0.7227233052080303,0.5955695436387846,0.814288232183773,0.8232805274033258,0.7652134163762071,0.6143030958496688,0.7164649001161876,0.814525462962963,1.0,
0000000000000000005c_0,0.7130210254518629,0.6067243232178496,0.7960834896810506,0.8499459884120594,0.766494931028752,0.7499185932920873,0.7898956477475185,0.8066642255584036,0.8203541344335569,0.7562821327479637,0.7099271402550091,0.5842675280258408,0.7707992182135123,0.4046593578700078,0.39704271631982474,0.4324120366003208,0.4749735369726297,0.4586247086247086,0.5717592592592592,0.6489931646037318,0.8665256186183424,0.8928312816799421,0.919016573717697,0.7873988032382964,0.787746170678337,1.0058672009158558,0.9757034192452552,0.8073803085732464,0.7464420873087788,0.7439853990376638,0.5862166761202496,0.6551064338674959,0.7323210872796773,1.0,
