system:index,SWIR2,SWIR2_1,SWIR2_10,SWIR2_11,SWIR2_12,SWIR2_13,SWIR2_14,SWIR2_15,SWIR2_16,SWIR2_17,SWIR2_18,SWIR2_19,SWIR2_2,SWIR2_20,SWIR2_21,SWIR2_22,SWIR2_23,SWIR2_24,SWIR2_25,SWIR2_26,SWIR2_27,SWIR2_28,SWIR2_29,SWIR2_3,SWIR2_30,SWIR2_31,SWIR2_32,SWIR2_4,SWIR2_5,SWIR2_6,SWIR2_7,SWIR2_8,SWIR2_9,VALUE,.geo
00000000000000000000_0,124.0,193.0,77.0,99.0,249.0,155.0,318.0,153.0,149.0,253.0,324.0,262.0,114.0,120.0,124.5,178.0,160.0,140.0,183.0,113.0,191.0,305.5,415.5,284.5,153.0,317.5,168.5,153.0,263.0,274.5,82.0,191.5,321.5,1.0,
00000000000000000001_0,196.5,298.5,83.0,237.0,54.5,208.0,93.0,276.5,266.0,271.0,318.0,272.0,249.0,226.0,150.5,284.0,252.0,275.0,264.0,304.0,295.0,169.0,325.0,287.0,313.0,235.0,283.0,217.0,308.0,343.0,475.0,210.0,218.0,1.0,
00000000000000000002_0,649.0,676.0,603.5,709.0,643.0,706.5,699.0,709.0,701.0,685.0,661.0,650.0,812.0,726.5,693.0,660.0,681.5,677.0,606.5,697.0,643.0,710.0,631.0,740.5,689.0,715.0,702.0,644.0,613.0,625.0,793.0,703.0,697.0,1.0,
00000000000000000003_0,31.5,273.0,32.0,256.5,285.0,154.0,161.0,223.0,177.5,277.0,244.5,142.0,315.5,112.0,47.5,199.0,180.5,184.0,191.0,336.0,227.5,21.0,351.0,268.0,342.0,88.0,285.0,35.0,355.5,328.0,438.0,160.5,267.5,1.0,
00000000000000000004_0,773.0,659.0,1018.0,1175.5,972.0,1163.5,1222.0,1203.0,1245.0,1042.5,1143.0,1202.5,641.0,1082.0,1286.5,1315.0,1125.0,1034.0,1101.0,1109.5,1276.0,1490.5,1074.0,780.5,948.5,1014.0,1282.0,647.0,728.5,614.5,1098.0,1106.0,1090.0,1.0,
00000000000000000005_0,652.5,673.5,696.0,763.0,804.0,1066.0,825.0,888.0,674.0,830.5,1041.0,880.0,822.5,673.0,721.0,982.0,810.0,534.0,759.0,644.0,913.0,575.0,1125.5,1468.0,639.0,828.0,904.5,898.0,961.0,862.0,1118.5,653.0,1344.5,1.0,
00000000000000000006_0,363.0,338.5,183.5,255.5,364.0,376.0,274.0,229.0,307.0,331.0,359.0,263.0,252.0,296.0,227.0,309.0,334.0,266.0,312.5,224.0,316.0,348.0,345.0,387.5,250.0,425.0,353.0,394.0,404.0,352.5,235.0,103.0,398.5,1.0,
00000000000000000007_0,556.0,430.5,898.0,921.0,987.0,930.0,955.5,864.0,871.5,982.0,937.0,834.5,440.5,945.5,1005.5,1160.5,907.0,815.0,1062.0,829.0,979.0,1068.0,984.5,466.0,800.0,822.0,839.0,903.5,688.0,1124.0,1059.5,1006.5,868.0,1.0,
00000000000000000008_0,201.5,396.5,92.0,285.5,384.0,415.0,386.0,415.0,427.5,429.0,426.0,388.0,323.0,369.0,409.0,470.0,415.5,420.0,391.0,442.0,450.0,472.0,470.0,384.5,446.0,450.0,439.0,226.0,397.0,242.0,400.0,429.0,354.0,1.0,
00000000000000000009_0,546.5,608.0,867.0,866.0,1073.0,837.0,1035.5,1080.5,823.0,1016.0,812.5,796.5,607.0,854.0,793.0,1194.0,975.5,826.0,778.0,841.0,1235.0,973.0,1087.0,1102.5,945.5,1085.0,1213.0,676.0,1257.0,1185.0,920.0,1247.5,1013.0,1.0,
0000000000000000000a_0,38.0,108.0,43.0,98.5,129.0,94.0,125.0,95.5,89.0,158.0,91.0,108.5,98.0,114.0,74.0,138.5,119.0,86.5,34.0,87.0,117.0,59.0,120.0,243.5,132.0,75.0,124.0,30.5,151.0,76.5,289.0,169.0,97.0,1.0,
0000000000000000000b_0,251.0,338.5,176.0,353.0,473.0,328.0,289.5,336.0,323.5,410.5,312.0,274.0,435.0,318.0,424.0,438.0,400.0,389.0,399.0,442.5,384.0,254.0,486.5,519.0,476.5,383.0,432.0,172.0,382.5,382.0,563.0,429.0,414.0,1.0,
0000000000000000000c_0,316.0,449.0,543.5,652.0,995.0,835.0,729.0,812.0,593.5,731.0,813.0,865.5,940.0,675.0,584.0,1013.0,665.0,610.5,629.0,780.5,719.5,916.0,1196.0,745.0,967.0,758.0,1169.5,501.0,633.0,936.0,1192.0,539.0,983.5,1.0,
0000000000000000000d_0,1427.0,1153.5,1195.0,1057.0,891.5,1128.0,1013.0,1110.0,967.0,1129.0,1118.0,1064.0,1404.0,1031.0,980.0,968.0,989.5,953.0,965.0,1026.0,1046.5,935.5,828.0,1237.0,851.5,787.0,843.5,934.0,975.0,1137.5,1280.5,1361.0,1032.5,1.0,
0000000000000000000e_0,580.5,511.0,713.0,640.5,651.0,701.0,640.0,642.0,634.0,611.0,574.5,557.0,549.0,583.5,607.0,627.0,620.5,597.0,607.5,613.5,575.0,625.0,638.0,687.0,625.5,633.0,626.0,576.0,515.0,581.0,628.0,695.0,718.5,1.0,
0000000000000000000f_0,437.0,573.5,135.0,397.0,624.0,503.0,501.0,486.0,495.0,552.0,488.5,468.5,396.0,495.0,479.0,531.5,475.0,464.0,444.0,469.0,445.0,492.0,535.5,527.0,529.0,484.0,499.0,386.0,1062.0,582.0,527.0,581.0,526.0,1.0,
