"","system.index","Greenness","Greenness_1","Greenness_10","Greenness_11","Greenness_12","Greenness_13","Greenness_14","Greenness_15","Greenness_16","Greenness_17","Greenness_18","Greenness_19","Greenness_2","Greenness_20","Greenness_21","Greenness_22","Greenness_23","Greenness_24","Greenness_25","Greenness_26","Greenness_27","Greenness_28","Greenness_29","Greenness_3","Greenness_30","Greenness_31","Greenness_32","Greenness_4","Greenness_5","Greenness_6","Greenness_7","Greenness_8","Greenness_9",".geo","CID","class"
"126","0000000000000000007d_0",1232.6222,1796.433,1048.8826,1372.9841,1323.0282,1201.2375,1202.9341,1431.3036,1350.9236,1433.9794,1272.0734,1129.5002,1889.9146,1259.0677,1143.349,1394.283,1335.8608,1346.5511,1484.0094,1386.32,1103.2678,1247.071,1884.1628,1807.2288,1815.5249,1605.7185,1609.585,1302.7192,2003.7441,1464.7224,1802.071,1553.8732,1627.8596,NA,126,"for"
"127","0000000000000000007e_0",2855.143,2244.4917,2684.5273,2334.6406,2648.2534,2095.2915,1861.5442,1984.4026,2061.6199,2157.4062,2174.6675,2174.671,2633.4775,2408.765,2225.973,2237.0686,2101.7808,2262.917,2511.8354,2283.4834,2109.0283,2774.9736,2533.457,2238.58,2493.933,2628.3364,2581.553,2903.042,2342.7783,2802.8809,2167.9036,1827.293,2087.7178,NA,127,"for"
"128","0000000000000000007f_0",1794.9531,2322.3198,1839.1577,2079.4402,1683.0117,1563.4032,1639.1179,1687.2087,1498.4227,1277.919,1595.93,1540.2983,2063.0393,1474.7072,1462.5579,1522.678,1637.4795,1642.9824,1642.4703,1536.6304,1391.825,1723.3093,2045.3507,2392.2073,2022.5449,1844.6177,1963.2875,1949.8812,2383.9304,2580.5723,1957.9855,1819.7186,1999.76,NA,128,"for"
"129","00000000000000000080_0",2266.393,2364.7578,2183.1833,2284.6355,2080.3123,1881.614,1920.3574,1874.6445,1783.4922,1794.1924,1894.8383,1914.2332,2159.6875,2013.3844,1860.2083,1813.9929,1812.2876,2024.8196,2004.771,1881.9854,1593.54,1960.987,2241.0688,2421.9307,2244.0522,1985.593,2009.5132,2383.963,2721.8872,2299.4072,2206.2847,2088.4614,2151.3225,NA,129,"for"
"130","00000000000000000081_0",1409.213,1366.1802,1202.5026,1317.3356,1271.433,1114.2065,1170.5104,1281.5529,1258.7078,1378.7241,1402.5667,1259.8304,1259.8832,1311.6844,1242.9392,1312.5337,1251.3757,1297.6875,1370.1338,1167.0656,1139.9128,1256.3269,1614.521,1442.8743,1551.5326,1465.4707,1526.4214,1594.3617,1799.0287,1665.2388,1496.7805,1342.6792,1413.5839,NA,130,"for"
"131","00000000000000000082_0",2229.3833,1878.8464,2200.1243,1863.61,2306.6128,1827.9004,2009.2568,1811.5544,1942.4408,1828.4507,1832.374,1782.7834,2138.0493,1936.7314,1873.4045,1736.9677,1730.0679,2067.0227,2064.9314,1978.9958,1755.1652,2097.3887,2018.4058,1990.8949,2088.773,2205.8682,2267.3503,2207.4363,2105.6133,2207.6738,1806.872,1579.677,1713.0537,NA,131,"for"
"132","00000000000000000083_0",2120.372,1626.6818,1763.2721,1872.0989,2079.5166,1747.561,1797.7299,1615.5193,1676.3315,1729.2214,1583.3191,1514.1366,1892.7905,1951.5697,1716.1431,1571.5167,1565.9651,1869.9142,1819.4352,1696.7748,1485.0946,2059.9087,1909.7264,1765.7037,2033.5986,1958.9648,1992.1692,2076.484,1989.3822,2152.699,1777.9106,1724.7583,1626.1387,NA,132,"for"
"133","00000000000000000084_0",2457.3472,2432.4854,2523.4104,2469.7085,2763.102,2224.976,1969.2295,2119.2842,1865.3706,2038.2949,2084.689,2096.7563,2369.9087,2205.3306,2058.4993,1986.4224,1910.0573,2283.623,2191.2202,2002.076,1800.8638,2407.5852,2442.939,2519.6162,2504.9543,2651.3516,2339.1467,2601.6812,2868.3237,2495.798,2376.7998,2339.3748,2377.1848,NA,133,"for"
"134","00000000000000000085_0",2405.4282,2187.8438,2528.8628,2329.3145,2691.6228,1964.7499,1850.8462,1956.1418,2113.7383,2080.1658,2038.6669,2045.6725,2515.4392,2171.95,2189.6284,1917.8948,2027.0271,2317.9087,2175.5037,2207.2021,1765.6174,2158.1162,2500.407,2526.6501,2604.1826,2799.4355,2413.791,2221.3647,3040.3765,2473.0347,2291.447,2154.684,2732.7651,NA,134,"for"
"135","00000000000000000086_0",2050.7559,2284.7825,1586.7202,2078.1235,2491.9434,1767.9001,1536.8872,1643.2886,1653.7916,1775.7181,1703.3934,1568.0841,2392.2832,1560.0508,1603.4792,1614.9888,1660.2819,1944.2214,1663.4323,1587.2927,1479.4393,1656.575,2358.661,2420.801,2190.0605,2476.4175,2220.1804,2488.684,2809.0544,2276.9685,2111.9888,1858.8315,2292.9436,NA,135,"for"
