system:index,VALUE,Wetness,Wetness_1,Wetness_10,Wetness_11,Wetness_12,Wetness_13,Wetness_14,Wetness_15,Wetness_16,Wetness_17,Wetness_18,Wetness_19,Wetness_2,Wetness_20,Wetness_21,Wetness_22,Wetness_23,Wetness_24,Wetness_25,Wetness_26,Wetness_27,Wetness_28,Wetness_29,Wetness_3,Wetness_30,Wetness_31,Wetness_32,Wetness_4,Wetness_5,Wetness_6,Wetness_7,Wetness_8,Wetness_9,.geo
000000000000000000cc_0,1.0,-1145.859,-1172.3004,-936.5559,-1059.2358,-1217.1454,-1170.2086,-1056.1553,-1610.5509,-1422.7981,-1601.4636,-1428.1926,-1253.9255,-1275.2749,-1181.4747,-1213.4774,-1468.8346,-1394.5758,-1244.1278,-974.91956,-659.98914,-710.1143,26.362999999999985,63.724699999999885,-1670.7911,-321.0357499999999,-133.95885,-743.2285499999999,-968.1485,-1286.5278,-950.2466,-1423.9728,-1169.9773,-1513.7513,
000000000000000000cd_0,1.0,-787.62555,-712.5746,-490.46783,-704.1034,-802.1813,-1011.204,-903.5995,-1362.4587,-1342.0283,-1585.076,-1347.9382,-1106.6255,-768.7501,-948.0005,-1058.7535,-1135.0287,-1246.9253,-847.4863,-877.42395,-1230.5709,-1049.5968,-484.1019000000001,-476.88134999999994,-775.2449,-183.3117500000001,-294.51604999999995,-105.77629999999994,-612.3933,-984.4403,-841.8991,-986.9447,-1080.2402,-874.1123,
000000000000000000ce_0,1.0,-2028.0889,-775.7496,-746.2038,-602.9401,-589.3187,-1397.4628,-957.0703,-1870.5295,-1931.1152,-2058.59,-1684.449,-1723.3523,-1417.6133,-1439.4178,-1675.4703,-1217.089,-1340.1274,-1647.4194,-1403.4812,-1869.61,-1752.9664,-643.4412500000001,-518.447,-1319.7561,-769.8491500000001,-203.7043999999999,-574.4844,-1382.137,-1846.6566,-879.2343,-1242.2559,-1032.7087,-912.4409,
000000000000000000cf_0,1.0,-1228.2493,-1141.7952,-1047.1492,-1098.14,-1912.3435,-1579.9586,-1510.1597,-1755.6667,-2313.4307,-1995.5533,-2198.2534,-1593.3779,-861.6537,-1993.7802,-1576.7799,-1699.9586,-2002.1243,-1565.6177,-2066.401,-2150.516,-2009.7395,-1607.3962000000001,-844.3550499999999,-1369.5759,-1000.5289,-905.6812000000001,-403.7090000000001,-1313.5769,-1232.6859,-1322.6165,-1067.5168,-1525.0845,-1152.1328,
000000000000000000d0_0,1.0,-1673.5875,-1066.1375,-1222.3595,-1604.2137,-1403.1067,-1664.2991,-1600.1833,-2167.3013,-2082.9043,-2005.1606,-2129.4863,-1656.6248,-1852.6433,-1834.675,-1472.8062,-2103.6152,-1770.8943,-1883.6619,-2158.3567,-1942.295,-1890.3971,-1027.0819,-1015.9793999999999,-1370.0157,-502.69200000000006,-41.082100000000025,7.881349999999998,-1079.9238,-2259.6562,-1537.2396,-2050.2163,-1114.1432,-1582.6584,
000000000000000000d1_0,1.0,-894.73486,-979.2159,-553.5633,-1035.5175,-1077.0089,-1106.2684,-1126.6134,-1412.0934,-1448.6539,-1521.4519,-1768.5315,-1422.9069,-600.6397,-1181.3313,-1220.8672,-1766.5541,-1530.0072,-1183.9255,-923.371,-1551.5879,-1779.5889,-1001.7554000000002,-865.9650499999998,-1105.6451,-862.9889000000001,-465.7592499999999,-553.8177999999999,-337.9414,-1798.402,-938.8348,-1379.9897,-1067.7983,-1596.9492,
000000000000000000d2_0,1.0,-1194.2993,-946.1846,-705.2401,-426.4381,-596.1733,-1158.9124,-1028.9564,-797.5797,-680.6847,97.2218,55.5273,113.674805,-409.43896,120.341354,81.6007,0.1913,179.1719,91.39485,78.70235,58.497,-83.717,38.71799999999993,94.32240000000002,-410.1056,94.13699999999994,75.91749999999999,61.709299999999985,-444.4435,-704.8078,57.38655,-189.8641,-429.1577,-440.10925,
000000000000000000d3_0,1.0,-158.3843,-426.6583,-69.7149,-241.06305,-465.2304,-472.5191,-517.9692,-647.8637,-576.124,-736.2498,-846.74664,-604.6629,-213.7277,-462.6983,-665.4739,-710.07666,-811.7344,-599.4586,-868.8679,-937.0397,-768.9022,-143.2264,-323.3223499999999,-578.6547,-377.0003,-234.98855000000003,-250.43999999999994,-220.77455,-788.2783,-276.3056,-471.7539,-825.03406,-744.1223,
000000000000000000d4_0,1.0,-640.14417,-571.2451,-442.9648,-451.163,-480.6874,-739.2065,-555.3041,-719.6045,-1148.7983,-1066.6816,-981.40955,-920.06854,-585.5447,-775.3043,-791.80396,-634.7737,-1031.0355,-920.5588,-1463.0833,-1661.6677,-1573.421,-562.2073,-524.15795,-607.7116,-531.9721500000002,-316.27700000000004,-243.95710000000008,-548.52423,-583.8628,-596.9532,-655.9431,-586.9926,-601.3158,
000000000000000000d5_0,1.0,-453.5517,-37.553253,301.1738,518.6904,323.2898,149.7207,505.7223,186.4637,229.52965,283.1641,245.0552,345.4873,-520.3829,309.11914,296.727,147.64204,317.233,310.5229,292.0596,383.5499,91.2958,75.9762,106.0379,337.8306,103.82860000000004,151.5482,103.63085000000001,373.54,183.7701,247.89099,263.3558,145.787,257.15485,
