"","system.index","NDVI","NDVI_1","NDVI_10","NDVI_11","NDVI_12","NDVI_13","NDVI_14","NDVI_15","NDVI_16","NDVI_17","NDVI_18","NDVI_19","NDVI_2","NDVI_20","NDVI_21","NDVI_22","NDVI_23","NDVI_24","NDVI_25","NDVI_26","NDVI_27","NDVI_28","NDVI_29","NDVI_3","NDVI_30","NDVI_31","NDVI_32","NDVI_4","NDVI_5","NDVI_6","NDVI_7","NDVI_8","NDVI_9",".geo","CID","class"
"1","00000000000000000000_0",0.843,0.89637303,0.8519949,0.8547035,0.88248175,0.86470586,0.9026723,1.0826188,0.88994306,0.92137593,0.916,0.90047073,0.9227895,0.9376114,0.902439,0.89372754,0.9045802,0.8954335,0.90874934,0.88538426,0.95046437,0.92670894,1.0555556,0.864259,0.9057377,0.9403213,0.9160358,0.89191383,0.8637494,0.84620863,0.81408775,0.8772942,0.8441714,NA,1,"for"
"2","00000000000000000001_0",0.8727953,0.8804781,0.86703223,0.82652044,0.8675543,0.8477287,0.8718924,0.89198315,0.9088372,0.90492755,0.89089453,0.87989557,0.8408263,0.9236537,0.89329416,0.88814014,0.9068826,1.0052632,0.8988235,0.9033498,0.89761907,0.91096777,0.9203085,0.8704169,0.9168932,0.9416768,0.9184163,0.8793651,0.8496169,0.8509434,0.78410995,0.7859124,0.82326144,NA,2,"for"
"3","00000000000000000002_0",0.8843098,0.8729412,0.87045723,0.8779092,0.8842676,0.84203887,0.8777718,0.90491486,0.9009709,0.9013606,0.9032171,0.90681934,0.8657566,0.92506295,0.895465,0.89789474,0.89626426,0.9101467,0.88878113,0.8819876,0.9008986,0.9142091,0.9157385,0.8917145,0.9123466,0.9143691,0.91752064,0.887216,0.86978817,0.87399465,0.82558674,0.8353229,0.87745667,NA,3,"for"
"4","00000000000000000003_0",0.88332236,0.8583796,0.8782906,0.8657599,0.8955224,0.8933559,0.88245565,0.91434264,0.89027596,0.91174716,0.94343275,0.9081272,0.8484849,0.89285713,0.903544,0.91046023,0.8863001,0.91572887,0.88856447,0.90156597,0.89780116,0.92198855,0.9156327,0.8831076,0.91709846,0.9248269,0.9189619,0.87525815,0.88201714,0.88139826,0.80833757,0.8527255,0.8748538,NA,4,"for"
"5","00000000000000000004_0",0.8817286,0.86887664,0.8891606,0.90916955,0.9071232,0.86844105,0.8754804,0.9197666,0.9117541,0.92141455,0.91427416,0.93047696,0.8713802,0.9356863,0.9202925,0.89888376,0.8890613,0.9080919,0.9163282,0.8862491,0.9147351,0.9100584,0.923025,0.875296,0.9223117,0.92031586,0.92657346,0.8859958,0.87126935,0.88522923,0.70705414,0.81832546,0.8647384,NA,5,"for"
"6","00000000000000000005_0",0.88748646,0.891945,0.873364,0.8765322,0.90385187,0.87189895,0.869274,0.8994152,0.9031633,0.91283864,0.90629095,0.9073074,0.88486046,0.94340575,0.8990553,0.8919614,0.8948648,0.92209125,0.9332897,0.91522765,0.90468585,0.92026895,0.92541593,0.8939541,0.93773484,0.9241742,0.9442658,0.8884037,0.8929032,0.87836105,0.7828385,0.8534548,0.8590896,NA,6,"for"
"7","00000000000000000006_0",0.8964912,0.8750867,0.88034934,0.8521089,0.89679486,0.8645038,0.8861968,0.9211316,0.90808415,0.9162545,0.9140665,0.92330545,0.8744906,0.902583,0.92322457,0.9125198,0.9066937,0.8968537,0.9002268,0.8950036,0.90625,0.92496765,0.9302326,0.8970874,0.9223904,0.9250204,0.9275789,0.8795181,0.87951136,0.86990756,0.81028205,0.828351,0.8708509,NA,7,"for"
"8","00000000000000000007_0",0.8777568,0.86650187,0.9189028,0.85583884,0.8992491,0.8185241,0.8786176,1.0214095,0.9053255,0.9047619,0.9163708,0.9043894,0.8650472,0.91417,0.90803224,0.9299553,0.88192105,0.90978825,0.91440797,0.8988952,0.90471464,0.90817064,0.91950464,0.8749354,0.9142278,0.9190394,0.9226744,0.88358885,0.8792471,0.8773148,0.79620427,0.8306956,0.85433257,NA,8,"for"
"9","00000000000000000008_0",0.8573529,0.87186956,0.8529177,0.8625092,0.89412415,0.86746657,0.8727826,0.9138784,0.8856674,0.91404295,0.9148049,0.9104,0.8731849,0.8974359,0.91792655,0.90163934,0.90235966,0.9144144,0.9168026,0.87709785,0.90615034,0.91487634,0.9246319,0.89032257,0.96225166,0.92510194,0.92175627,0.8878158,0.8809695,0.8668122,0.76427805,0.8681319,0.84671736,NA,9,"for"
"10","00000000000000000009_0",0.88729656,0.8894243,0.8822638,0.8600492,0.90600395,0.870283,0.888412,0.9216209,0.89648384,0.9180088,0.9159664,0.90484464,0.8903077,0.9167935,0.8989327,0.9156991,0.8818408,0.90422946,0.9072881,0.91586995,0.9120879,0.9136541,0.9244693,0.87199205,0.9206786,0.92161256,0.9271238,0.89086294,0.89730847,0.9007491,0.8064359,0.8630907,0.88500136,NA,10,"for"
