system:index,Greenness,Greenness_1,Greenness_10,Greenness_11,Greenness_12,Greenness_13,Greenness_14,Greenness_15,Greenness_16,Greenness_17,Greenness_18,Greenness_19,Greenness_2,Greenness_20,Greenness_21,Greenness_22,Greenness_23,Greenness_24,Greenness_25,Greenness_26,Greenness_27,Greenness_28,Greenness_29,Greenness_3,Greenness_30,Greenness_31,Greenness_32,Greenness_4,Greenness_5,Greenness_6,Greenness_7,Greenness_8,Greenness_9,VALUE,.geo
0000000000000000009f_0,1182.1075,876.76514,1087.458,1112.9984,1095.4991,1143.0762,1067.0736,719.177,695.081,727.7864,701.72034,678.9701,889.9142,866.7322,781.1022,727.5375,585.1788,947.248,745.0852,750.04443,588.7054,1198.0868,1236.4141,842.6016,1287.8308,1524.013,1367.7867,972.0588,828.9205,744.7417,952.5554,946.1625,977.0013,1.0,
000000000000000000a0_0,1175.2778,1559.1561,1258.2382,1183.1426,437.42346,1176.5082,1187.9637,906.67346,778.2123,847.50195,70.1941,-79.3609,893.1111,6.5226,14.4389,-14.0863,34.33405,149.7594,1124.4172,726.7809,322.2308,741.4589,715.8745,1208.4745,881.13025,999.0044,986.1278,1560.1924,270.3433,713.78925,1111.1263,799.2684,1222.0079,1.0,
000000000000000000a1_0,1628.8899,1239.286,1313.9662,1507.7996,745.3026,1209.6943,903.2338,778.4785,468.8051,665.63464,794.07874,740.1961,962.5222,939.7177,583.8427,817.536,482.96045,501.89435,754.1732,997.19275,671.0556,921.6889,1152.6869,651.4504,1293.134,1069.3263,942.8473,732.41534,582.4647,969.808,836.072,239.7086,1088.2844,1.0,
000000000000000000a2_0,700.1261,926.5884,1674.2507,1507.2338,1585.8284,1521.8997,1053.0319,784.2533,440.4556,474.75922,674.3822,773.7943,1284.795,836.10345,674.9804,695.9907,474.1744,474.42395,301.7902,461.38385,229.4018,841.88794,787.5942,1219.4851,776.4753,836.8368,843.2003,1468.3167,1370.6812,1400.7013,1316.2771,1442.6458,1283.5837,1.0,
000000000000000000a3_0,329.6635,240.8327,1095.6884,1333.5431,1549.1554,697.6255,1103.2979,839.9162,8.8836,456.1534,504.63208,920.91614,352.8441,1227.5118,1340.9486,846.32434,1098.2646,1198.038,1142.0681,656.7152,1178.7526,1136.2731,1099.2947,248.0854,1366.825,1318.1125,502.1664,253.9079,274.3971,249.4485,362.6835,623.006,687.776,1.0,
000000000000000000a4_0,1352.101,905.6216,1587.4857,1528.9553,1329.4622,1514.4463,1383.3391,652.3148,784.807,585.5558,817.7383,1137.9805,963.1585,1115.0304,797.4438,715.4161,571.2426,1040.6216,706.0822,635.5277,374.5406,1109.2356,1097.2021,1194.0134,1135.9243,683.0062,453.091,1333.5787,1085.1975,1272.7922,1367.5306,1263.206,1246.5651,1.0,
000000000000000000a5_0,2157.192,1376.8619,2041.831,1936.4155,2106.4033,2071.8552,1842.4537,1547.0062,1567.0386,1105.3276,1349.5852,1580.085,1652.2651,1687.3289,1763.8185,1701.4119,1588.9706,1877.5532,1789.3236,1862.4305,1597.3928,2105.3735,2190.2258,1902.8018,1096.7314,1299.9426,1397.3713,2065.5876,1834.2903,2094.3574,1788.0813,1813.0343,1967.3738,1.0,
000000000000000000a6_0,1089.0042,782.561,969.8514,733.5861,1827.0852,889.81995,849.7769,703.6997,522.141,288.1588,745.4644,830.0708,503.1506,1486.4167,1429.6846,1011.0669,1337.6345,1616.7173,1736.1776,1737.8876,1090.8562,1739.5142,915.83325,635.15356,903.3373,1018.9446,371.89725,1322.7478,1402.699,885.8787,1402.0414,1940.3768,1801.8824,1.0,
000000000000000000a7_0,563.4562,730.9093,554.7345,399.9011,744.5781,709.2529,978.8905,1385.5892,383.6679,681.648,793.1367,845.8015,994.0025,867.8242,933.1147,1017.17444,893.91907,977.87756,815.6512,1008.86084,812.9492,1148.6194,1313.9836,1073.3069,1629.5712,1542.8098,2031.0591,1545.2278,1574.169,596.0726,280.63318,347.89185,159.08975,1.0,
000000000000000000a8_0,1856.9764,703.7058,968.26465,1859.6143,554.3351,1299.8083,994.4488,1138.0161,955.53186,730.8958,840.33203,1493.8623,1249.1096,1604.7087,74.458496,445.9273,535.2666,804.6418,1142.9095,563.2598,1128.804,1474.8033,1689.1309,1709.1619,1447.5844,1406.8997,1345.8794,2485.5679,2081.8645,2008.4272,1892.6008,1789.4742,1652.0402,1.0,
000000000000000000a9_0,1880.4097,1703.8428,1289.1815,1838.846,2246.0918,2091.0273,1050.1409,969.84973,1119.1631,1290.6167,1505.5886,1258.639,1907.7867,1286.8823,1192.3575,1206.3289,1182.3534,1622.0278,1265.4344,1259.574,856.188,1910.2358,1938.6082,1823.1804,1819.0732,1855.7281,1773.1161,2086.5393,1689.1575,1848.7314,1832.3435,1706.8802,1219.1343,1.0,
000000000000000000aa_0,570.8653,957.2523,450.71405,665.3352,518.13513,753.3288,622.3297,965.2686,879.4728,906.5447,806.91223,816.2246,1030.1293,826.062,545.076,962.53613,1066.9026,808.0344,1004.95764,921.1939,899.8506,782.5029,1251.5369,1337.8958,1343.6294,1007.0075,1075.8314,882.063,1251.2576,566.3325,858.5367,1168.6621,1197.9734,1.0,
000000000000000000ab_0,1556.9922,1664.0468,825.9852,408.38095,651.6913,383.184,920.4271,762.7727,178.33011,43.9415,-50.7968,852.7107,1288.0845,1257.1931,846.6275,660.4284,961.06934,698.58057,1099.7258,949.3972,268.2958,1023.8888,1224.7181,1258.5758,928.2416,1102.992,971.1413,1854.8032,1963.4205,1650.8278,389.38974,1655.3019,1662.8936,1.0,
000000000000000000ac_0,1584.2538,1994.5063,1742.5607,1816.1719,1502.7778,906.5506,864.1212,877.4849,254.9096,197.4626,565.5127,771.7566,1434.6152,1358.814,1272.6896,1007.00006,262.9283,315.63635,983.5884,646.4928,685.2251,392.4124,1310.7421,2019.2347,1358.8486,1090.0107,1648.2175,1867.5459,2041.1533,886.6511,911.1571,1200.8809,1268.3867,1.0,
000000000000000000ad_0,1652.0376,1686.8591,1377.9636,1734.2117,1780.2616,1292.0205,962.165,757.9044,936.4258,578.2842,384.5098,753.8569,1507.5757,1002.4381,859.451,704.5796,965.61975,601.6287,1007.3644,1150.469,874.315,374.9003,1425.4558,1735.2462,968.9731,1346.3997,1200.9626,1444.4961,2691.587,508.3065,583.63666,1002.55273,1106.9161,1.0,
000000000000000000ae_0,918.7881,1588.7725,1846.3198,1946.762,1948.814,1971.0352,1895.4197,1751.3674,1464.472,814.993,461.9178,1218.9045,1506.5823,1561.3818,1584.849,1619.6514,1535.1475,1285.7065,1995.7352,1735.6447,1468.2849,692.13745,1438.2283,522.4199,1711.7565,1090.2319,2093.0115,1640.0605,271.3239,1592.1265,1875.1804,1897.2405,2202.2495,1.0,
000000000000000000af_0,964.7501,912.4767,1314.7417,1158.2179,930.0446,1263.5312,775.2399,829.1109,136.26639,-85.9956,421.0343,63.7076,1242.2048,762.4074,124.7169,776.3588,153.1762,1281.068,1148.8508,1322.2512,880.3832,1177.9742,750.798,1161.1556,584.5737,1166.6333,1160.2205,1547.727,1219.1552,1672.3865,1333.1799,1060.7219,1424.1606,1.0,
000000000000000000b1_0,1282.6876,1527.1322,1278.9094,876.287,992.14526,473.5056,1225.8108,515.6031,204.2329,25.648602,149.0103,687.8534,1291.9167,1217.1509,913.00385,594.8207,773.5096,817.3097,1001.9959,845.5962,326.84882,774.1832,1092.2023,1324.2946,874.9404,1119.6864,1055.1941,1698.6351,1722.9998,1466.226,326.9642,1298.31,1385.0835,1.0,
000000000000000000b2_0,1774.9796,1689.8542,1620.9911,1685.8269,1752.5981,1550.9222,1581.2042,1571.4696,1347.8654,1164.6343,1164.2212,1345.7036,1816.9459,1299.9838,1302.3789,1299.7126,1249.829,1446.9541,1349.9375,1241.3744,1201.2336,1714.3027,1700.1854,2086.349,2090.4243,1680.0074,2156.516,2725.3015,1633.1184,1624.7004,1620.1895,1590.5536,1760.3777,1.0,
000000000000000000b3_0,1290.0975,1348.5354,1247.0957,1139.9987,1236.0125,1823.0632,1313.6976,1207.0232,495.11276,1212.0446,1172.635,919.1113,1587.7169,934.3914,1198.5912,1148.806,564.2561,1352.0177,1172.6932,1009.15,723.10693,1515.7715,1390.019,671.4387,1557.7041,1539.9445,1300.2075,1191.4526,1106.821,1107.5431,84.1986,752.2518,332.9764,1.0,
000000000000000000b4_0,2344.0537,628.05554,861.4022,822.2599,248.8671,2149.801,1550.0604,1265.2626,1078.168,678.81055,1240.1007,1744.1754,1475.549,1837.269,782.0206,1778.031,1042.8722,1670.5416,1814.6929,1644.9089,1183.205,1944.7213,2153.1157,974.0393,2456.2173,2271.1384,1568.5396,1608.6986,1753.891,1456.9672,2277.1443,1862.361,447.09,1.0,
000000000000000000b5_0,1252.7708,948.19775,1554.6703,1449.9839,1376.5748,953.665,900.4022,1271.3289,622.1852,669.1842,1011.28186,1038.2837,1164.8887,990.72205,1004.67566,878.6666,770.8679,1049.1248,867.027,1027.1038,761.6658,1252.7596,1566.4531,935.3076,1596.6902,1776.0966,1833.8606,1271.2261,1000.593,1067.9202,1069.2644,1238.5824,1323.3193,1.0,
000000000000000000b6_0,1437.1146,1935.9253,2139.296,1696.1421,1696.6917,1841.2363,1689.9432,1425.2552,1180.549,1023.8541,1219.567,1177.5071,2060.1934,1322.6368,1228.3137,1207.212,1263.7134,1558.3108,1625.4044,1473.7728,934.75,1680.3398,1686.2747,1345.2709,1888.9641,1760.4023,2001.738,1602.4923,1428.9304,2130.949,1467.8167,1364.6067,1487.4188,1.0,
000000000000000000b7_0,252.5189,618.16797,201.4241,284.0543,617.7531,355.119,111.057846,321.63495,209.5947,51.0291,283.5145,285.503,830.1564,315.84045,321.4451,387.89526,161.0172,254.1537,356.7696,464.9889,281.178,438.31775,494.2928,494.5891,658.96533,463.9322,350.0498,798.73944,592.8934,852.0209,981.1702,672.7616,257.6398,1.0,
000000000000000000b8_0,2221.8586,1037.9248,2272.8757,1918.4468,1987.8853,2454.4307,2466.6604,1769.5474,-309.659,661.81616,1228.1477,1174.9806,351.78775,972.8617,905.5026,869.9562,923.331,797.1334,1270.2573,1372.7542,1372.6201,885.71155,1659.1982,766.7483,1884.852,1420.0378,1833.9556,1377.8811,1260.6663,2031.7926,2423.3555,435.4858,1851.19,1.0,
000000000000000000b9_0,794.67865,699.8854,531.7752,1111.3749,935.5576,1680.7911,1351.5583,923.9448,1145.8212,776.1708,1257.1655,1197.702,1042.0573,1064.409,945.2584,886.8558,913.8297,1217.6722,1033.121,1170.7854,862.8332,1439.7927,989.9005,1145.1486,1600.5083,1198.1302,1642.2157,1411.4801,1367.8477,1316.7998,1100.5276,1161.6478,828.837,1.0,
000000000000000000ba_0,1592.9606,1703.0293,1749.924,1963.158,2221.2515,1806.2227,1857.1519,1844.1309,1647.3501,1759.1604,1670.5671,1557.405,1653.2087,1545.643,1503.1392,1499.7406,1420.4949,1514.4813,1545.2937,1588.4474,1503.9574,1874.9656,2164.0981,1776.4951,2152.698,2116.6707,2011.5887,1929.8198,1991.0803,1681.4823,1951.1528,1803.7068,1920.6455,1.0,
000000000000000000bb_0,2179.1443,2040.0515,2333.4104,2306.489,2181.3525,1987.1569,2071.1448,1517.738,1564.5132,1696.7701,1717.2725,1954.0502,2211.0442,2100.6418,1955.2986,1880.7736,1718.4327,2233.3345,2028.7031,1997.939,1757.1152,2415.9026,2190.2095,2244.1057,2039.9636,2432.0334,2340.628,2428.7502,2070.1626,2265.644,2193.2725,1883.9823,2175.4236,1.0,
000000000000000000bc_0,2352.4653,2292.834,1588.7715,2003.382,1537.195,2134.453,1770.3727,1644.1758,1752.6016,1593.6757,1732.029,1425.2418,1637.9904,1410.5104,1395.8029,1782.1143,1204.629,1367.2517,629.78546,1702.613,1341.4238,2190.8376,2252.4946,1967.197,2168.3323,2357.202,2158.1504,2076.4478,2402.755,2393.1997,2119.3823,1992.0275,1790.446,1.0,
000000000000000000bd_0,2501.099,2402.8896,1283.7186,1177.9155,1470.5627,1165.6072,1273.2391,919.5218,676.5814,734.5928,974.9995,1006.96704,2587.783,1214.6096,1073.9507,1243.2594,1549.6506,1476.9893,1444.4343,1337.2822,885.04626,1468.9487,1352.1663,2622.0967,1302.0771,1461.3042,1439.6763,2728.867,2580.9001,2526.5776,1192.315,1338.2924,1340.4535,1.0,
000000000000000000be_0,1218.3097,2081.8733,1099.6895,915.2484,989.5781,937.7278,1009.4761,774.4806,625.096,518.306,904.1372,617.7204,2033.7448,935.3526,713.95667,1071.7264,1121.0281,1230.7238,1073.2708,1066.7795,923.10333,1325.75,1284.1453,2391.6062,1252.1693,1430.333,1424.8994,2402.2988,759.4238,1793.2056,1022.4799,893.4599,1009.7857,1.0,
000000000000000000bf_0,2108.1526,2489.634,1539.3826,1731.8822,1287.1309,1492.5793,1803.4762,1240.0881,1534.2902,1501.8118,1718.3654,1172.8333,1323.7523,1241.9077,1255.4574,1777.847,1173.0662,1275.3387,759.72034,1668.0184,1713.8824,2246.4727,2183.628,1618.4753,1860.9415,1745.6187,1946.7834,1980.1177,2310.628,2412.0754,1768.0975,2169.692,1438.1996,1.0,
000000000000000000c0_0,1057.5409,-13.0458,1286.5846,1176.127,1212.5557,1181.4049,675.58203,885.6496,999.3255,523.05,1142.63,951.7981,810.6225,1407.7769,1282.8324,1005.7798,566.267,1218.9973,1048.199,1329.1157,1108.152,1896.102,2005.2505,1344.6508,2138.4937,2044.5403,2237.1758,1398.3636,1278.3629,950.72754,1064.7181,1324.5265,986.2053,1.0,
000000000000000000c1_0,1729.0857,1681.0852,1224.8123,1521.601,1455.1665,1324.5616,1263.7068,1027.3356,1088.2272,948.1636,1017.46857,1408.348,1765.0287,1366.4478,1378.7703,1277.2554,1239.3032,1603.3838,1546.4656,1267.6055,1168.8528,1694.5042,1571.5532,1559.8691,1689.6125,1667.632,1420.3798,1744.6106,1590.6414,1550.882,1602.9333,954.8612,1183.0007,1.0,
000000000000000000c2_0,2518.9453,45.02775,1343.098,1184.3059,1471.102,1346.9667,1066.4518,1240.3079,985.4488,745.6312,1899.666,928.1106,440.7931,1150.4174,1091.1953,1380.3534,221.9497,1253.2964,1583.9727,1837.7944,1327.449,2024.635,1175.1708,323.89795,1717.0138,1454.0885,1863.3638,429.84137,819.72046,492.8929,781.6365,1190.6133,2183.973,1.0,
000000000000000000c3_0,300.8539,205.4337,1992.1427,2151.545,1787.5627,1517.972,1915.8513,22.39085,437.9318,-6.6006,282.51755,1620.843,327.84735,1980.2374,989.0111,1283.5378,716.6166,1239.1912,338.11615,878.5287,1719.6758,1761.4648,1822.3708,918.9277,964.7469,1846.9847,1899.7635,1004.2744,1204.8604,2237.2642,1912.4122,1920.8942,1975.0275,1.0,
