system:index,GREEN,GREEN_1,GREEN_10,GREEN_11,GREEN_12,GREEN_13,GREEN_14,GREEN_15,GREEN_16,GREEN_17,GREEN_18,GREEN_19,GREEN_2,GREEN_20,GREEN_21,GREEN_22,GREEN_23,GREEN_24,GREEN_25,GREEN_26,GREEN_27,GREEN_28,GREEN_29,GREEN_3,GREEN_30,GREEN_31,GREEN_32,GREEN_4,GREEN_5,GREEN_6,GREEN_7,GREEN_8,GREEN_9,VALUE,.geo
00000000000000000083_0,359.0,675.0,392.0,547.5,553.0,718.0,616.0,660.0,661.0,730.5,640.5,671.0,771.0,622.0,652.0,684.0,773.0,645.0,649.0,718.0,716.5,500.0,739.0,932.0,724.0,578.0,575.0,523.5,864.0,612.0,675.5,785.0,542.0,1.0,
00000000000000000084_0,671.0,812.0,720.5,589.0,609.0,733.0,837.0,534.0,422.0,374.0,430.0,765.0,851.0,821.5,914.0,767.0,765.0,740.0,662.0,568.0,468.0,430.0,442.5,823.0,332.0,482.5,250.0,905.0,711.0,531.0,1359.0,647.5,572.0,1.0,
00000000000000000085_0,647.0,639.0,643.0,751.0,671.5,719.0,841.0,778.0,711.0,851.0,844.0,854.0,637.0,823.0,841.5,882.5,927.0,898.5,819.0,833.0,885.0,846.5,954.0,647.5,856.5,807.5,845.0,560.0,664.0,579.5,684.0,710.0,741.5,1.0,
00000000000000000086_0,477.5,640.0,996.0,994.0,801.0,800.0,662.0,669.5,661.0,603.0,640.5,520.0,528.5,531.0,661.0,1095.5,916.0,842.5,685.5,676.0,746.0,755.0,734.0,861.0,724.5,638.0,702.0,961.0,792.0,713.5,1256.5,895.0,880.0,1.0,
00000000000000000087_0,590.0,625.5,642.0,648.0,715.0,648.0,757.0,733.0,662.0,658.0,604.5,720.0,653.0,685.0,673.0,782.0,691.5,663.0,606.0,607.0,768.0,683.5,698.0,833.0,670.0,612.0,664.0,648.0,895.0,824.5,977.5,759.5,598.0,1.0,
00000000000000000088_0,764.0,766.0,699.5,733.0,676.0,682.0,723.0,701.0,379.0,486.0,403.0,592.0,365.0,524.5,827.0,551.0,452.0,515.0,498.0,536.5,468.0,496.0,385.0,614.5,464.0,448.0,277.0,608.0,758.0,738.0,1315.5,735.0,839.0,1.0,
00000000000000000089_0,584.0,576.0,764.0,706.0,660.0,722.0,784.0,759.0,750.5,728.0,717.0,880.0,546.5,693.5,795.5,923.5,915.0,819.0,768.0,736.0,788.0,867.0,728.0,557.5,824.0,699.5,709.5,499.0,660.0,809.0,854.0,699.0,723.0,1.0,
0000000000000000008a_0,718.0,776.5,663.0,744.0,557.0,727.0,730.0,623.0,685.0,332.0,425.5,504.5,392.0,496.0,826.0,560.5,662.0,519.0,470.0,682.5,664.5,552.0,632.0,577.0,463.0,598.0,670.0,731.0,840.0,771.0,788.5,775.0,949.0,1.0,
0000000000000000008b_0,535.0,683.0,744.0,666.5,608.5,716.5,593.0,629.5,985.0,806.0,694.5,717.0,773.0,702.0,878.0,1014.0,822.5,797.5,725.0,786.0,816.0,788.0,835.0,670.0,868.5,695.0,682.5,582.0,643.0,723.0,812.0,856.0,639.0,1.0,
0000000000000000008c_0,413.0,471.5,472.5,613.0,503.0,607.0,611.5,600.0,612.0,654.0,572.0,665.0,458.5,571.0,550.5,693.5,682.0,609.5,590.0,583.0,592.0,694.0,548.0,561.5,639.0,473.0,489.5,470.0,534.0,462.5,607.5,522.0,492.0,1.0,
