system:index,NDWI,NDWI_1,NDWI_10,NDWI_11,NDWI_12,NDWI_13,NDWI_14,NDWI_15,NDWI_16,NDWI_17,NDWI_18,NDWI_19,NDWI_2,NDWI_20,NDWI_21,NDWI_22,NDWI_23,NDWI_24,NDWI_25,NDWI_26,NDWI_27,NDWI_28,NDWI_29,NDWI_3,NDWI_30,NDWI_31,NDWI_32,NDWI_4,NDWI_5,NDWI_6,NDWI_7,NDWI_8,NDWI_9,.geo
00000000000000000084_0,-0.3488372,-0.24264023,-0.3908257,-0.43102393,-0.48099172,-0.46530074,-0.4551706,-0.44204852,-0.37446928,-0.4081921,-0.3769682,-0.29891586,-0.35488215,-0.48318163,-0.4842652,-0.43120602,-0.3713069,-0.39370957,-0.37581274,-0.32725322,-0.24959481,-0.26978335,-0.4253679,-0.38814533,-0.45364314,0.340887,-0.46306068,-0.33581236,-0.49143016,-0.45842332,-0.42666295,-0.39338338,-0.42302358,
00000000000000000085_0,-0.36319217,-0.2951128,-0.41586316,-0.38336715,-0.4918204,-0.4284705,-0.118005216,-0.45640177,-0.3345627,-0.40864223,-0.38092148,-0.36737806,-0.4113362,-0.4229484,-0.46473888,-0.21536352,-0.4025974,-0.35394192,-0.38380566,-0.4463373,-0.46541035,-0.25472748,-0.40168482,-0.4111989,-0.4438406,-0.48523748,-0.43249726,-0.47296458,-0.47338936,-0.33660132,-0.42695722,-0.41060504,-0.4474732,
00000000000000000086_0,-0.38732395,-0.28020135,-0.37437186,-0.4223316,-0.3032007,-0.45310816,-0.35481772,-0.3226017,-0.33406594,-0.40665796,-0.31890243,-0.32896277,-0.49036777,-0.41381767,-0.37513018,-0.35335392,-0.3644315,-0.24743025,-0.3365167,-0.29907718,-0.28307256,-0.33535397,-0.26942828,-0.39330143,-0.3229472,-0.31533015,-0.25432998,-0.5364706,-0.46063414,-0.22813688,-0.30198994,-0.3835691,-0.44261092,
00000000000000000087_0,-0.4097453,-0.27405176,-0.34299105,-0.20458452,-0.49246046,-0.42427617,-0.26931986,-0.3954297,-0.34205744,-0.41319796,-0.36384097,-0.32107496,-0.14574713,-0.4411631,-0.4714932,-0.39336824,-0.37245026,-0.37997657,-0.29774126,-0.29898956,-0.33729568,-0.40371746,-0.43804228,-0.36712915,-0.4466931,-0.49011984,-0.45763433,-0.44759557,-0.46525323,-0.38562807,-0.18442537,-0.4140414,-0.44864866,
00000000000000000088_0,-0.402691,-0.32962587,-0.34450263,-0.35381988,-0.52,-0.3779661,-0.44376677,0.9522184,-0.2875121,-0.41904435,-0.053984575,-0.40636042,-0.45099702,-0.33243024,-0.47792208,-0.42402598,-0.37509397,-0.39266706,-0.2986645,-0.30785233,-0.46368182,-0.39703703,-0.45222348,-0.4359198,-0.45801848,-0.47968793,-0.45658386,-0.5100441,-0.46992692,-0.41461623,-0.299037,-0.41442412,-0.46804953,
00000000000000000089_0,-0.34514004,-0.32688588,-0.40142918,-0.18404908,-0.40459365,-0.49732178,-0.13626075,-0.41512606,-0.3143061,-0.47625053,-0.2990133,-0.2762162,-0.43255433,-0.43564355,-0.45709124,-0.38974166,-0.44680852,-0.29803407,-0.4726841,-0.47472355,-0.36801788,-0.36977717,-0.52111715,-0.34503362,-0.5347899,-0.43603134,-0.51692307,-0.3381936,-0.39509538,-0.38925081,-0.28271574,-0.39771548,-0.3997114,
0000000000000000008a_0,-0.3656321,-0.35441527,-0.3699466,-0.36482084,-0.4065934,-0.4597701,-0.25472888,0.7596899,-0.20523731,-0.4816626,-0.3408402,-0.1455898,-0.2499276,-0.42384994,-0.46354777,-0.3995272,-0.2823366,-0.32427844,-0.51032805,-0.4723618,-0.39018917,-0.31612903,-0.5263158,-0.37053046,-0.51691866,-0.53553647,-0.51161903,-0.46900928,-0.43010753,-0.3973358,-0.2976986,-0.38867393,-0.4113135,
0000000000000000008b_0,-0.35251045,-0.30953416,-0.44971892,-0.41236836,-0.486796,-0.51678866,-0.15798661,1.3574879,-0.19377778,-0.47208458,-0.3110561,-0.23503128,-0.4200571,-0.46043614,-0.34048256,-0.35422802,-0.4275568,-0.33632907,-0.38041002,-0.32653427,-0.39459246,-0.3628433,-0.4678856,-0.4282262,-0.44827586,-0.3767209,-0.4347102,-0.5250236,-0.48365325,-0.4648231,-0.38594595,-0.4015921,-0.42979944,
0000000000000000008c_0,-0.39564866,-0.3161581,-0.4645457,-0.46862385,-0.44986647,-0.513671,-0.32122698,0.88039213,-0.3222102,-0.36546186,-0.36895788,-0.24011104,-0.35633227,-0.4471698,-0.469363,-0.421875,-0.37377542,-0.39872068,-0.40770364,-0.31216687,-0.44264507,-0.35253295,-0.44216117,-0.33201358,-0.44889688,-0.37161085,-0.4344557,-0.52369577,-0.45374724,-0.45479545,-0.34752408,-0.44857216,-0.41424218,
0000000000000000008d_0,-0.36006975,-0.32416603,-0.43617308,-0.47419468,-0.43066666,-0.47803482,-0.4509804,1.4805195,-0.27745965,-0.3590832,-0.36199722,-0.42193308,-0.3436373,-0.20216757,-0.3701081,-0.41910878,-0.3857042,-0.39010543,-0.4038079,-0.40990466,-0.46476474,-0.29756707,-0.46496508,-0.45324123,-0.45816374,-0.3556338,-0.44680852,-0.4871939,-0.48788425,-0.26672667,-0.19588716,-0.3071994,-0.4924227,
