"","system.index","NDWI","NDWI_1","NDWI_10","NDWI_11","NDWI_12","NDWI_13","NDWI_14","NDWI_15","NDWI_16","NDWI_17","NDWI_18","NDWI_19","NDWI_2","NDWI_20","NDWI_21","NDWI_22","NDWI_23","NDWI_24","NDWI_25","NDWI_26","NDWI_27","NDWI_28","NDWI_29","NDWI_3","NDWI_30","NDWI_31","NDWI_32","NDWI_4","NDWI_5","NDWI_6","NDWI_7","NDWI_8","NDWI_9",".geo","CID","class"
"464","000000000000000000d7_0",-0.37050045,-0.09344978,-0.34953272,-0.3453521,-0.2703338,-0.3392751,-0.32517105,-0.4137235,-0.37873358,-0.4114713,-0.31518152,-0.28151006,-0.44229338,-0.44281876,-0.18410596,-0.18791541,-0.38887218,-0.3968151,-0.37863013,-0.4006116,-0.46959898,-0.43886745,-0.4832536,-0.24552958,-0.42215416,-0.5005807,-0.49823144,-0.39256573,-0.4433478,-0.35614973,-0.26728585,-0.39834228,-0.44122657,NA,464,"ltr"
"465","000000000000000000d8_0",-0.35944125,-0.26104692,-0.34659687,-0.3560571,-0.38431525,-0.32520065,-0.37118194,-0.37448558,-0.3999485,-0.5057358,-0.26463538,-0.33822235,-0.31272727,-0.2627197,-0.23021583,-0.30695698,-0.35307783,-0.39613357,-0.1492205,-0.47681484,-0.3585791,-0.5595703,-0.39541388,-0.38472384,-0.4916305,-0.47072145,-0.4539924,-0.47278547,-0.44706252,-0.3598425,-0.32058048,-0.32821006,-0.4263114,NA,465,"ltr"
"466","000000000000000000d9_0",1.4471545,0.7250787,1.043088,1.1208577,1.0362173,0.90425533,1.0186757,1.0494382,0.8897959,0.9493029,0.8499414,1.0223151,0.7987013,0.9790941,1.0191693,1.0403458,0.9423868,1.0078226,0.964497,1.0118624,1.0372671,0.44848484,0.69960475,0.9138943,0.6813187,0.9697965,0.8004866,0.8676123,0.91150445,0.8148148,0.6698762,0.50183153,1.0611621,NA,466,"ltr"
"467","000000000000000000da_0",-0.40734488,-0.31616256,-0.3221239,-0.39015386,-0.37214318,-0.3150604,-0.3406097,-0.3776352,-0.35470808,-0.29382715,-0.25652388,-0.3446191,-0.33239436,-0.17298022,-0.45139608,-0.34547526,-0.41343668,-0.37910146,-0.40016502,-0.39148408,-0.3955151,-0.50689536,-0.2831424,-0.31393093,-0.46971735,-0.38321167,-0.48113522,-0.47708577,-0.46212122,-0.25862068,-0.29478538,-0.488091,-0.3964224,NA,467,"ltr"
"468","000000000000000000db_0",-0.4549343,-0.36031747,-0.39449543,-0.17378049,-0.37327188,-0.455516,-0.42965367,-0.37512487,-0.40902475,-0.45603576,-0.40130153,-0.42882147,-0.49469835,-0.3473294,-0.46151978,-0.36763203,-0.4215305,-0.38680738,-0.442417,-0.37380496,-0.42551166,-0.44228572,-0.42618743,-0.43898854,-0.4465252,-0.48049113,-0.46120787,-0.50108594,-0.5168601,-0.3576159,-0.40330255,-0.40830576,-0.49415284,NA,468,"ltr"
"469","000000000000000000dc_0",-0.36963922,-0.36092955,-0.32469404,-0.37347367,-0.329429,-0.42506963,-0.39374498,-0.433581,-0.24915369,-0.15846995,-0.28064397,-0.3225532,-0.31197438,-0.3016605,-0.36783284,-0.39629382,-0.38380063,-0.37054086,-0.41653028,-0.31254283,-0.41385597,-0.4547723,-0.3768006,-0.32308322,-0.39984533,-0.4858812,-0.42532066,-0.39635584,-0.4150289,-0.35235566,-0.22743559,-0.39712918,-0.41170827,NA,469,"ltr"
"470","000000000000000000dd_0",-0.23260906,-0.32135308,-0.4171073,-0.33898306,-0.3408298,-0.40828404,-0.18662143,-0.31138715,-0.3170441,-0.28451493,-0.2923744,-0.19103973,-0.45199326,-0.29101476,-0.35744864,-0.29995775,-0.33498424,-0.35763547,-0.31105652,-0.23104057,-0.31655198,-0.4112579,-0.40640154,-0.3573277,-0.36693227,-0.40919587,-0.4409881,-0.44816053,-0.34946677,-0.41036803,-0.1780822,-0.32863188,-0.30639517,NA,470,"ltr"
"471","000000000000000000de_0",0.6195652,-0.14888889,0.9168053,0.97604793,0.91628957,1.0306122,0.9700499,1.1666666,1.0536913,0.9668874,0.96547145,0.9568567,0.8894472,0.9708155,1.0093458,0.9211679,1.0184544,1.0095087,1.0081412,0.98163736,1.1969697,0.7068063,0.746114,0.97818184,0.7425743,0.97689074,0.8405316,0.89292544,0.77179486,1.2189474,0.6736402,0.5149957,0.8736177,NA,471,"ltr"
"472","000000000000000000df_0",-0.47058824,-0.36738247,-0.34522292,-0.36678094,-0.38144928,-0.45957756,-0.39483395,0.9236641,-0.36949614,-0.42924848,-0.21321322,-0.441162,-0.4287016,-0.34504697,-0.2887346,-0.38819474,-0.32866043,-0.36341465,-0.3966524,-0.42823598,-0.4290508,-0.40851688,-0.2772504,-0.28278467,-0.45768228,-0.29038718,-0.3704319,-0.39751554,-0.31671348,-0.4673804,-0.49324325,-0.3682695,-0.48804936,NA,472,"ltr"
"473","000000000000000000e0_0",-0.32098147,-0.031685676,0.627907,0.9583728,1.0530974,0.9126214,1.0260782,1.8387097,1.0404624,0.90834314,0.95956457,0.94109774,-0.13551816,1.0264901,0.9286733,1.0336843,0.9323944,0.9886364,0.94871795,0.9704524,0.9052632,0.6898396,0.76397514,0.26588845,0.7222222,0.97626895,0.7236364,0.22029702,0.17168675,0.6380091,0.6775106,0.394636,0.9657702,NA,473,"ltr"
"474","000000000000000000e1_0",0.36119404,0.46056783,0.88785046,0.8888889,0.79161674,1.0333952,0.9461967,0.9310345,0.87906975,0.89559543,0.87625897,0.87470996,0.44126076,1.0214541,0.8961039,1.0357941,0.826178,0.9367397,0.9181897,0.96004,1.1294118,0.61813843,0.65252525,0.7877984,0.712,0.94901675,0.59574467,0.81383646,0.77894735,0.71859294,0.5821656,0.35950732,0.8627859,NA,474,"ltr"
"475","000000000000000000e2_0",1.0821918,0.51304346,0.818448,1.0329671,0.9118727,0.69957083,0.94192797,1.8387097,1.0331753,0.97557664,0.95342463,0.94692403,0.3215859,1.0227273,1.0394089,0.9245283,1.0242424,0.97315437,1.014556,1.0215898,1.2201835,0.7083333,0.772973,0.9240283,0.7647059,0.9762376,0.7607973,0.8851064,0.7382413,1.0337079,0.7257319,0.394636,1.0735294,NA,475,"ltr"
"476","000000000000000000e3_0",-0.46331236,-0.2703266,-0.4733728,-0.48853615,-0.4732199,-0.51093173,-0.44263387,-0.38219297,-0.41449276,-0.45406824,-0.38407865,-0.29496998,-0.44883305,-0.42477876,-0.35811648,-0.44820145,-0.4658311,0,-0.39591545,-0.5099567,-0.49079755,-0.44518027,-0.42692584,-0.3956044,-0.5474275,-0.48681194,-0.45206517,-0.4520649,-0.52884614,-0.50792253,-0.19384024,-0.5213235,-0.4378981,NA,476,"ltr"
"477","000000000000000000e4_0",-0.43023255,-0.3327166,-0.33580706,-0.31766382,-0.37097448,-0.32831326,-0.37534627,-0.27406198,-0.30566037,-0.33333334,-0.24665982,-0.3362655,-0.15944743,-0.44428572,-0.362298,-0.37980926,-0.36048064,-0.25645593,-0.35168618,-0.2522946,-0.3929024,-0.4516696,-0.43481916,-0.41275045,-0.4220798,-0.4605761,-0.41652694,-0.34119782,-0.36755422,-0.48675293,-0.3417864,-0.38767773,-0.44689712,NA,477,"ltr"
"478","000000000000000000e5_0",-0.29470804,-0.39675945,-0.40358502,-0.12667091,-0.2756702,-0.2996633,-0.005428882,-0.21584159,0.18159509,0.3564614,0.43551797,0.9667171,-0.41021788,0.9059059,0.8361669,0.828,0.898,0.970852,0.9067164,0.90797985,0.6173913,0.68719214,0.56886226,-0.48842975,0.5019455,0.9259868,0.5436893,-0.42541042,-0.49660888,-0.44029507,-0.17741218,-0.3652213,-0.35856196,NA,478,"ltr"
"479","000000000000000000e6_0",-0.41367638,-0.36088526,-0.44550353,-0.2311713,-0.47115386,-0.3589301,-0.43288672,-0.42448553,-0.3754337,-0.48904762,-0.4265426,-0.5058526,-0.36587128,-0.40964842,-0.33420366,-0.4576441,-0.440724,-0.42145243,-0.458073,-0.47040498,-0.41241685,-0.6707819,-0.45910862,-0.49571386,-0.6283857,0.3457795,-0.51644737,-0.3912169,-0.407069,-0.1461958,-0.38895783,-0.2845992,-0.5240429,NA,479,"ltr"
"480","000000000000000000e7_0",-0.4310757,-0.29372045,-0.33232015,-0.39701286,-0.4323678,-0.51510334,-0.4509589,-0.44098055,-0.33635482,-0.5112782,-0.39741075,-0.39407244,-0.46220472,-0.1462084,-0.48199853,-0.47831514,-0.4795832,-0.42108434,-0.50457555,-0.49594322,-0.58015054,-0.5323412,-0.5588894,-0.32384905,-0.5419075,-0.5791411,-0.5505952,-0.31926122,-0.43290892,-0.41417652,-0.20621802,-0.37533513,-0.43168736,NA,480,"ltr"
"481","000000000000000000ea_0",-0.20551091,-0.18330212,-0.40105078,-0.09127382,-0.4015544,-0.4227226,-0.34909597,-0.25989306,-0.3327129,-0.43674698,-0.43470484,-0.31367564,0.16416249,-0.42668623,-0.40186915,-0.35420945,-0.43611202,-0.27841845,-0.445145,-0.4624299,-0.42166796,-0.49209931,-0.4774869,-0.28983688,-0.37521031,0.2659967,-0.48063782,-0.25414848,-0.4568245,-0.34901962,-0.36624095,-0.09746329,-0.119825706,NA,481,"ltr"
"482","000000000000000000eb_0",0.10493827,0.66848814,1.0544218,0.9298831,0.79405034,0.88593155,0.9461467,1.875,0.84338623,0.90687364,0.87743735,1.0472103,0.79037803,1.0192102,0.91168094,0.8068182,0.8623188,0.917223,0.91949487,0.9373104,0.79899496,0.5962877,0.75,0.92239857,0.625,0.9218865,0.6909091,0.8722826,0.6759259,0.8980892,0.61687875,0.384273,0.8450704,NA,482,"ltr"
"483","000000000000000000ec_0",-0.43035817,-0.20446096,-0.30375427,-0.1547492,-0.3519833,-0.24296875,-0.24748744,2.0535715,-0.23766072,-0.18538938,0.1261967,0.3243435,-0.20958084,0.713369,0.7425997,0.6876939,0.7808219,0.8977368,0.86290324,0.87455195,0.5549048,0.75240386,0.6815287,-0.2012848,0.5430267,0.68470585,0.44827586,0.06647807,-0.022413794,0.22937854,0.18347639,-0.07058159,-0.25181347,NA,483,"ltr"
"484","000000000000000000ed_0",-0.39379185,-0.28822985,-0.3948052,-0.18985395,-0.3715847,-0.3227207,-0.120732725,0.8943089,-0.23312883,-0.40134645,-0.288193,-0.30227745,-0.27209464,-0.39864355,-0.31601733,-0.18350515,-0.33829975,-0.21482413,-0.32658798,-0.36889556,-0.4113098,-0.41211703,-0.38066095,-0.2680498,-0.4695652,0.2870269,-0.45759553,-0.38539898,-0.43209878,-0.37592277,-0.35514918,-0.42110553,-0.47530186,NA,484,"ltr"
"485","000000000000000000ee_0",-0.4546694,-0.32627645,-0.38991457,-0.15645014,-0.11378556,-0.35705814,0.040816326,-0.2600229,-0.30885652,-0.3551797,-0.35425165,-0.34446764,-0.26775452,0.07707191,-0.19753087,-0.2976063,-0.2225021,-0.15102771,-0.26086956,-0.34497815,-0.34089023,-0.42084473,-0.46819672,-0.44815826,-0.4572724,-0.43765524,-0.33333334,-0.45344537,-0.461505,-0.49926472,-0.13867822,-0.4339188,-0.46280992,NA,485,"ltr"
"486","000000000000000000ef_0",-0.1028632,0.79877514,0.803125,0.9318182,0.921522,0.8863636,0.9823702,1.0877193,1.019685,0.94528043,0.9057971,1,0.92795885,1.023939,1.0243531,1.0546875,0.89038265,1.0360551,0.9762901,0.94769615,0.86627907,0.8060606,0.8158996,1.0272315,0.76119405,0.9603633,0.82725525,1.0450281,0.8888889,1.0340716,0.58027816,0.36477116,0.84543324,NA,486,"ltr"
"487","000000000000000000f0_0",-0.40391636,-0.46805736,-0.48178884,-0.027196653,-0.58036315,-0.47328606,-0.3076441,0.8947368,-0.3858165,-0.39945093,-0.36993563,-0.36823106,-0.27663553,-0.41568628,-0.39422697,-0.22156863,-0.30060214,-0.24252492,-0.42613065,-0.4599938,-0.43250477,-0.47412586,-0.4535327,-0.5498602,-0.47807756,0.32014054,-0.46743295,-0.35687453,-0.4385965,-0.3965375,-0.39709648,-0.49089167,-0.43654433,NA,487,"ltr"
"488","000000000000000000f1_0",-0.24501993,-0.35092086,0.6721311,0.68839103,0.77923787,0.6360424,1.0282413,1.6121212,1.0154241,0.7714286,0.73400253,0.870229,0.011160715,0.91193736,1.0378788,0.827476,0.9485095,0.9388889,0.9432177,0.9388753,0.6751269,0.5515695,0.7762557,0.4816754,0.625,0.8733738,0.625,0.43941605,0.045161292,0.5658627,0.3825079,0.33010492,0.33069307,NA,488,"ltr"
