system:index,NDMI,NDMI_1,NDMI_10,NDMI_11,NDMI_12,NDMI_13,NDMI_14,NDMI_15,NDMI_16,NDMI_17,NDMI_18,NDMI_19,NDMI_2,NDMI_20,NDMI_21,NDMI_22,NDMI_23,NDMI_24,NDMI_25,NDMI_26,NDMI_27,NDMI_28,NDMI_29,NDMI_3,NDMI_30,NDMI_31,NDMI_32,NDMI_4,NDMI_5,NDMI_6,NDMI_7,NDMI_8,NDMI_9,.geo
000000000000000000c2_0,0.31500173,0.43372723,0.40576923,0.34552628,0.3519375,0.37271938,0.3005848,0.82539684,0.4339263,0.3367122,0.3141818,0.34225547,0.45510834,0.39620912,0.41860464,0.40530783,0.36676267,0.33189964,0.36067945,0.40744534,0.45136118,0.3628671,0.4356234,0.29739988,0.39520755,0.4063025,0.43012902,0.40428624,0.4295224,0.3879527,0.34675238,0.41564098,0.2802721,
000000000000000000c3_0,0.29856262,0.34748012,0.33788288,0.3724519,0.272482,0.4635539,0.27333426,0.303437,0.37337092,0.2813019,0.4507772,0.46386093,0.3531915,0.3046679,0.34987852,0.39392117,0.2574763,0.3210932,0.46233293,0.33781686,0.36833403,0.27398026,0.3632792,0.36309522,0.44466373,0.45449224,0.4710345,0.3271382,0.31648064,0.40599456,0.3185425,0.40705633,0.31636807,
000000000000000000c4_0,0.34411386,0.40663177,0.45493197,0.3485978,0.29444334,0.34806255,0.25247428,0.27410376,0.35743162,0.3478045,0.32477948,0.31686413,0.3483418,0.37146315,0.37881273,0.41763377,0.4365442,0.25438112,0.3489611,0.31486228,0.45728102,0.43681064,0.37459677,0.33217993,0.5224508,0.22814845,0.29058546,0.29064244,0.34842768,0.39518392,0.28995663,0.5109232,0.33757403,
000000000000000000c5_0,0.3289452,0.3638718,0.42862165,0.34290272,0.34168014,0.34525183,0.3133297,0.32994142,0.3474792,0.3769863,0.46827587,0.38434163,0.38434783,0.46754467,0.3615345,0.33586627,0.3159981,0.34006235,0.3877551,0.40816018,0.38486442,0.4032258,0.4247079,0.38127545,0.5263995,0.39029577,0.41685182,0.35615373,0.34443256,0.45348218,0.31842917,0.38924435,0.41201162,
000000000000000000c6_0,0.30637917,0.3924182,0.3319097,0.30104807,0.34615386,0.39808154,0.3605419,0.34737858,0.36281788,0.3442088,0.3251659,0.33357233,0.39354515,0.350229,0.34913313,0.35918775,0.38122284,0.32552466,0.4412286,0.33855993,0.42786884,0.30701447,0.34949753,0.33527696,0.43590575,0.4070474,0.37999046,0.321753,0.2976432,0.36107308,0.34571204,0.33609024,0.34311187,
000000000000000000c7_0,0.36375067,0.45741555,0.33627242,0.32832348,0.3946221,0.3177535,0.2627866,0.5854545,0.34930557,0.3577111,0.372571,0.31800765,0.40266934,0.46765476,0.32979614,0.37789997,0.3558174,0.3933162,0.4896215,0.38839826,0.39449543,0.2851435,0.43956336,0.38589787,0.45866907,0.44650817,0.41979396,0.37509573,0.3936767,0.39208883,0.3368966,0.32053292,0.324057,
000000000000000000c8_0,0.37783375,0.37704408,0.3160043,0.37061647,0.1934621,0.33203813,0.41798106,0.42046762,0.44892615,0.3730535,0.4280992,0.36422977,0.34929183,0.41218638,0.37566844,0.3603655,0.2880562,0.41360202,0.51757705,0.3581257,0.34147617,0.41903666,0.35161766,0.3873967,0.38444158,0.39602733,0.38395998,0.28321806,0.3556199,0.39527327,0.17727639,0.24469161,0.28595716,
000000000000000000c9_0,0.2956868,0.35614476,0.283914,0.3631913,0.23141602,0.28484848,0.28145027,0.5510204,0.30964833,0.32509133,0.2942171,0.27952576,0.35265386,0.32574275,0.35703108,0.36021966,0.30405042,0.38200632,0.3513233,0.5086772,0.30313474,0.30671957,0.37540305,0.27016392,0.40169668,0.38791624,0.3844979,0.30199966,0.31309903,0.33253336,0.28284207,0.34904557,0.2647293,
000000000000000000ca_0,0.30040705,0.30417916,0.33128944,0.3121581,0.25877887,0.25335893,0.25934315,0.824,0.253524,0.29844758,0.2333617,0.26357988,0.27846438,0.2891169,0.4129237,0.30614075,0.307408,0.35710368,0.38825533,0.35716176,0.36144865,0.2278726,0.36554173,0.23337008,0.4814153,0.4187634,0.37831622,0.2391059,0.23904502,0.31602857,0.185551,0.2933822,0.20205319,
000000000000000000cb_0,0.30591357,0.43677792,0.36498746,0.35403964,0.37539798,0.47478822,0.36835063,0.824,0.24005349,0.27675402,0.2947329,0.31235954,0.4230515,0.30128998,0.35210276,0.33773804,0.27497426,0.34322453,0.32493344,0.36738518,0.38762885,0.28821436,0.46009478,0.36115885,0.44563696,0.3417411,0.38621175,0.31296378,0.3283433,0.414642,0.33436114,0.39971346,0.33768287,
000000000000000000cc_0,0.30986446,0.37071362,0.29057062,0.34841788,0.24493423,0.28377,0.2877611,0.83870965,0.36847767,0.389508,0.34542373,0.30804336,0.31215847,0.3554023,0.358426,0.3574758,0.33623567,0.36958066,0.36632907,0.5844595,0.33649167,0.26013163,0.3869878,0.26317883,0.4267235,0.41322854,0.3822129,0.32995266,0.33856165,0.23735408,0.29183108,0.34650806,0.28788427,
000000000000000000cd_0,0.42261642,0.43150046,0.39248306,0.4054951,0.32059264,0.36361825,0.35155934,0.3975594,0.38162163,0.29211804,0.37732795,0.32108486,0.41933963,0.3518941,0.35437456,0.34920904,0.3039929,0.28644034,0.30031347,0.46560404,0.42499527,0.18525591,0.46786687,0.3602282,0.39933786,0.38273728,0.38503098,0.36170965,0.34773803,0.45969442,0.26252678,0.33135343,0.3406641,
