"","system.index","Wetness","Wetness_1","Wetness_10","Wetness_11","Wetness_12","Wetness_13","Wetness_14","Wetness_15","Wetness_16","Wetness_17","Wetness_18","Wetness_19","Wetness_2","Wetness_20","Wetness_21","Wetness_22","Wetness_23","Wetness_24","Wetness_25","Wetness_26","Wetness_27","Wetness_28","Wetness_29","Wetness_3","Wetness_30","Wetness_31","Wetness_32","Wetness_4","Wetness_5","Wetness_6","Wetness_7","Wetness_8","Wetness_9",".geo","CID","class"
"195","000000000000000000c3_0",-573.6145,-636.6031,-479.54495,-562.99854,-513.6474,-519.907,-581.3991,-758.74316,-797.0314,-939.8607,-755.5431,-716.00024,-583.14233,-732.7324,-623.6364,-612.8507,-786.0848,-677.131,-514.3548,-733.5999,-864.0845,84.5907,202.5978,-620.5664,74.2913500000001,125.4303,154.3404,-515.92145,-577.8041,-556.6919,-571.6174,-539.12134,-539.17664,NA,195,"for"
"196","000000000000000000c4_0",-660.173,-600.5067,-585.8963,-571.0111,-599.24524,-637.8213,-620.6037,-769.88,-776.2993,-979.46313,-818.03015,-722.4329,-583.68085,-668.1668,-677.0949,-682.12866,-764.2019,-688.7424,-673.8299,-725.91595,-953.11816,-43.8250499999999,-8.1989999999999,-606.49976,26.9019000000001,13.5892,61.38125,-517.6582,-787.4966,-620.9037,-580.4459,-616.9448,-607.8664,NA,196,"for"
"197","000000000000000000c5_0",-676.61035,-654.89514,-675.983,-614.50397,-659.0936,-666.5497,-654.0475,-869.2377,-904.7175,-1005.0918,-885.6586,-680.9254,-640.0531,-842.3783,-655.75305,-660.4719,-972.1896,-693.8403,-720.24927,-941.29565,-1026.2437,-22.21395,123.7579,-666.2285,107.7968,113.26435,154.4319,-603.8219,-547.4703,-611.3718,-515.2091,-626.9509,-617.9902,NA,197,"for"
"198","000000000000000000c6_0",-426.2689,-406.29565,-370.4134,-354.8543,-423.64294,-418.7286,-502.9552,-694.271,-615.3336,-774.1161,-620.9013,-578.1343,-446.8278,-621.2506,-627.3722,-510.41187,-624.0592,-547.82745,-475.2496,-753.1912,-835.861,57.97105,106.0568,-466.96884,99.8066499999999,125.83475,121.0666,-452.5843,-355.67517,-390.9886,-425.50116,-370.3607,-419.8653,NA,198,"for"
"199","000000000000000000c7_0",-471.6651,-494.4312,-435.6544,-450.02255,-437.45966,-470.04654,-520.8447,-701.2206,-631.7068,-818.62,-723.0829,-573.2481,-462.70972,-618.1843,-590.288,-566.3851,-663.089,-576.1771,-662.0364,-611.37146,-772.85443,-10.0999,22.7277,-507.76953,50.3075000000002,36.4002,73.66245,-419.7432,-442.50287,-450.8931,-512.6273,-449.7827,-421.1851,NA,199,"for"
"200","000000000000000000c8_0",-449.921,-447.95544,-449.95667,-368.2664,-343.9107,-438.498,-464.6752,-679.6272,-651.9752,-755.746,-671.699,-502.6319,-462.6612,-535.06494,-538.7588,-501.1909,-622.3369,-552.828,-560.6126,-572.8911,-762.0083,87.7479,60.6095999999999,-435.0127,80.04765,73.2755,66.8730000000001,-423.40295,-330.3886,-395.33185,-426.9585,-346.2839,-366.4497,NA,200,"for"
"201","000000000000000000c9_0",-91.0537,-302.4922,5.0749,-69.929,-313.74915,-178.13159,-276.09137,-396.03204,-435.1581,-579.2568,-459.1311,-464.5127,-178.79959,-250.21545,-235.5666,-333.321,-399.039,-291.3117,-330.4249,-448.5219,-529.5754,14.1199,71.6013,-267.6808,75.88395,128.59095,71.0253000000001,-201.2491,-334.7998,-211.9551,-344.3754,-375.6988,-331.0058,NA,201,"for"
"202","000000000000000000ca_0",-483.5761,-511.2856,-354.4582,-452.06274,-465.2172,-538.30884,-458.384,-686.0205,-693.32275,-947.2582,-748.1376,-651.7056,-437.26,-741.89014,-605.4536,-637.2279,-807.3158,-620.2247,-583.7299,-723.2485,-908.1624,76.1925,137.4408,-566.03754,80.9499999999997,132.9523,128.4448,-388.7504,-567.7622,-493.6781,-507.1969,-517.0864,-535.5886,NA,202,"for"
"203","000000000000000000cb_0",-546.1671,-563.9121,-485.2968,-502.2595,-511.6546,-492.9426,-503.6243,-781.0365,-794.79675,-968.5632,-762.8319,-686.03186,-485.4051,-698.61584,-628.8583,-677.4734,-816.013,-658.84796,-582.282,-735.4851,-955.0867,-102.7684,36.23575,-593.49786,33.48715,58.39185,81.1351,-522.0128,-536.7516,-607.6572,-569.8084,-549.235,-545.7936,NA,203,"for"
"204","000000000000000000cc_0",-628.0217,-605.1978,-553.2735,-606.7206,-639.8447,-633.8832,-651.3408,-822.465,-965.428,-1032.5819,-891.8916,-654.31726,-515.1173,-770.2879,-807.3141,-755.0084,-905.39716,-747.2848,-789.7787,-910.11255,-972.769,65.1204500000002,75.1667499999999,-657.8549,82.1505500000001,77.1450499999999,113.98745,-576.363,-569.106,-555.5477,-582.0836,-501.8186,-618.4216,NA,204,"for"
"205","000000000000000000cd_0",-838.062,-749.07526,-806.2634,-827.60925,-761.85034,-843.2069,-845.0888,-911.0973,-1115.7693,-1279.9337,-1097.4556,-813.7455,-827.70276,-833.2925,-1219.4069,-866.9007,-1122.5459,-982.40326,-834.2356,-850.48047,-1171.1538,-13.0538999999998,100.9474,-825.0417,69.1559000000001,53.6361500000001,134.4437,-732.71564,-795.3911,-765.5638,-719.7988,-783.4673,-790.10645,NA,205,"for"
"206","000000000000000000ce_0",-429.9448,-454.5146,-323.2965,-420.8135,-441.45395,-383.4745,-388.9376,-561.6438,-597.1485,-772.13477,-624.403,-535.07605,-438.9786,-556.4168,-522.75793,-509.07553,-593.3558,-562.1894,-482.47266,-617.7721,-782.3343,-17.3248500000001,77.6113999999999,-490.2536,37.4621000000001,80.77465,103.17665,-409.992,-497.1161,-444.98248,-509.8688,-458.21564,-435.4479,NA,206,"for"
"207","000000000000000000cf_0",-509.82886,-590.8429,-496.5735,-544.365,-571.14545,-534.2617,-552.8683,-725.1852,-813.6776,-945.4009,-781.1018,-798.7749,-524.1244,-731.2428,-760.13696,-695.82214,-712.6236,-625.4884,-724.6051,-667.95764,-952.91614,-26.2988999999999,81.7492,-589.5648,-20.2272,50.6711500000001,42.9512,-618.52893,-593.3458,-577.71985,-543.2446,-632.5746,-573.99976,NA,207,"for"
"208","000000000000000000d0_0",-651.0517,-695.9784,-497.9016,-542.808,-528.8294,-547.1064,-599.9251,-849.6316,-824.4164,-970.143,-868.549,-804.2266,-638.6186,-752.00305,-742.8961,-724.2195,-749.6744,-687.2043,-802.4837,-792.05676,-952.6944,35.477,116.4973,-675.4761,98.0347999999998,140.3152,79.13255,-555.5289,-611.9793,-592.23486,-620.8173,-553.24695,-645.4243,NA,208,"for"
"209","000000000000000000d1_0",-449.57175,-551.478,-531.6604,-540.3353,-582.2081,-559.1329,-546.5788,-791.6292,-812.9424,-951.3639,-880.4149,-856.6327,-509.61322,-805.32825,-654.2856,-806.12115,-862.4434,-711.69104,-670.0097,-836.7586,-984.1714,-34.0556499999999,141.0018,-583.7936,79.94465,109.9238,148.3139,-459.50946,-544.44916,-525.2438,-591.4324,-605.1115,-643.14417,NA,209,"for"
