system:index,Greenness,Greenness_1,Greenness_10,Greenness_11,Greenness_12,Greenness_13,Greenness_14,Greenness_15,Greenness_16,Greenness_17,Greenness_18,Greenness_19,Greenness_2,Greenness_20,Greenness_21,Greenness_22,Greenness_23,Greenness_24,Greenness_25,Greenness_26,Greenness_27,Greenness_28,Greenness_29,Greenness_3,Greenness_30,Greenness_31,Greenness_32,Greenness_4,Greenness_5,Greenness_6,Greenness_7,Greenness_8,Greenness_9,.geo
000000000000000000ed_0,1687.165,1950.1729,1811.0759,2178.6028,1980.6292,1763.7996,1699.3464,809.3333,1525.4336,1667.0153,629.6999,2071.506,1543.7726,1410.5974,1828.8693,1101.0256,1391.7683,1548.2557,1800.6172,1506.393,1446.389,1255.3042,2062.6875,1672.0061,2344.5352,1953.3286,2458.521,2140.7104,2141.6667,2264.6924,1897.3525,2184.1294,1891.008,
000000000000000000ee_0,1514.1593,1781.783,1441.5947,1318.8796,1675.565,1558.5337,1383.6018,1338.1536,1315.5955,1089.0637,1659.1025,1499.3093,1939.9247,1264.6974,1086.0411,1315.3636,1217.405,1418.707,1168.002,1328.411,1022.2516,1479.4833,1774.1361,1902.6812,2071.9126,1813.76,1843.705,1656.419,2074.307,1887.5927,1586.5327,1609.2186,1517.7133,
000000000000000000ef_0,1508.6326,2028.1396,1979.8179,1830.1115,1807.1987,1717.6484,1808.8228,1691.6118,1705.5283,1327.8442,1579.7578,1679.3674,1890.6754,1526.533,1811.795,1671.0675,1547.2742,1922.6364,1881.5239,1823.0879,1411.6829,2042.5275,2082.5942,2305.1768,2258.7231,1833.226,2060.333,1689.5245,1789.6805,2087.5332,2655.627,2117.6838,1798.1635,
000000000000000000f0_0,1410.3965,2411.6018,2105.0132,2099.4219,2234.2102,2209.2207,1881.105,1792.531,1437.8997,996.3884,1517.2778,1882.3416,1992.4761,1721.4932,1581.7538,1656.4485,1543.11,1798.3787,2031.6384,1778.3644,1047.3947,1987.8389,2102.2144,2261.688,2435.3523,2492.7466,2011.7831,2334.1475,1916.3462,2801.185,2213.5466,1878.6228,2072.684,
000000000000000000f1_0,1509.5083,1771.481,2038.5698,2025.1329,1510.306,1800.3953,1610.0262,1532.3104,1554.9238,1464.3132,1570.617,1602.004,2086.6333,1400.315,1436.9104,1692.3379,1444.417,1566.1052,1532.9089,1604.8024,1419.1675,1509.6025,1897.1057,1663.7598,2220.374,1935.9502,2095.169,1693.1431,1696.1549,2245.6936,1855.5826,1882.3065,1851.5771,
000000000000000000f2_0,1384.8428,1882.2993,1676.115,1841.1469,1900.4669,2053.8235,1979.2168,1671.6788,1619.6516,1298.8414,1301.1594,1732.1582,2195.1648,1577.3806,1353.9878,1747.8315,1769.5178,1517.7451,1478.042,1629.3088,1486.543,1608.273,2039.7556,1775.4443,2236.282,2017.9465,2260.6807,1642.4977,1893.4734,1869.5084,2140.1514,1950.8868,1985.3832,
000000000000000000f3_0,1410.4064,2123.883,2009.3615,1738.8898,1827.6376,1881.9978,1594.0691,1545.3652,1470.9413,1336.6259,1555.1416,1670.7671,1527.043,1557.4949,1457.4576,1640.7057,1521.5563,1888.8088,1513.8281,1682.147,1486.5426,2153.6797,2210.5413,1694.5503,2298.356,1885.2883,2195.0552,1853.0186,1716.9294,2093.6372,2189.5164,2051.8608,1801.5863,
000000000000000000f4_0,1800.8827,2011.7202,1800.1545,1754.1067,2049.2754,2155.0356,1936.0558,1833.8293,1644.6913,1653.5643,1952.5768,2198.9204,2461.5386,1783.5378,1881.1215,1911.5295,1866.4773,2001.26,2119.7002,2539.0476,2041.342,2357.5688,2378.8704,2354.1619,2839.3608,2928.6694,2743.4263,1955.6378,1950.9199,2223.6187,2376.8423,1399.339,2207.2307,
000000000000000000f5_0,1471.7383,1713.8103,1960.1199,1556.8682,1914.7642,1781.3058,1499.63,1516.2727,1691.4836,1821.7046,1504.8535,1696.251,1659.2288,1684.48,1495.816,1854.7062,1424.8398,1672.792,1790.8354,1829.7684,1869.4918,2053.3337,2342.505,1504.1173,2627.8574,2302.131,2312.678,1459.4733,1723.149,1743.1486,1929.5873,1912.2386,1793.9808,
000000000000000000f6_0,1487.8448,1661.0375,1981.0024,1601.0559,1891.2808,1852.2461,1420.09,1417.9042,1544.5463,1844.6476,1483.5111,1563.3408,1518.1982,1291.3325,1337.7737,1537.1356,1293.3328,1326.3806,1536.1702,1550.1638,1489.7784,1809.2957,2001.2861,1481.0433,2296.1182,2188.7788,2131.6868,1407.7756,1781.4479,1592.3416,1735.7456,1652.3331,1491.5966,
