"","system.index","Brightness","Brightness_1","Brightness_10","Brightness_11","Brightness_12","Brightness_13","Brightness_14","Brightness_15","Brightness_16","Brightness_17","Brightness_18","Brightness_19","Brightness_2","Brightness_20","Brightness_21","Brightness_22","Brightness_23","Brightness_24","Brightness_25","Brightness_26","Brightness_27","Brightness_28","Brightness_29","Brightness_3","Brightness_30","Brightness_31","Brightness_32","Brightness_4","Brightness_5","Brightness_6","Brightness_7","Brightness_8","Brightness_9",".geo","CID","class"
"255","000000000000000000ff_0",2684.619,2678.2583,2509.6213,2765.8765,2854.169,2641.599,2822.1658,2685.4407,2509.6287,2620.1855,2932.2393,2835.898,2744.49,2679.1565,2482.9834,2797.713,2626.1633,2556.4429,2880.6614,2714.492,2957.9631,2902.9478,3000.6287,2835.7844,2796.5498,3050.8503,3087.1594,2613.794,2960.9429,2802.4365,3128.4084,2871.2307,2769.147,NA,255,"for"
"256","00000000000000000100_0",2759.361,2654.09,2675.0164,2678.0186,2748.0103,2685.672,2677.7751,2788.3167,2563.8032,2601.5571,2819.1035,2721.1697,2820.2837,2730.6074,2619.5867,2803.6897,2654.0696,2832.7476,2880.8037,2697.416,2742.5598,2827.989,3004.2278,2805.3357,2815.7466,2814.3125,2951.3684,2855.8472,2896.7,3003.0122,2958.2546,3145.8513,2581.1653,NA,256,"for"
"257","00000000000000000000_0",932.68713,1315.2104,512.5047,703.514,1712.1024,878.6297,1674.382,825.5808,925.5762,1386.4503,1732.1782,1567.8431,941.3839,824.08246,618.9161,1142.3447,949.2187,843.5541,1096.6294,718.8125,890.3211,1453.725,2102.133,1754.6519,867.2366,1673.8887,948.29407,1147.4781,1760.6984,1409.469,1013.4476,1254.1423,1727.9075,NA,257,"ltr"
"258","00000000000000000001_0",780.5665,1507.0493,379.4376,1252.9224,665.02954,1121.4755,460.0584,1555.9043,1456.7206,1567.0199,1564.0278,1401.5902,1436.6942,1133.199,822.92957,1525.6848,1300.0775,1305.8547,1351.1207,1591.2864,1481.3834,897.3646,1695.1207,1465.9784,1528.847,1219.8947,1392.1971,1178.4847,1571.1741,1468.5355,2468.4163,1264.8844,1365.9282,NA,258,"ltr"
"259","00000000000000000002_0",2418.6345,2937.1375,2550.3413,2667.8672,2898.3022,2808.662,2913.6487,3102.2524,3095.7031,2977.8145,2883.5046,2618.3298,2930.028,2699.788,2898.4746,2971.8286,3038.805,3100.3809,2894.492,2948.059,2970.626,3103.5767,3190.6016,3021.8623,3254.1597,2969.5703,3212.2947,2594.8452,2929.6152,2604.618,3489.8147,2880.576,2934.8584,NA,259,"ltr"
"260","00000000000000000003_0",369.8341,1406.1554,279.782,1133.2196,1426.8201,847.4978,1112.7249,1052.8223,968.44116,1426.8477,1129.1084,705.9463,1724.8809,558.4097,307.35913,1117.3889,1088.3093,991.5408,906.1234,1584.5881,1117.9828,134.881,1585.2349,1505.6349,1566.7102,368.73846,1259.5007,375.7365,1856.1956,1535.0651,2200.0127,835.40204,1403.7698,NA,260,"ltr"
"261","00000000000000000004_0",2624.1233,2800.589,2710.1123,3229.003,3423.3057,3556.6914,3305.6055,3250.063,3493.895,3378.6064,3684.78,3690.3723,2581.849,3521.0393,3749.9385,3642.214,3539.7744,3393.9019,3468.4258,3392.2202,3605.752,4529.1567,3989.916,2966.1128,3636.2734,3806.214,4203.858,2677.4246,2817.7688,2720.7517,3483.9949,3080.6118,3322.1206,NA,261,"ltr"
"262","00000000000000000005_0",2739.4956,3256.726,2417.8872,2508.891,2408.691,3129.3586,2749.0764,2896.8489,3086.9207,3464.4556,3179.9775,3247.7292,3320.4795,2779.8833,2246.3071,2966.9375,2773.1536,2687.9673,2991.7942,2855.502,3514.5889,1986.6119,3888.71,3319.4126,2839.1367,3727.7778,3576.9023,2626.473,3359.6335,3762.5415,3489.8418,2320.0793,3799.0884,NA,262,"ltr"
"263","00000000000000000006_0",1856.2275,1980.0027,940.2809,1465.4858,2245.1892,1796.3142,1591.665,1427.8782,1750.5419,2089.9568,1785.3726,1345.4912,1686.0613,1493.4412,1235.1553,1790.9167,1781.8756,1389.0146,1814.5039,1379.1262,1691.1096,1880.3417,2245.7844,2138.481,1400.56,2466.2812,1822.9705,2090.5793,2422.2788,1774.7751,1704.675,908.5278,2238.6045,NA,263,"ltr"
"264","00000000000000000007_0",2355.8904,2257.0967,2232.2786,2653.4556,2483.5525,2532.968,2500.0916,2511.7803,2706.0435,2759.3445,2688.2437,2355.789,2024.8938,2756.6284,2748.122,3004.6184,2547.7463,2556.7202,2588.8115,2513.9763,2629.3296,3029.0786,2916.3337,2187.93,2717.59,2727.2861,2826.858,2298.436,2134.1396,2842.8528,2966.2007,2544.8738,2300.3293,NA,264,"ltr"
