system:index,SAVI,SAVI_1,SAVI_10,SAVI_11,SAVI_12,SAVI_13,SAVI_14,SAVI_15,SAVI_16,SAVI_17,SAVI_18,SAVI_19,SAVI_2,SAVI_20,SAVI_21,SAVI_22,SAVI_23,SAVI_24,SAVI_25,SAVI_26,SAVI_27,SAVI_28,SAVI_29,SAVI_3,SAVI_30,SAVI_31,SAVI_32,SAVI_4,SAVI_5,SAVI_6,SAVI_7,SAVI_8,SAVI_9,.geo
00000000000000000031_0,0.9188801939821449,0.9218246566050534,0.9084807462601672,0.9405421747455406,0.9066319194823867,0.8529126885291269,0.9497423289678976,0.9293445580276608,1.0125618576322801,1.1706843552823167,0.9932675747612338,0.944752255817635,0.9265673871434573,0.9648696778371378,0.997469028906354,0.9686298132616654,0.9730598253976755,0.9494782015019995,0.9811280633671788,0.9559134537172604,0.9899961687454769,0.8997893144616714,1.0068301769636758,0.9652219200277762,1.0495838181329993,1.0168597434836575,0.9822185464695545,0.9475403345540929,0.9393542985715033,0.9182767997710033,0.8492861507694017,0.8875313998629825,0.887973137973138,
00000000000000000032_0,0.9671502417875605,0.9581899169872444,0.8476282906708722,0.8698590359537511,0.8857126905253755,0.8466658133879431,0.9104840671369496,0.9275323988362867,0.9130221665486629,0.9919748778785764,0.9714059674502712,0.8931441093603255,0.9027707297269867,1.0098682817330904,0.9736842105263158,0.9209086584205519,0.8931730827893357,0.8879041682898324,0.8557600382409178,0.9240885277451085,0.8995861253448956,0.9560758513931888,0.9578636890340251,0.9706630490079702,1.0395586652314317,0.9305713091755716,0.9438516523360613,0.9405980218398033,0.8804593701061424,0.8816144708423327,0.8548747500882042,0.8426628010704728,0.9020148716718637,
00000000000000000033_0,0.7925576899842938,0.8221765554632504,0.9514635050018525,0.9648833162286377,0.9366861672013587,0.9241762604208019,0.9552323691907701,0.9540293547493769,0.9324616493359416,0.9186237477418295,1.060829864374916,0.9624851915229696,0.891492141081286,1.0401259520871453,0.9330930562478433,1.0414297983722547,0.9946295328168813,0.9797356061923813,0.9624461926673593,0.9745303893413682,0.9180180584879386,0.9291707144749624,1.001784158333679,0.9417677355042365,1.0237791745417784,0.9723652126794907,1.0579943118585384,0.9596243377749237,0.94605619305402,0.9456675577921057,0.9142268531357711,0.9858999405419179,0.9364881693648817,
00000000000000000034_0,0.9773245090593468,0.9457255343082114,0.9232136684608168,0.9849787959256471,0.8895525410002025,0.8569026399865478,1.0048661800486618,0.9912271753544832,0.9719017758843521,0.9311302415995556,0.9521783279338523,0.8995629332038321,0.9070320761367642,0.9829085716758255,0.9281467023739276,0.9791922822283173,0.9563555601466867,0.943899462049636,0.92919067363093,0.9451739672194001,0.924043688594085,0.9764818559114611,0.9126517490799881,0.9217705334049094,0.9946486465372446,1.0181781045751634,1.0192541468962002,0.9170737664875428,0.9077028064488613,0.8768829266059247,0.8631284916201117,0.8755093992375445,1.007347810024219,
00000000000000000035_0,0.9394295380856162,0.8953798502968253,0.9257840215694622,1.0527157187962113,0.9237785699308031,0.9001835236541599,0.9563047248424348,0.9824108439567533,0.977972387292793,1.2124573378839592,0.9754423281446388,0.921970251158254,0.85551280350272,0.9230247157966178,0.9305143499578402,0.9776694045174538,0.9282815770364359,0.9677175601360144,0.9898686983303615,0.9593997889883162,0.9925487786142265,1.0635655858874544,1.040587928075804,0.8894360308464183,1.041092943201377,0.985085787877529,1.051277365593363,0.9045704927795147,0.9458507803578227,0.9149451342022564,0.8514425147122148,0.8761415263182049,0.9069934421521229,
00000000000000000036_0,0.6700398650720638,1.0515390121689334,0.9395804321459055,1.0898417116020176,0.8965412621359224,0.9293831168831168,0.9026708528665434,0.9358200233735878,0.9893043762246897,0.9039755994951619,0.945913096323306,0.9799234072182894,0.9422377120598637,0.9910981597541015,0.9606040959536248,1.0284140584018184,0.9055590650663298,1.0064418340280408,1.010035302050692,1.0153375654510912,0.9622214776344445,0.9443118536197295,1.015959831435488,1.0224164985429276,1.0721608519430978,1.0029775538250114,1.023587045268983,0.9366679109120319,1.0023709167544783,1.0453599368405941,0.9146060304687853,0.9031175579129682,0.9608182080092192,
00000000000000000037_0,1.00287858052947,1.029028757460662,0.9054556120453657,1.0676710929519917,0.8596215311247527,0.9275548029838451,0.9197504847003288,0.9214464452185859,0.9632127220572695,0.9494968146985504,0.9529792321035113,0.9226549187481817,0.9510641449804947,1.0157138986724465,1.0036691569780294,1.0237430767249152,0.9859012307212962,1.0321280080635,0.9541972799749883,1.0185851572753057,0.9522338097077379,0.9637264443068212,1.0448900822285618,0.9914205395932971,1.020987809475933,1.0294394724446538,1.051513671875,0.9957228400342173,0.849958335375717,1.0573042138936062,0.8096935825785315,0.8201364600653632,0.9149084812072098,
00000000000000000038_0,0.11686314710404921,-0.11985416983138386,-0.18600682593856654,-0.23027201723673577,-0.052462838822500725,-0.18086283185840707,-0.27704363859864783,-0.03807354376830459,-0.16175984121733375,-0.3405321354526607,-0.09903937220944391,-0.17463813719320326,0.08043117744610281,-0.20392953929539295,0.8848704038577456,-0.07094062007356805,-0.20229265003371547,-0.12340166429876193,-0.19339984650805833,-0.03928393833913476,-0.039116262223831945,-0.27502214348981396,-0.12268080272624005,0.42072164138039464,-0.052601809954751125,0.18361101666099963,0.06927339901477832,-0.30619345859429364,-0.036988110964332896,-0.1521463502988589,0.09987966305655836,0.026941362916006337,0.1288505544798451,
00000000000000000039_0,0.05912543625538903,0.07527086105303174,-0.08039936941671046,0.07148483654982275,-0.23684210526315785,-0.22789052318004094,-0.24793770719296893,0.04296928797686269,-0.20633657060977548,-0.35215413433235215,-0.12499999999999999,-0.26699226699226697,0.11309523809523808,-0.24947589098532494,-0.25710459753012943,-0.1357499087702226,-0.20296838858905167,-0.12340166429876193,-0.2754013576123262,-0.42053789731051344,-0.04106628242074927,-0.2300215982721382,-0.1378782075833014,-0.21355728854229153,-0.059897318881916704,0.11928429423459243,-0.027431421446384042,-0.45653069633292126,-0.13381995133819952,-0.10830704521556257,0.24748715657806566,0.031193761247750446,0.17256637168141592,
0000000000000000003a_0,0.11686314710404921,0.9280823491567483,-0.07913479293062516,-0.19574036511156184,-0.03359328134373125,-0.315712187958884,-0.25855397921250284,-0.26349362119725217,-0.13917525773195874,-0.32695682695682693,-0.12567011594564267,-0.04430379746835443,0.1134656652360515,-0.13042269187986652,-0.25281361515234696,-0.17284654877353106,-0.11056146425921345,-0.14155407722378438,-0.1714125665203996,-0.09282781014229778,0.03677221654749744,-0.21685201026518391,-0.14469078179696615,-0.2455391776570985,-0.07938092860708935,0.09012016021361816,-0.054878048780487805,-0.304077401520387,-0.008951883625512866,-0.12288214485198286,0.05301167793484942,0.025256511444356745,-0.21070931849791374,
