system:index,NDVI,NDVI_1,NDVI_10,NDVI_11,NDVI_12,NDVI_13,NDVI_14,NDVI_15,NDVI_16,NDVI_17,NDVI_18,NDVI_19,NDVI_2,NDVI_20,NDVI_21,NDVI_22,NDVI_23,NDVI_24,NDVI_25,NDVI_26,NDVI_27,NDVI_28,NDVI_29,NDVI_3,NDVI_30,NDVI_31,NDVI_32,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,.geo
000000000000000000cf_0,0.76408255,0.75331247,0.7315998,0.7649154,0.7624621,0.7646169,0.77501196,0.91921526,0.7133106,0.8389359,0.84682715,0.8344313,0.6969039,0.812901,0.8404853,0.8763549,0.83708423,0.79653883,0.78342193,0.8287554,0.88240826,0.7421452,0.8529661,0.74500144,0.8438959,0.8543219,0.8721144,0.698324,0.7808674,0.77402645,0.5839416,0.6744931,0.7166357,
000000000000000000d0_0,0.8001885,0.7668406,0.810625,0.7529924,0.73682624,0.7815534,0.8053862,0.8873403,0.7420242,0.82592124,0.847119,0.7649044,0.7429719,0.7913593,0.76900864,0.77542144,0.83248025,0.7979569,0.84615386,0.84665275,0.834386,0.5907033,0.8804907,0.84136724,0.8467417,0.85674804,0.8434134,0.83515525,0.75469834,0.81517,0.6868147,0.7421927,0.78406847,
000000000000000000d1_0,0.89033353,0.8671084,0.7831275,0.806368,0.75272727,0.71009535,0.7870209,0.9431694,0.88385504,0.82830864,0.7445946,0.7732987,0.8202824,0.77872545,0.8211063,0.8014069,0.7321625,0.7952636,0.7939308,0.9021824,0.8120185,0.68156135,0.81935793,0.8643919,0.8608899,0.84094054,0.860164,0.8261527,0.6462699,0.771873,0.5708455,0.5493139,0.79512405,
000000000000000000d2_0,0.8734661,0.8538023,0.8123206,0.7701605,0.72188634,0.64033943,0.6840269,0.98842496,0.8880531,0.79084617,0.74281806,0.7516779,0.71212834,0.7802301,0.7805336,0.7711754,0.6495727,0.7083452,0.72526956,0.8828938,0.77641964,0.6752978,0.8184404,0.82292557,0.8691676,0.8278568,0.8608771,0.7275052,0.6444257,0.76569676,0.59582645,0.55177885,0.79353446,
000000000000000000d3_0,0.72194064,0.77197653,0.78186274,0.8726621,0.7546951,0.7649638,0.8065157,0.8349861,0.8356413,0.8602983,0.83053464,0.82877725,0.77116895,0.8187121,0.8175578,0.8182207,0.7992311,0.81002176,0.7648407,0.82350826,0.8318107,0.83493954,0.82939833,0.7680664,0.86150855,0.87004894,0.8503688,0.7607422,0.80920076,0.69961685,0.74008906,0.75296706,0.7694887,
000000000000000000d4_0,0.7113019,0.7982823,0.737884,0.7777778,0.7671845,0.80472314,0.791576,0.8145879,0.8294204,0.8436975,0.8210042,0.79241365,0.75646216,0.82672936,0.7775459,0.84376365,0.81806165,0.8061447,0.8171149,0.8110777,0.85924506,0.86585367,0.8415773,0.7868217,0.8576475,0.8585679,0.8605007,0.81268334,0.7448223,0.76740086,0.73454136,0.7549407,0.8031466,
000000000000000000d5_0,0.79344344,0.8280523,0.85864824,0.8403328,0.81686646,0.7755511,0.798665,0.7687276,0.8164378,0.7509418,0.70183486,0.8290698,0.7930241,0.78928506,0.7575873,0.754717,0.6543152,0.7163839,0.6193837,0.44763237,0.8296888,0.7588726,0.84743917,0.82491744,0.7494719,0.81044716,0.82964784,0.833407,0.843488,0.7994822,0.7920416,0.7875563,0.8226385,
000000000000000000d6_0,0.7316597,0.78606075,0.84992665,0.86097944,0.8315351,0.7407407,0.77747625,0.75697863,0.5560772,0.67565095,0.6931494,0.7918074,0.7607775,0.6932325,0.7275204,0.6416739,0.74926686,0.7280081,0.71766,0.73224044,0.7983349,0.88426095,0.8194525,0.7665615,0.82332957,0.8784,0.8117444,0.7424844,0.8045078,0.79151857,0.7965748,0.75532717,0.7891674,
000000000000000000d7_0,0.7013575,0.7475512,0.7574078,0.90147096,0.79043746,0.8091603,0.8012548,0.8141669,0.8220339,0.76995796,0.7999601,0.7891708,0.77247363,0.80205655,0.80959636,0.80637133,0.8126048,0.84544456,0.8336484,0.8062174,0.7948332,0.8719674,0.8669575,0.79994607,0.8763281,0.8993048,0.88270676,0.78636825,0.8119016,0.84968597,0.6763375,0.70620346,0.71676755,
000000000000000000d8_0,0.8759871,0.8104575,0.80218816,0.7727728,0.68277633,0.7164103,0.7859811,0.8073042,0.8056861,0.79926294,0.75664264,0.76879185,0.77536887,0.8077002,0.84314543,0.8476275,0.8129185,0.8500859,0.7865198,0.8365742,0.81248504,0.82788944,0.8656507,0.83665115,0.8744633,0.8623016,0.8752286,0.65491253,0.85859424,0.80274093,0.66566867,0.7199367,0.74072313,
000000000000000000d9_0,0.76644737,0.82102334,0.79033864,0.84371006,0.79261625,0.79424113,0.8205291,0.82234955,0.8388495,0.860855,0.8237822,0.7815585,0.7621483,0.8524629,0.8267684,0.78403753,0.83849764,0.7936013,0.82393056,0.84372437,0.8481797,0.84415585,0.8798133,0.8268822,0.87358916,0.7789098,0.84733456,0.84871155,0.8332689,0.7779511,0.7496665,0.8212314,0.81780845,
000000000000000000da_0,0.75787926,0.7510938,0.7605634,0.76386976,0.7800793,0.8169613,0.81845623,0.79139286,0.77565515,0.83377194,0.85780525,0.7575,0.7286727,0.79713225,0.77192277,0.76110566,0.7319705,0.79911757,0.78488374,0.73115647,0.7876106,0.718986,0.8405879,0.76467437,0.8572973,0.7741273,0.7988107,0.76181674,0.7343785,0.7559286,0.785296,0.7505588,0.7551996,
000000000000000000db_0,0.7319804,0.786911,0.75654507,0.78201056,0.79235995,0.7765338,0.78854847,0.82422453,0.7713343,0.83557826,0.8458161,0.7905325,0.74126434,0.79924446,0.7969705,0.8168382,0.7493485,0.7970784,0.7852199,0.8017529,0.79470336,0.69260514,0.78995436,0.77906394,0.8761905,0.8677579,0.8107143,0.8150971,0.75353074,0.731373,0.6899773,0.7742652,0.7450772,
000000000000000000dc_0,0.68423563,0.79447365,0.7580645,0.85041165,0.69336504,0.75560975,0.71447283,0.78312737,0.85006464,0.8230298,1.1604106,0.73992306,0.7553414,0.74448794,0.7798085,0.7871184,0.757626,0.79994065,0.84897023,0.8334318,0.8564989,0.7910619,0.8781279,0.7790602,0.8784924,0.8468392,0.87230045,0.75687975,0.7958388,0.8015717,0.6910755,0.7207991,0.78945094,
