"","system.index","Greenness","Greenness_1","Greenness_10","Greenness_11","Greenness_12","Greenness_13","Greenness_14","Greenness_15","Greenness_16","Greenness_17","Greenness_18","Greenness_19","Greenness_2","Greenness_20","Greenness_21","Greenness_22","Greenness_23","Greenness_24","Greenness_25","Greenness_26","Greenness_27","Greenness_28","Greenness_29","Greenness_3","Greenness_30","Greenness_31","Greenness_32","Greenness_4","Greenness_5","Greenness_6","Greenness_7","Greenness_8","Greenness_9",".geo","CID","class"
"84","00000000000000000053_0",1547.8425,1655.2126,1638.5908,1604.793,1690.1183,1563.4749,1619.8472,1606.5671,1564.3401,1302.2556,1561.8574,1596.2576,1740.659,1593.2012,1561.9294,1610.0027,1525.062,1615.0286,1772.9973,1640.8728,1439.4152,1687.5592,1818.7566,1817.4253,1890.1462,1914.5996,1944.6074,1577.1041,1830.73,1546.9764,1731.5514,1719.1233,1691.7305,NA,84,"for"
"85","00000000000000000054_0",2057.1426,2110.5825,2050.2585,1954.0659,2061.3103,1840.1366,1898.6884,1773.7969,1698.9382,1628.215,1776.9253,1937.3896,2132.588,1883.5281,1973.1194,1830.6863,1719.2368,1900.6389,1907.3337,1947.2936,1677.735,2147.962,2326.2915,2153.8894,2486.0176,2429.5552,2483.9033,2281.7153,2119.1062,1981.1274,1895.0986,1968.5629,1998.6306,NA,85,"for"
"86","00000000000000000055_0",1699.8494,1742.2533,1620.4337,1588.9082,1619.9318,1611.6621,1481.6676,1455.4556,1357.2734,1362.5315,1419.487,1483.9248,1817.9706,1433.1708,1569.3116,1589.2365,1451.9758,1637.7356,1591.5769,1488.134,1462.1543,1701.9404,1940.4546,1846.202,1890.5891,1901.7456,1966.1616,1776.4923,1928.583,1607.0143,1745.7611,1569.6854,1565.2148,NA,86,"for"
"87","00000000000000000056_0",1783.8008,1957.7241,1927.2687,2016.3536,2043.4282,1957.5996,1816.9247,1805.5312,1707.8533,1544.0636,1807.6823,1768.2402,1935.2008,1749.7788,1833.0356,1847.8492,1691.5961,1935.472,1897.2202,1939.8022,1604.39,1937.6439,2131.2495,2051.674,2143.2822,2150.3555,2277.6848,1944.4988,2173.9248,1967.5337,1964.3389,1879.947,1942.7351,NA,87,"for"
"88","00000000000000000057_0",1949.6874,1941.6252,2114.7197,2007.2137,1965.8193,1813.6307,1751.8862,1599.4275,1604.0677,1472.4545,1647.4113,1766.8708,1928.6923,1674.9731,1663.3262,1625.5826,1568.2126,1831.658,1859.7463,1728.6519,1639.0535,2008.2999,2129.9502,1944.6526,2096.1592,2068.0042,2168.145,1999.7026,1880.4556,1829.1418,1811.7083,1740.1714,1834.7448,NA,88,"for"
"89","00000000000000000058_0",1311.4294,1153.0845,922.1701,1016.1132,1184.7412,1047.2141,1076.5674,1185.2089,1094.7156,1079.2882,1121.5857,1205.834,1150.8016,1150.7483,1181.1996,1251.4763,1150.8904,1296.1906,1237.0906,1158.5138,975.9558,1219.6404,1502.6534,1434.662,1432.5208,1406.3239,1363.9939,1213.7748,1296.7539,1144.6888,1355.1515,1266.7352,1160.2593,NA,89,"for"
"90","00000000000000000059_0",1755.0564,1736.6235,1860.0684,1812.9126,1858.477,1724.9932,1661.4888,1626.5955,1494.9175,1482.8782,1453.7794,1640.6829,1674.2483,1589.0323,1743.0627,1676.9386,1480.8518,1780.864,1749.5239,1736.2185,1516.7303,1961.5862,2110.5444,1754.22,2006.6768,2118.5085,2107.8296,1879.0853,1863.347,1771.5863,1743.3167,1853.9133,1932.1853,NA,90,"for"
"91","0000000000000000005a_0",1408.3171,1764.7228,1599.0044,1508.6707,1669.8544,1527.7382,1569.5106,1323.346,1268.3528,1169.6189,1411.9415,1459.1924,1871.7681,1398.4182,1389.4998,1291.644,1300.915,1563.9268,1545.1484,1518.2764,1328.4928,1735.9585,1819.6163,1822.4932,1847.2683,1882.4435,1871.7466,1595.239,1644.2992,1535.557,1622.6719,1581.0205,1558.7197,NA,91,"for"
"92","0000000000000000005b_0",1908.1868,1820.5886,1850.1466,1700.6931,1870.3499,1599.741,1530.8049,1614.8247,1534.9984,1446.011,1425.7476,1622.812,1953.8955,1625.187,1697.9775,1701.9489,1587.4618,1741.5784,1721.3948,1625.7305,1453.4888,1721.8198,1892.4689,1967.7035,1950.0474,1785.635,1891.532,1729.9517,2150.2192,1692.414,1869.4482,1677.6661,1814.3799,NA,92,"for"
"93","0000000000000000005c_0",2396.2734,2313.1658,2341.1624,2414.1438,2308.627,2310.7515,2160.158,1838.1357,1951.6823,1753.1707,1930.6642,2062.917,2363.4727,2154.2048,1996.8961,1954.572,1893.2537,2168.5957,2107.8442,2208.9214,1803.8885,2328.0884,2398.0312,2115.5942,2341.9385,2328.5874,2342.2432,2412.4126,2400.8528,2357.026,1916.7145,2034.5371,2165.312,NA,93,"for"
