"","system.index","NDMI","NDMI_1","NDMI_10","NDMI_11","NDMI_12","NDMI_13","NDMI_14","NDMI_15","NDMI_16","NDMI_17","NDMI_18","NDMI_19","NDMI_2","NDMI_20","NDMI_21","NDMI_22","NDMI_23","NDMI_24","NDMI_25","NDMI_26","NDMI_27","NDMI_28","NDMI_29","NDMI_3","NDMI_30","NDMI_31","NDMI_32","NDMI_4","NDMI_5","NDMI_6","NDMI_7","NDMI_8","NDMI_9",".geo","CID","class"
"371","00000000000000000079_0",0.49024245,0.48575857,1.0257732,0.8301887,0.8847262,0.74285716,0.8830898,0.85333335,0.7096774,0.8920863,0.7972603,1.0855263,0.50240153,1.020979,1.052174,1.0542636,1.0425532,1,0.88642657,0.82239383,0.89242053,0.23541248,0.49433962,0.917193,0.4853801,0.8114478,0.53571427,0.80508476,0.66159695,0.66129035,0.61329305,0.37518248,0.92897195,NA,371,"ltr"
"372","0000000000000000007a_0",0.375119,0.41394827,0.22263774,0.37031332,0.30508474,0.09021986,0.19845316,0.3341767,0.11144398,0.22556017,0.19164541,0.31719875,0.3885226,0.44337487,0.13692805,0.23990498,0.33936024,0.37595025,0.37386018,0.40826246,0.31286496,0.2882263,0.3919703,0.06493109,0.24327628,0.46896416,0.37028345,0.30935448,0.27609178,0.3583461,0.29457715,0.23671497,0.2651909,NA,372,"ltr"
"373","0000000000000000007b_0",0.18860897,0.16369456,0.23068921,0.21514907,0.20869373,0.3148148,0.16542056,0.16748454,0.17117944,0.19501133,0.20429645,0.30242825,0.14937238,0.1824722,0.21661367,0.22011605,0.2841191,0.22420862,0.21491061,0.18058836,0.21203007,0.17358203,0.2900041,0.2354788,0.2679376,0.33959365,0.29433897,0.21705426,0.25793734,0.24406138,0.16673099,0.16873449,0.21062224,NA,373,"ltr"
"374","0000000000000000007c_0",0.6475216,0.487042,1.0327332,0.84750736,0.7252525,0.9092383,0.96109635,1.0526316,0.95780593,0.7752809,0.89403975,1.1212121,0.42787287,0.962963,1.0584795,0.8727273,1.0497925,1.3938224,0.9354839,0.83384615,0.8637993,0.3392857,0.79141104,0.526527,0.50344825,0.8064516,0.5555556,0.38308227,0.76687115,0.7593985,0.71898353,0.42943853,0.8363274,NA,374,"ltr"
"375","0000000000000000007d_0",0.31564245,0.21039659,0.30987898,0.34061626,0.1943566,0.13913664,0.30485722,0.15665914,0.16777672,0.25207868,0.16976456,0.26389584,0.19016817,0.2771528,0.32890624,0.25578487,0.3224769,0.2937666,0.40088105,0.31806847,0.25750202,0.26036304,0.36043748,0.23367131,0.26875,0.35137287,0.30400696,0.3018711,0.22465126,0.23135939,0.12921223,0.28627452,0.35225686,NA,375,"ltr"
"376","0000000000000000007e_0",0.39598998,0.27756655,0.43527055,0.4248513,0.37044892,0.14065972,0.429426,0.24837273,0.14863221,0.3089223,0.32371852,0.35813367,0.4207344,0.303127,0.2615697,0.3665713,0.35774928,0.31512606,0.262121,0.4290138,0.36857915,0.21674277,0.41389096,0.39014152,0.3069997,0.4249402,0.28902543,0.38974276,0.378008,0.4049726,0.33182216,0.38292012,0.41039053,NA,376,"ltr"
"377","0000000000000000007f_0",0.24233577,0.27074236,0.2809978,0.3173558,0.18457301,0.39130434,0.3524763,0.37186262,0.38358104,0.45989847,0.3945709,0.38646376,0.30377755,0.4485233,0.32299465,0.328,0.3426222,0.36270338,0.40771124,0.33222482,0.23665158,0.2627093,0.3316362,0.32360372,0.23281807,0.26724932,0.2654757,0.29461664,0.28660652,0.30653504,0.21948174,0.29141647,0.30591083,NA,377,"ltr"
"378","00000000000000000080_0",0.107361965,0.6216681,0.88907015,0.52205396,0.43005565,0.45345858,0.733871,0.9191176,0.6533333,0.886121,0.75535166,0.7389474,0.5005319,0.7850877,0.76303315,0.73125,0.66004413,0.5444685,0.71511626,0.8639456,0.7605178,0.18877551,0.38116592,0.7514451,0.4065934,0.65217394,0.504644,0.5746421,0.5186846,0.7105263,0.5763962,0.6463022,0.66126126,NA,378,"ltr"
"379","00000000000000000081_0",0.4624085,0.48618218,0.6526749,0.79375845,0.53588516,0.6457327,0.6403873,1.6666666,0.7647059,0.58,1.2709163,0.9219858,0.78220856,1.0721312,0.89215684,0.8192771,0.934375,0.7214485,0.8927445,0.9,0.6744186,0.5513748,0.5410117,0.7327731,0.5977654,0.6956522,0.62211984,0.91477275,0.82608694,0.58711565,0.33480826,0.35283992,0.8673139,NA,379,"ltr"
"380","00000000000000000082_0",0.3860603,0.22083414,0.30342448,0.38118705,0.3234579,0.28486294,0.23425598,0.31133673,0.23747914,0.24240619,0.2480284,0.21735986,0.082666665,0.28448093,0.23579203,0.30551052,0.26588157,0.36987245,0.23257767,0.38558432,0.29745778,0.26039734,0.24365711,0.18566655,0.31451744,0.3167121,0.32247558,0.21901092,0.33097056,0.39280063,0.23815848,0.35235158,0.29428223,NA,380,"ltr"
"381","00000000000000000083_0",0.45669958,0.07654563,0.28698224,0.40546784,0.35368612,0.1357397,0.29375178,0.28603604,0.20171674,0.235448,0.3127109,0.40376267,0.14148681,0.2770781,0.21963936,0.3080023,0.26717007,0.26824874,0.2487331,0.39498946,0.31654677,0.22016807,0.20435153,0.2116095,0.2359362,0.23991832,0.3166544,0.23545706,0.32747737,0.33333334,0.27886477,0.3831075,0.41694352,NA,381,"ltr"
"382","00000000000000000084_0",0.5278196,0.5844636,0.7033986,0.651865,0.51663077,0.65,0.7064083,0.7866667,0.6759494,0.62096775,0.7894737,0.8024357,0.5126484,0.9050132,1.060606,0.87113404,0.83707863,0.84070796,0.84097505,0.8113208,0.6542751,0.55035126,0.61204016,0.6843157,0.52747256,0.641196,0.6956522,0.70542634,0.5294118,0.6174734,0.68651277,0.4560811,0.63438255,NA,382,"ltr"
"383","00000000000000000085_0",0.39774647,0.4038975,0.4030612,0.40916556,0.4065448,0.2845196,0.25388026,0.27240375,0.3525515,0.3079684,0.23802766,0.22899449,0.46718445,0.28310046,0.38250485,0.20386876,0.23590569,0.31006312,0.31821027,0.30608273,0.2671573,0.2808107,0.2325416,0.43125904,0.26142597,0.32999557,0.20541382,0.43496,0.37967432,0.404824,0.3738268,0.4077481,0.33818012,NA,383,"ltr"
"384","00000000000000000086_0",0.2142667,0.28072625,0.1011052,0.1423591,0.21168754,0.32269505,0.20168954,0.23726825,0.20709759,0.21710329,0.28819042,0.26349342,0.2685567,0.23145948,0.14513981,0.25981972,0.08183633,0.19103448,0.307707,0.2076092,0.27785295,0.15644445,0.25387365,0.1856988,0.18537375,0.2544601,0.18372379,0.29120246,0.1912114,0.2581705,0.03492993,0.06255044,0.10731285,NA,384,"ltr"
"385","00000000000000000087_0",0.3837116,0.29488054,0.35855263,0.34476843,0.28410688,0.105802044,0.26275182,0.22888714,0.33443984,0.38386706,0.25390303,0.33704528,0.30361393,0.2610385,0.12318501,0.29757243,0.35062376,0.22690763,0.22773363,0.34470376,0.19161244,0.09951413,0.23047619,0.22446458,0.14919257,0.21707137,0.24756852,0.2919234,0.24737,0.3251073,0.13279569,0.161,0.41377208,NA,385,"ltr"
"386","00000000000000000088_0",0.81433225,0.8360071,0.83495146,0.5075161,0.37114674,0.3631778,0.43482026,0.41033044,0.5147208,0.5243902,0.92771083,0.7446808,0.83651227,0.92201835,1.060606,0.8346154,0.68245494,0.55746776,0.58735734,0.4462006,0.5653944,0.30932897,0.54741526,0.58752996,0.43518817,0.6575875,0.4368231,0.4510032,0.37953302,0.4884354,0.31145388,0.4278788,0.49470252,NA,386,"ltr"
"387","00000000000000000089_0",0.38088104,0.4234575,0.34800592,0.48175767,0.36121672,0.27269715,0.36921296,0.30575308,0.23978494,0.30372185,0.301799,0.21831656,0.510989,0.336673,0.24333474,0.15157354,0.17276928,0.24612476,0.22858067,0.3124812,0.1784712,0.10475914,0.43717185,0.41326436,0.19893664,0.3093267,0.26603228,0.42087078,0.25015953,0.24275577,0.30145934,0.3332331,0.42106274,NA,387,"ltr"
"388","0000000000000000008a_0",0.7982301,0.93609023,0.4994206,0.44872785,0.5754923,0.38360038,0.62383974,0.45180723,0.3800514,0.6761905,0.77861166,0.9388235,0.4698795,0.86519945,0.7860577,0.61263734,0.46842366,0.75739646,0.40260655,0.3199408,0.31723425,0.44198665,0.43333334,0.50994885,0.46178058,0.4778481,0.35276854,0.4723032,0.4352475,0.43326733,0.43817863,0.4105216,0.4815895,NA,388,"ltr"
"389","0000000000000000008b_0",0.37471986,0.29034925,0.2728328,0.25756848,0.2993663,0.19412942,0.30320057,0.26757175,0.26808983,0.34652823,0.41115123,0.29834878,0.37051183,0.33842117,0.23945226,0.33260235,0.34403807,0.19994019,0.25797307,0.48962855,0.23496994,0.33145574,0.30023566,0.41093403,0.33488983,0.31798345,0.29438293,0.37438905,0.3091692,0.3694687,0.30442294,0.32677326,0.3301765,NA,389,"ltr"
"390","0000000000000000008c_0",0.40384614,0.4244495,0.425421,0.39636633,0.3140073,0.33788395,0.30099228,0.24071246,0.28539526,0.23122433,0.3039467,0.28090283,0.4908589,0.48510972,0.3635936,0.3550071,0.3073348,0.4997973,0.27246124,0.42437592,0.32015604,0.1852405,0.47408828,0.3496802,0.34121928,0.35011074,0.39782774,0.42586452,0.3370508,0.35992265,0.3050389,0.44058296,0.4401532,NA,390,"ltr"
"391","0000000000000000008d_0",0.39927274,0.4124243,0.34629834,0.34944,0.26724976,0.31008065,0.35401785,0.29187864,0.32394367,0.31083483,0.38839075,0.42878392,0.4128298,0.38662964,0.34726286,0.38323194,0.39341205,0.4254777,0.38290295,0.35067874,0.3125,0.3668625,0.3995934,0.40475652,0.35765526,0.4052253,0.37486193,0.37577707,0.26887363,0.17009884,0.1779554,0.3493769,0.3369863,NA,391,"ltr"
"392","0000000000000000008e_0",0.21686545,0.24335195,0.1176699,0.17489375,0.097855225,0.12225064,0.20453829,0.21268515,0.17255032,0.15815164,0.20978782,0.18149245,0.27033147,0.23945862,0.25336596,0.1109867,0.22155689,0.28434142,0.2908042,0.17170112,0.43909532,0.48784488,0.48757815,0.14841777,0.41275796,0.43802217,0.34195065,0.30422994,0.2091127,0.12248111,0.21559322,0.25119737,0.18398392,NA,392,"ltr"
"393","0000000000000000008f_0",0.40441358,0.26353198,0.37543055,0.41218755,0.34118557,0.34567484,0.32516494,0.3450096,0.3260939,0.39175257,0.34606907,0.38337606,0.3711096,0.31757754,0.4207715,0.36290532,0.35683328,0.36624205,0.40099457,0.40536317,0.35608578,0.4244914,0.40328416,0.35654053,0.38388214,0.38986725,0.42222223,0.29433572,0.20488857,0.3011681,0.25785124,0.38894278,0.38687202,NA,393,"ltr"
"394","00000000000000000090_0",0.2610574,0.3005324,0.19574556,0.30485076,0.32104155,0.2726603,0.3175749,0.3060089,0.21093176,0.34730956,0.24601837,0.31747302,0.30066124,0.313556,0.48088065,0.3745624,0.34026948,0.29603422,0.3110561,0.36168203,0.33824757,0.31420255,0.33909753,0.25903615,0.43507615,0.44941264,0.5197763,0.27071416,0.3065345,0.32202643,0.26450512,0.29216337,0.34393018,NA,394,"ltr"
"395","00000000000000000091_0",0.2315126,0.21482663,0.008864084,0.2621324,0.2566895,0.10308678,0.07964034,0.111473806,0.09234018,0.12650798,0.15409139,0.18299712,0.33797517,0.2729649,0.29867524,0.09388971,0.34322557,0.20996316,0.29397294,0.20898503,0.115819715,0.14492525,0.1909712,0.3140727,0.22318561,0.31253144,0.276651,0.25558147,0.21366532,0.24369748,0.23523809,0.18765022,0.2304578,NA,395,"ltr"
