"","system.index","SAVI","SAVI_1","SAVI_10","SAVI_11","SAVI_12","SAVI_13","SAVI_14","SAVI_15","SAVI_16","SAVI_17","SAVI_18","SAVI_19","SAVI_2","SAVI_20","SAVI_21","SAVI_22","SAVI_23","SAVI_24","SAVI_25","SAVI_26","SAVI_27","SAVI_28","SAVI_29","SAVI_3","SAVI_30","SAVI_31","SAVI_32","SAVI_4","SAVI_5","SAVI_6","SAVI_7","SAVI_8","SAVI_9",".geo","CID","class"
"153","00000000000000000098_0",1.03362255965293,1.01576921048468,1.03754723881507,1.02223922190044,1.04740963209267,0.975999039961599,1.04895821473301,1.04350931492173,1.06205416324727,1.04750907291323,1.07541914696084,1.05915870621753,1.00792294547149,1.06111592230607,1.07328426066248,1.06556312885427,1.03748621830209,1.0640457240532,1.08025690564461,1.07159227327295,1.04760126936718,1.05892274822894,1.06973013776184,1.01572528883184,1.07313219100291,1.07607259918791,1.06617124747282,1.03401360544218,1.02495378927911,0.991979375537095,0.883674311656152,0.944020829458806,0.994377594451159,NA,153,"for"
"154","00000000000000000099_0",0.892561983471074,1.00236726411904,0.88235294117647,1.02015532544379,0.984820775420629,0.906452922077922,0.996255278463867,1.08161157024793,1.07687810581701,1.0587851077727,1.06479956068094,1.06538405901924,0.991683991683992,1.05212677231026,1.13172731932342,1.0827989963758,1.02103371736603,1.05220061412487,1.05791764312019,1.17863296955773,1.04270235818993,1.21372667068031,1.48402948402948,0.996751025991792,1.11036339165545,1.08140834575261,1.57336108220604,1.01511094108646,0.996753999536286,0.984158812913575,0.878272342198458,0.656339370829361,0.984815278647464,NA,154,"for"
"155","0000000000000000009a_0",0.980270338342708,1.02933543946745,1.00971121901354,1.03327917824013,1.03293317752045,0.997977953166786,0.988280830018277,1.06004618937644,1.07534807534808,1.05803955288048,1.04235583370586,1.06356143856144,1.04011789749468,1.11294625841697,1.05484598046582,1.06277507528376,1.00659370539052,1.04414916416631,1.05741876549654,1.05728981908478,1.04276652342951,1.04228800356109,1.08184564680033,1.01234698744105,1.07456705309861,1.07909518749051,1.0865305158777,1.01248247780522,1.05302944826808,1.00616034497932,0.929961089494163,0.869726043231996,1.01039281310551,NA,155,"for"
"156","0000000000000000009c_0",1.0393125998023,1.06858621805241,1.06225141060031,1.04321887843033,1.04237830913749,1.02743442870063,1.04414469650521,1.07544233761743,1.06974271741442,1.01863753213368,1.06506364922207,1.06668311640244,1.03174681788916,1.0751936519932,1.07633008972577,1.06649785313222,1.01319011136561,1.0967333273007,1.06735936940165,1.06181057436288,1.10555867490174,1.06695778748181,1.06477829000523,1.0755004572706,1.07369504316506,1.07591043307087,1.06875697804243,1.0477572392909,1.04311667739221,1.01127430699214,0.963239110943325,0.877545951316443,1.00304248614582,NA,156,"for"
"157","0000000000000000009d_0",1.00069970103683,1.03683660291495,1.01836605446485,1.05874938729781,1.02404217022371,0.991030991919013,1.04836193447738,1.07052663997536,1.07907742998353,1.03633114949375,1.05459490965611,1.06164778183215,1.04388796789111,1.0751936519932,1.05086764205512,1.07431636791836,1.05323957810146,1.07148737650933,1.05998324850203,1.05493915533286,1.04135568334761,1.06070120355835,1.06676061299982,1.03351377653427,1.07407407407407,1.07136584509104,1.08065584630672,1.05662805662806,1.03627301675204,1.02023409853915,0.926093350035401,0.766065169414514,0.998349674788855,NA,157,"for"
"158","0000000000000000009e_0",0.867846980714511,0.971194327498338,0.985528219971056,0.971726923455817,1.0308742281443,1.0134436401241,0.979555423388596,1.05522260273973,1.08834397044004,1.13214620431115,1.07452847463834,1.00017070672585,0.993788819875776,1.18464351005484,1.03990996450524,1.08944182918628,0.940351711026616,1.02343017806935,1.03454754201023,1.02297794117647,1.04598754122389,1.25921299188007,1.29418407679277,0.989646933899655,1.1161670235546,1.09490284426922,1.07758839989824,1.01925520476982,1.00900201769362,0.985111323589673,0.717321997874601,0.823339483394834,0.971351480041267,NA,158,"for"
"159","0000000000000000009f_0",0.964807436918991,1.03969384122464,0.904466501240695,0.978288453404765,1.04623513870542,0.982005561917226,0.982583230579531,1.06624229162522,1.0534872378475,1.04625371923181,1.06252710085856,1.08470652321939,1.04078328579138,1.06293706293706,1.07565375471962,1.05528865727547,0.968543046357616,1.00830521671425,1.05780774607351,1.04804884523494,1.02394812467762,1.08943309430388,1.09749034749035,0.99219264415389,1.06099567363354,1.07658528016863,1.07767157003034,1.03428011753183,1.00304066894717,1.00008162598972,0.784502009825815,0.912893526706756,0.94281914893617,NA,159,"for"
"160","000000000000000000a0_0",1.003780026826,1.06474471564412,0.983848638670974,1.00616294835449,1.0172171468728,1.05989551694812,1.00887692572018,1.05391208183578,1.07690206255976,1.04107171506498,1.059165232358,1.04449750379857,1.03396794167004,1.04786150712831,1.07911527009783,1.06499415052645,1.00591366055588,1.0490187749554,1.05395962732919,1.04087498004151,1.05667060212515,1.05990510083037,1.12100906582578,1.02758232479595,1.0648512513773,1.07542684244651,1.07244008714597,1.00038955979743,1.00005684725144,0.98655139289145,0.772130453197798,0.866460298034699,0.984796914000454,NA,160,"for"
"161","000000000000000000a1_0",1.04291267942584,1.02771944561109,0.909493161705551,1.03821768228249,1.03687785942049,0.990802849042252,1.04971254649983,1.08705183508946,1.1292607940115,1.08753643671054,1.05287811908837,1.08000936695028,1.04264475743349,1.08624229979466,1.09017791859615,1.08113575608699,1.04996977634495,1.06268772405775,1.03289751159848,1.05394113824157,1.08369371661155,1.0649512865351,1.09769292954418,1.0203297794848,1.09111806398059,1.09027282742531,1.09418713086727,1.02794588821645,1.02267426794506,0.975783475783476,0.741993446781524,0.636386703882263,1.00236151406788,NA,161,"for"
"162","000000000000000000a2_0",1.03552356628744,0.970598612254499,1.02684424815403,1.04901726364115,1.06456879916877,1.04012898602651,1.03073023918898,1.08874303678782,1.06418357166611,1.0671731307477,1.06499515764554,1.08461863016267,1.0077899903959,1.1001879141529,1.07991722506898,1.07317927170868,1.03086382902513,1.05020022053276,1.0549119903716,1.06836114796453,1.0764192139738,1.0568151025201,1.08991901703435,1.06213472777607,1.08089618607833,1.09412464084019,1.079068908184,1.04059429106224,1.06310933147632,1.04775916704391,0.949491930663479,0.919832047651597,1.03831452493629,NA,162,"for"
